iter	MAE
0	251.9611929
1	245.3677974
2	237.4436181
3	230.7160131
4	223.7747924
5	216.8403341
6	210.0711275
7	203.5164052
8	198.3254609
9	194.0901177
10	189.9448627
11	185.1963255
12	179.8843251
13	175.4847522
14	170.994371
15	167.2945644
16	163.6866991
17	158.1807575
18	153.5925697
19	150.0376241
20	145.2956297
21	140.7131807
22	138.1945454
23	135.2034729
24	132.1225265
25	128.6944213
26	126.8197978
27	124.5381051
28	123.2909578
29	120.8515701
30	119.5394879
31	117.0880303
32	114.5973867
33	111.8876898
34	110.8590896
35	109.8017396
36	108.5863469
37	107.5410659
38	105.0485815
39	103.1166754
40	101.1481092
41	99.85701444
42	98.71502261
43	97.93004937
44	96.50687824
45	95.73753341
46	94.38472898
47	92.76858647
48	92.07584457
49	90.61934018
50	89.32795561
51	87.45606436
52	85.25009381
53	84.2756911
54	83.35999888
55	81.67679606
56	80.56037963
57	79.5800239
58	77.83281589
59	76.60729694
60	76.21296326
61	75.66279679
62	74.77019222
63	74.24119283
64	73.91327839
65	73.22155804
66	72.26749254
67	71.92713234
68	70.66977206
69	70.08454095
70	69.27592059
71	68.90259894
72	68.48498529
73	67.86804992
74	67.34562638
75	67.17379588
76	66.70274593
77	65.80547336
78	65.10541536
79	64.48853805
80	64.01553073
81	63.06910455
82	62.07553478
83	61.81651413
84	61.57370787
85	60.02680716
86	59.40809518
87	59.17703236
88	58.87619656
89	58.36390823
90	57.69842903
91	57.2612341
92	56.80681017
93	56.10756602
94	55.87863833
95	55.26476324
96	54.84530985
97	54.19848915
98	53.82123572
99	53.35489602
100	53.10957486
101	52.74146098
102	51.93187972
103	51.40817471
104	50.63875852
105	50.32776199
106	49.80724032
107	49.39193949
108	49.1362582
109	48.32069354
110	48.0013147
111	47.37349357
112	46.78351237
113	46.47222902
114	46.09705427
115	45.98471312
116	45.64436061
117	45.47148326
118	45.32168746
119	45.01250613
120	44.89725648
121	44.53896184
122	44.44357039
123	43.75316737
124	43.21123241
125	42.83977857
126	42.36852452
127	42.30821083
128	42.11850829
129	41.80206283
130	41.34077934
131	41.16755115
132	40.77343452
133	40.47254065
134	40.21856576
135	40.06389249
136	39.61968267
137	39.44376643
138	39.01523344
139	38.88788138
140	38.69277712
141	38.25048118
142	37.96982548
143	37.8973611
144	37.77519442
145	37.55382389
146	37.50537298
147	37.31533148
148	37.16138487
149	36.66000255
150	36.48344064
151	36.30534727
152	35.98856659
153	35.52560817
154	35.21088624
155	35.07437169
156	34.94055602
157	34.87019413
158	34.81826184
159	34.76039635
160	34.64444997
161	34.36659828
162	34.10530467
163	34.01467569
164	33.95806453
165	33.75368671
166	32.98040784
167	32.15503394
168	31.97954354
169	31.20221576
170	31.07466763
171	30.90733135
172	30.15943512
173	29.54086263
174	29.36799971
175	29.29318217
176	29.25575899
177	29.03413005
178	28.96505142
179	28.87362951
180	28.36172874
181	28.13488177
182	27.92225072
183	27.71018315
184	27.68508376
185	27.64056845
186	27.61626841
187	27.55884837
188	27.50003919
189	27.4790368
190	27.30018957
191	27.27078239
192	26.9799976
193	26.7536532
194	26.73311685
