iter	Passed	Remaining
0	1	439
1	1	266
2	1	206
3	1	178
4	2	158
5	2	145
6	2	136
7	2	129
8	2	124
9	3	119
10	3	114
11	3	111
12	3	109
13	3	106
14	4	105
15	4	103
16	4	102
17	4	101
18	4	100
19	5	99
20	5	98
21	5	96
22	5	96
23	6	95
24	6	94
25	7	103
26	7	102
27	7	101
28	7	98
29	7	98
30	8	98
31	8	97
32	8	97
33	8	96
34	9	95
35	9	94
36	9	94
37	9	93
38	10	92
39	10	92
40	10	91
41	10	91
42	10	91
43	11	90
44	11	90
45	11	89
46	11	88
47	12	88
48	12	87
49	12	87
50	12	86
51	12	86
52	13	87
53	13	87
54	13	87
55	14	86
56	14	86
57	14	85
58	14	85
59	14	84
60	15	84
61	15	84
62	15	83
63	15	83
64	16	82
65	16	82
66	16	82
67	16	82
68	17	81
69	17	81
70	17	80
71	17	80
72	17	79
73	18	79
74	18	78
75	18	78
76	18	78
77	18	77
78	19	77
79	19	76
80	19	76
81	19	76
82	19	75
83	20	75
84	20	75
85	20	74
86	20	74
87	20	73
88	21	73
89	21	73
90	21	72
91	21	72
92	21	72
93	22	71
94	22	71
95	22	71
96	22	71
97	22	70
98	23	70
99	23	70
100	23	69
101	23	69
102	24	69
103	24	69
104	24	68
105	24	68
106	24	68
107	25	67
108	25	67
109	25	67
110	25	67
111	25	66
112	26	66
113	26	66
114	26	65
115	26	65
116	27	65
117	27	65
118	27	65
119	27	64
120	27	64
121	28	64
122	28	63
123	28	63
124	28	63
125	29	63
126	29	63
127	29	62
128	29	62
129	29	62
130	30	61
131	30	61
132	30	61
133	30	60
134	30	60
135	31	60
136	31	60
137	31	59
138	31	59
139	32	59
140	32	59
141	32	58
142	32	58
143	32	58
144	33	58
145	33	58
146	33	57
147	33	57
148	34	57
149	34	57
150	34	57
151	34	56
152	35	56
153	35	56
154	35	56
155	35	55
156	35	55
157	36	55
158	36	54
159	36	54
160	36	54
161	36	54
162	37	53
163	37	53
164	37	53
165	37	53
166	38	53
167	38	52
168	38	52
169	38	52
170	38	52
171	39	51
172	39	51
173	39	51
174	39	51
175	40	50
176	40	50
177	40	50
178	40	50
179	40	50
180	41	49
181	41	49
182	41	49
183	41	49
184	42	48
185	42	48
186	42	48
187	42	48
188	42	47
189	43	47
190	43	47
191	43	47
192	43	47
193	44	46
194	44	46
195	44	46
196	44	46
197	45	45
198	45	45
199	45	45
200	45	45
201	46	45
202	46	44
203	46	44
204	46	44
205	47	44
206	47	44
207	47	43
208	47	43
209	47	43
210	48	43
211	48	42
212	48	42
213	48	42
214	48	42
215	49	41
216	49	41
217	49	41
218	49	41
219	50	40
220	50	40
221	50	40
222	50	40
223	50	40
224	51	39
225	51	39
226	51	39
227	52	39
228	52	39
229	52	39
230	53	38
231	53	38
232	53	38
233	54	38
234	54	38
235	54	38
236	55	37
237	55	37
238	55	37
239	55	37
240	56	37
241	56	36
242	56	36
243	56	36
244	56	36
245	57	35
246	57	35
247	57	35
248	57	35
249	58	34
250	58	34
251	58	34
252	58	34
253	59	33
254	59	33
255	59	33
256	59	33
257	59	32
258	60	32
259	60	32
260	60	32
261	60	31
262	60	31
263	61	31
264	61	31
265	61	31
266	61	30
267	62	30
268	62	30
269	62	30
270	62	29
271	62	29
272	63	29
273	63	29
274	63	28
275	63	28
276	63	28
277	64	28
278	64	27
279	64	27
280	64	27
281	64	27
282	65	26
283	65	26
284	65	26
285	65	26
286	65	25
287	66	25
288	66	25
289	66	25
290	66	25
291	67	24
292	67	24
293	67	24
294	67	24
295	67	23
296	68	23
297	68	23
298	68	23
299	68	22
300	68	22
301	69	22
302	69	22
303	69	21
304	69	21
305	69	21
306	70	21
307	70	21
308	70	20
309	70	20
310	70	20
311	71	20
312	71	19
313	71	19
314	71	19
315	71	19
316	72	18
317	72	18
318	72	18
319	72	18
320	73	18
321	73	17
322	73	17
323	73	17
324	74	17
325	74	16
326	74	16
327	74	16
328	75	16
329	75	15
330	75	15
331	75	15
332	75	15
333	76	15
334	76	14
335	76	14
336	76	14
337	76	14
338	77	13
339	77	13
340	77	13
341	77	13
342	77	12
343	77	12
344	78	12
345	78	12
346	78	11
347	78	11
348	78	11
349	78	11
350	79	11
351	79	10
352	79	10
353	79	10
354	79	10
355	80	9
356	80	9
357	80	9
358	80	9
359	81	9
360	81	8
361	81	8
362	81	8
363	81	8
364	81	7
365	82	7
366	82	7
367	82	7
368	82	6
369	82	6
370	83	6
371	83	6
372	83	6
373	83	5
374	83	5
375	84	5
376	84	5
377	84	4
378	84	4
379	84	4
380	84	4
381	85	4
382	85	3
383	85	3
384	85	3
385	85	3
386	85	2
387	86	2
388	86	2
389	86	2
390	86	1
391	86	1
392	86	1
393	87	1
394	87	1
395	87	0
396	87	0
397	87	0
398	88	0
399	88	0
