source,target,model,n_draws,full_target_r_mean,audit_r_mean,audit_r_sd,gate_matches_full_fraction,gate_rate_linear,gate_rate_cp_interval_only,gate_rate_residual_mean
hust,luh,pls,1000,0.7716731043125822,0.7877051791122653,0.06704141773690359,1.0,1.0,0.0,0.0
hust,matr,gaussian_process,1000,-0.11409318263986497,-0.14147623381567245,0.17062960331988294,0.945,0.01,0.945,0.045
hust,sandia,xgboost,1000,0.5774316832047887,0.5702362516846392,0.15259186573890188,0.867,0.841,0.004,0.155
luh,hust,random_forest,1000,0.014857857154876726,0.003847034623207346,0.24799723728740647,0.677,0.058,0.647,0.295
luh,matr,stacking,1000,0.10734759295359314,0.07132589749289744,0.30124435108037523,0.489,0.144,0.502,0.354
luh,sandia,xgboost,1000,0.9131253584230614,0.9115128124728193,0.053521987164541235,1.0,1.0,0.0,0.0
matr,hust,gaussian_process,1000,-0.12001850460196384,-0.11039889673792218,0.20193140940462379,0.865,0.009,0.865,0.126
matr,luh,stacking,1000,0.4065409096999389,0.43037783835924837,0.17328870397072388,0.75,0.586,0.04,0.374
matr,sandia,xgboost,1000,0.4271628336086019,0.44384007691408667,0.3117635363658782,0.712,0.45,0.105,0.445
sandia,hust,catboost,1000,0.1868972553941344,0.18120169653414422,0.20877689473724675,0.567,0.138,0.337,0.525
sandia,luh,pls,1000,0.8621160025989423,0.8653482330788715,0.04184992553577681,1.0,1.0,0.0,0.0
sandia,matr,gaussian_process,1000,-0.005803332371409733,0.003835950059121028,0.21755809565724152,0.676,0.047,0.676,0.277
