source,target,direction,model,seed,n_cycles,n_target,alpha,alpha_ci95_low,alpha_ci95_high,alpha_ci95_contains_1,alpha_minus_1_boot_p,beta,beta_ci95_low,beta_ci95_high,theil_sen_alpha,theil_sen_beta,theil_sen_R2,huber_alpha,huber_beta,huber_R2,pearson_r,pearson_r_ci95_low,pearson_r_ci95_high,pearson_p,constant_bias,constant_share_of_ss,constant_share_ci95_low,constant_share_ci95_high,raw_MAE,raw_R2,constant_MAE,constant_R2,linear_MAE,linear_R2,alpha_minus_1_fdr_bh
matr,hust,MATR -> HUST,catboost,42,100,77,-0.5801599372148146,-2.4907196119557016,2.0026388512292312,True,0.174,1823.1726737097727,335.2349278890207,2907.8646341579574,-0.5250555625279095,1757.6099342877983,-0.010436525954924392,-1.0439456127894131,2086.054737874043,0.0015682833810237717,-0.06986362985224169,-0.32612108871570683,0.21817082106023225,0.5460018760030976,914.5200586033561,0.9161060554437145,0.8929743402561638,0.9375537294308528,914.5200586033561,-11.162695297864643,229.73587764112867,-0.03132743825155182,226.2061732186857,0.004880926776130834,0.31636363636363635
matr,hust,MATR -> HUST,catboost,123,100,77,-0.7977820747493505,-1.8252924491228224,0.15874884338497355,False,0.002,1971.749644669803,1419.6013816332136,2580.9585495205874,-0.8348455506191902,1962.804422228474,0.016473753306583294,-0.8897444023023965,2017.5171480850481,0.02794007996127512,-0.17209299992883192,-0.37223589909082544,0.037699473782455424,0.1344973188516456,885.1437544236642,0.9042311430494818,0.8757814010109848,0.9296862674800029,885.1437544236642,-10.548506221608077,240.2420190238156,-0.1207784994275054,222.9637291590824,0.029616000624504868,0.005714285714285714
matr,hust,MATR -> HUST,catboost,456,100,77,-0.5216944686398147,-1.1976260888171444,0.20112678517274457,False,0.000999000999000999,1838.6783591728392,1366.367765330838,2298.99351824823,-0.4139038244508598,1792.1267679249736,0.00456203019314072,-0.6332342518337409,1910.0533760064245,0.013088487381123448,-0.11774710086071302,-0.2689018064751552,0.042078672835127284,0.30778543819435045,820.3546477658032,0.8913150138852245,0.8628330126433902,0.9199845404852445,820.3546477658032,-9.061149649618295,241.72632462217229,-0.10409239938914538,223.70738713258135,0.013864379761102774,0.003996003996003996
matr,hust,MATR -> HUST,catboost,789,100,77,-0.3009209925736608,-1.0196573539306313,0.40582552305387215,False,0.002,1690.0975151992973,1237.317722454003,2159.3855342857364,-0.4622535976071126,1763.8832518967608,-0.010030499925935743,-0.3514075522331826,1719.1253987571529,0.006687242493958023,-0.08469291794993442,-0.2711442601417288,0.09630328097564797,0.463961723906643,823.140748576232,0.8895927103001737,0.8558864132552633,0.9185914073439283,823.140748576232,-9.144885342560064,243.52195957863148,-0.12688459367574856,225.2487251706748,0.007172890350874206,0.005714285714285714
matr,hust,MATR -> HUST,catboost,1011,100,77,-0.5698588449476081,-1.2850727697001605,0.11125711577056342,False,0.000999000999000999,1847.1516134418334,1436.03123360863,2278.148576843513,-0.3952962557546319,1749.0626899800855,0.021448953550095684,-0.6613376195007769,1893.7078764328764,0.023370263422773263,-0.15998762466956884,-0.35777932200334295,0.034112217906890646,0.16456102688562965,862.0466023480338,0.8944794805979414,0.8642126470202364,0.9232736977028336,862.0466023480338,-10.059274067200578,246.13252791185784,-0.16865323315523195,223.50399140576943,0.025596040047410673,0.003996003996003996
matr,hust,MATR -> HUST,random_forest,42,100,77,-0.572349515120471,-1.2929773922092758,0.13236791520292346,False,0.000999000999000999,1815.9775577035,1449.5027046247617,2206.1354711909644,-0.541738266874078,1795.2130106312034,0.02786509511723201,-0.6677799394721504,1858.9473460122174,0.0255634208215465,-0.16760358651030402,-0.36180117858579963,0.04000409952883712,0.14511962925957042,919.2441361879696,0.9053943287339113,0.8763468501712316,0.9318959537187691,919.2441361879696,-11.43057818440981,248.16743481820893,-0.18391211230544902,223.88054480066623,0.028090962211116843,0.003996003996003996
matr,hust,MATR -> HUST,random_forest,123,100,77,-0.6412499845086042,-2.0353656385918106,0.6460409563001054,False,0.02,1817.5911453483275,1184.3307830886524,2508.8593066788508,-0.97624266460826,1975.1100166917793,0.0045074753375700105,-0.9947709071091686,1989.0456881301932,0.005584852298582521,-0.09853568831893068,-0.3025574217140353,0.10403757968010702,0.3938910740063508,978.0064544792361,0.9245342907104632,0.9017567904853856,0.9443601183918047,978.0064544792361,-12.784395655328282,233.76627233960363,-0.05389433957679768,225.58670995773463,0.009709281872485431,0.044444444444444446
matr,hust,MATR -> HUST,random_forest,456,100,77,-0.46433947535100967,-1.0840460152526445,0.11209344957868389,False,0.000999000999000999,1752.6122090651209,1448.1698272915598,2085.0674827823714,-0.3411320936003576,1664.0645025988292,0.021342904792162276,-0.554958642035999,1793.2591877072534,0.025405428565149157,-0.16730951275206377,-0.3809193268280337,0.04238806190770111,0.14583679270248884,923.0466942902862,0.9009211106445025,0.8669407644200923,0.9295640772904973,923.0466942902862,-11.590302256261202,255.2329463949839,-0.25039750482341616,224.0800133920528,0.02799247305733299,0.003996003996003996
matr,hust,MATR -> HUST,random_forest,789,100,77,-0.24402507222331266,-1.1334337619784205,0.6888420069281936,False,0.01,1635.5472864923277,1100.845427822373,2171.20994248407,-0.4515051673930833,1743.913649470549,-0.0026048243750567135,-0.3243785955707492,1681.149106550883,0.002173312201773858,-0.05028607745378949,-0.2258482356334858,0.13521803560594825,0.6640589114652297,891.3049768476956,0.9090827235603681,0.8824069110606282,0.9306585571127179,891.3049768476956,-10.636590976119967,236.6107570112667,-0.06318939340591134,226.35381302467653,0.002528689585688415,0.025
matr,hust,MATR -> HUST,random_forest,1011,100,77,-0.27603083417691915,-0.5433269061805122,0.016553519735155137,False,0.000999000999000999,1695.4203512038728,1490.8702310469612,1889.3137163729584,-0.14697526920052328,1603.5721398385765,0.032068329597363165,-0.31865972004615123,1713.769865588172,0.03797728883306395,-0.20339396420597616,-0.39056030266149044,0.0125508754450356,0.07603369689557285,743.7652758808481,0.8009525806923133,0.7381584199900196,0.856974300466768,746.7832656343917,-8.20533900396415,313.2755630936703,-0.8426939951618027,222.41475634542334,0.04136910467542165,0.003996003996003996
