feature,n_cycles,n_matr,n_hust,intercept_matr,intercept_hust,delta_intercept_hust_minus_matr,delta_intercept_ci95_low,delta_intercept_ci95_high,delta_intercept_boot_p,slope_matr,slope_hust,delta_slope_hust_minus_matr,delta_slope_ci95_low,delta_slope_ci95_high,delta_slope_boot_p,delta_intercept_fdr_bh,delta_slope_fdr_bh,intercept_shift_significant,slope_shift_significant,shift_class
Qdis_cycle10,100,129,77,6.553559330862443,7.28842493630144,0.7348656054389968,0.6555631562241007,0.82663798761297,0.000999000999000999,-0.06168877938928529,0.11661287885070419,0.17830165823998947,0.11417481793969522,0.24564588125069872,0.000999000999000999,0.0010956785150333537,0.005661005661005661,True,True,both_intercept_and_slope
accel_mean,100,129,77,6.553559330862446,7.288424936301441,0.734865605438995,0.6542459378520419,0.8193265906635406,0.000999000999000999,0.21236221140841485,-0.03296953361303419,-0.24533174502144905,-0.34241175124830536,-0.1553543587854031,0.000999000999000999,0.0010956785150333537,0.005661005661005661,True,True,both_intercept_and_slope
mad_Qdis,100,129,77,6.553559330862446,7.288424936301441,0.734865605438995,0.6570374675938958,0.8229817459574227,0.000999000999000999,-0.21090408368647998,-0.04060299395670622,0.17030108972977376,0.10682055954359795,0.4584002120473412,0.000999000999000999,0.0010956785150333537,0.005661005661005661,True,True,both_intercept_and_slope
poly2_a,100,129,77,6.553559330862443,7.288424936301436,0.7348656054389933,0.6517816135876461,0.8259248473926674,0.000999000999000999,-0.050691412250901347,0.10632297271420639,0.15701438496510772,0.08737137827352526,0.23355310430925522,0.000999000999000999,0.0010956785150333537,0.005661005661005661,True,True,both_intercept_and_slope
slope_last_quarter,100,129,77,6.553559330862443,7.288424936301439,0.7348656054389959,0.6536656737297669,0.8260646369251443,0.000999000999000999,0.23135822792689822,0.015649329368011673,-0.21570889855888656,-0.5087958794278511,-0.14658599661347171,0.000999000999000999,0.0010956785150333537,0.005661005661005661,True,True,both_intercept_and_slope
spectral_entropy,100,129,77,6.553559330862443,7.288424936301442,0.7348656054389986,0.6409516112381796,0.824298641788588,0.000999000999000999,0.10819713750053143,-0.024454605089524135,-0.13265174259005558,-0.2209104446843748,-0.043505474278244416,0.000999000999000999,0.0010956785150333537,0.005661005661005661,True,True,both_intercept_and_slope
cycle_to_99pct,100,129,77,6.553559330862445,7.288424936301441,0.7348656054389959,0.6570379268419586,0.8192619986086277,0.000999000999000999,0.18293673224073084,0.0362555519712579,-0.14668118026947294,-0.2279183906086004,-0.04673716433130196,0.002,0.0010956785150333537,0.007555555555555556,True,True,both_intercept_and_slope
linearity_r2,100,129,77,6.553559330862445,7.288424936301442,0.7348656054389968,0.6511373889608487,0.8229676932129291,0.000999000999000999,-0.18393830082567286,-0.048280256209459554,0.1356580446162133,0.04554689710575861,0.2289129827429762,0.002,0.0010956785150333537,0.007555555555555556,True,True,both_intercept_and_slope
poly2_c,100,129,77,6.5535593308624485,7.288424936301441,0.7348656054389924,0.6564470744329347,0.8737082665350299,0.000999000999000999,0.0888447842050873,-0.03699012387796934,-0.12583490808305664,-1.5140568539128432,-0.043686328753712145,0.002,0.0010956785150333537,0.007555555555555556,True,True,both_intercept_and_slope
fft_top3_energy_ratio,100,129,77,6.553559330862442,7.288424936301441,0.7348656054389986,0.6494244183176188,0.8236420163968574,0.000999000999000999,-0.12562582209530807,0.020900587146927455,0.14652640924223553,0.048649467774493735,0.23940004643659837,0.004,0.0010956785150333537,0.013600000000000001,True,True,both_intercept_and_slope
retention_ratio,100,129,77,6.553559330862445,7.288424936301443,0.7348656054389977,0.6518327544744519,0.8192527987123703,0.000999000999000999,0.1880877431863598,0.04240798284738939,-0.1456797603389704,-0.2616202412233481,-0.07598460024705786,0.006,0.0010956785150333537,0.018545454545454546,True,True,both_intercept_and_slope
delta_Qdis,100,129,77,6.553559330862443,7.288424936301439,0.7348656054389959,0.6517449713701285,0.8171793066682628,0.000999000999000999,0.18801817950084024,0.041439283866299616,-0.14657889563454063,-0.2606956538370391,-0.07052119485842696,0.008,0.0010956785150333537,0.02266666666666667,True,True,both_intercept_and_slope
knee_cycle,100,129,77,6.553559330862445,7.288424936301439,0.7348656054389942,0.6430792065729157,0.8224240256089771,0.000999000999000999,-0.1481394992137027,-0.004415647050771729,0.143723852162931,0.036315459116989766,0.260451421671194,0.012,0.0010956785150333537,0.031384615384615386,True,True,both_intercept_and_slope
exp_decay_k,100,129,77,6.553559330862445,7.288424936301444,0.7348656054389995,0.6514875913281294,0.8192434349803389,0.000999000999000999,-0.18618394109581465,-0.04193332437063129,0.14425061672518336,0.04227223401076819,0.27653907590194843,0.018,0.0010956785150333537,0.03825,True,True,both_intercept_and_slope
mean_diff,100,129,77,6.553559330862446,7.288424936301442,0.7348656054389959,0.6515192294433165,0.8181914349794727,0.000999000999000999,0.18801817950083935,0.04143928386630325,-0.1465788956345361,-0.2653984414262897,-0.05298697760449826,0.016,0.0010956785150333537,0.03825,True,True,both_intercept_and_slope
slope_linear,100,129,77,6.553559330862442,7.2884249363014435,0.7348656054390013,0.6524026219569425,0.8136736120922211,0.000999000999000999,0.18602111313519196,0.03998736404167887,-0.14603374909351308,-0.26716894115492756,-0.03853110684393246,0.018,0.0010956785150333537,0.03825,True,True,both_intercept_and_slope
sample_entropy,100,129,77,6.553559330862443,7.288424936301443,0.7348656054389995,0.6469856616040836,0.8271612725603726,0.000999000999000999,-0.0490273316504631,0.04768369358339018,0.09671102523385328,-0.002982563064268909,0.18811247905875664,0.062,0.0010956785150333537,0.124,True,False,intercept_only
cycle_to_98pct,100,129,77,6.5535593308624485,7.288424936301446,0.7348656054389977,0.6519439526016205,0.822216139016722,0.000999000999000999,0.1675105496821701,0.06517755842997316,-0.10233299125219694,-0.21975553461625497,0.06652154658958956,0.264,0.0010956785150333537,0.4986666666666667,True,False,intercept_only
kurtosis_Qdis,100,129,77,6.553559330862447,7.288424936301439,0.7348656054389924,0.6470600309389328,0.8220169227401345,0.000999000999000999,0.08104098062608789,0.036651398321846725,-0.044389582304241164,-0.2531014749626718,0.042091498063604696,0.366,0.0010956785150333537,0.6549473684210526,True,False,intercept_only
slope_ratio,100,129,77,6.553559330862443,7.288424936301442,0.7348656054389986,0.6457911179018688,0.8198085492656114,0.000999000999000999,-0.07896730520964794,-0.04791994067959035,0.03104736453005759,-0.05817608932416688,0.14900434892852593,0.47,0.0010956785150333537,0.7541818181818182,True,False,intercept_only
std_diff,100,129,77,6.5535593308624485,7.288424936301442,0.7348656054389933,0.6296876738043891,1.6936177509455412,0.000999000999000999,0.01374622976476316,0.06911721600076491,0.05537098623600175,-0.2736045774678971,8.467668442546513,0.488,0.0010956785150333537,0.7541818181818182,True,False,intercept_only
accel_std,100,129,77,6.5535593308624405,7.288424936301444,0.7348656054390039,0.6261402202944493,1.582003301829657,0.002,0.013953190242044817,0.06006383329849245,0.04611064305644763,-0.2938786036910119,7.660447257982353,0.484,0.002125,0.7541818181818182,True,False,intercept_only
poly2_b,100,129,77,6.553559330862446,7.2884249363014435,0.7348656054389977,0.6417153561074658,0.8245467046407622,0.000999000999000999,0.0033684893240465393,0.03796757183788581,0.034599082513839266,-0.3298394381623583,0.27436792308200497,0.558,0.0010956785150333537,0.7905000000000001,True,False,intercept_only
skewness_Qdis,100,129,77,6.553559330862443,7.28842493630144,0.7348656054389968,0.6482497187564498,0.8235956220162473,0.000999000999000999,0.011266282123980245,-0.03559568378417549,-0.04686196590815574,-0.1317623393647085,0.12372506197910482,0.554,0.0010956785150333537,0.7905000000000001,True,False,intercept_only
Qdis_N,100,129,77,6.553559330862445,7.28842493630144,0.734865605438995,0.6508941139722927,0.8116031981234277,0.000999000999000999,0.10087832626246722,0.12388358412375741,0.023005257861290193,-0.05847207722955677,0.18630640140145555,0.634,0.0010956785150333537,0.86224,True,False,intercept_only
variance_Qdis,100,129,77,6.553559330862446,7.28842493630144,0.7348656054389942,0.6111495152768007,3.965813371248891,0.000999000999000999,-0.004605807673913307,-0.037192230287090663,-0.03258642261317736,-1.158237294266916,33.52107781768592,0.67,0.0010956785150333537,0.8761538461538462,True,False,intercept_only
autocorr_lag1,100,129,77,6.553559330862447,7.288424936301441,0.7348656054389942,0.643203070487627,0.8286380359475654,0.000999000999000999,0.02424317893836105,0.039637356138888365,0.015394177200527315,-0.06747503853026003,0.1021168169666893,0.772,0.0010956785150333537,0.9168275862068966,True,False,intercept_only
cycle_to_95pct,100,129,77,6.553559330862445,7.288424936301443,0.7348656054389977,0.6490183279302817,0.8173250638580303,0.000999000999000999,0.1470084016032474,0.0,-0.1470084016032474,-0.15254308930520918,0.0,0.782,0.0010956785150333537,0.9168275862068966,True,False,intercept_only
n_capacity_jumps,100,129,77,6.553559330862445,7.288424936301443,0.7348656054389977,0.6434559890324119,0.8258198047640343,0.000999000999000999,0.022695605170108907,0.0,-0.022695605170108907,-0.14925786174508104,0.11902881076798162,0.752,0.0010956785150333537,0.9168275862068966,True,False,intercept_only
pos_neg_diff_ratio,100,129,77,6.553559330862442,7.2884249363014435,0.7348656054390013,0.6414414808387725,0.8257979807529441,0.000999000999000999,0.017960517401600318,0.030604636573004516,0.012644119171404199,-0.09595196916905242,0.10941193402331749,0.824,0.0010956785150333537,0.9338666666666666,True,False,intercept_only
slope_first_quarter,100,129,77,6.553559330862447,7.28842493630144,0.7348656054389933,0.6404550489247753,0.8239765364631173,0.000999000999000999,0.03648285256207496,0.0395461656169124,0.003063313054837438,-0.12625295027953867,0.19763729554318282,0.87,0.0010956785150333537,0.9541935483870967,True,False,intercept_only
range_Qdis,100,129,77,6.553559330862446,7.288424936301443,0.7348656054389968,0.6398898013833727,1.4507497836589471,0.000999000999000999,0.002144494129561357,0.0029243389612538247,0.0007798448316924675,-0.2709022715799777,6.1681986073647534,0.964,0.0010956785150333537,0.9639999999999999,True,False,intercept_only
