source,target,direction,model,feature_group,contribution_mean,contribution_median,contribution_sd,sign_consistency,mean_abs_shap_log
hust,luh,hust_to_luh,catboost,capacity_level_retention,-0.048753470779827716,-0.04897538438505939,0.09565535042903969,0.6,0.04317210358316713
hust,luh,hust_to_luh,catboost,curvature_acceleration,0.11554335183224987,0.07948408198965388,0.1095192089115761,0.8,0.11085443243372725
hust,luh,hust_to_luh,catboost,spectral_entropy,-0.021701747956490776,-0.025531201085104503,0.026233143529010364,0.8,0.032508883998780526
hust,luh,hust_to_luh,catboost,trend_decay_timing,0.014947445504841377,-0.01923414883793778,0.13224600559724736,0.6,0.10705592779773924
hust,luh,hust_to_luh,catboost,variability_events,-0.04217437087503381,-0.0462321453671043,0.15121673919339845,0.6,0.08502527091785445
hust,luh,hust_to_luh,random_forest,capacity_level_retention,0.021693979276968846,0.027026872016183832,0.01028025790385546,1.0,0.029626620793843806
hust,luh,hust_to_luh,random_forest,curvature_acceleration,0.13832879584062213,0.17849217409465565,0.0751237168690906,1.0,0.11506202694315415
hust,luh,hust_to_luh,random_forest,spectral_entropy,-0.004298388171581699,-0.0033380835992931437,0.0076766683002534464,0.6,0.01849738636229484
hust,luh,hust_to_luh,random_forest,trend_decay_timing,0.13144791380849719,0.0792017920709255,0.08906825345601506,1.0,0.08818243366774041
hust,luh,hust_to_luh,random_forest,variability_events,-0.04635005286733626,-0.024704918232134457,0.04070705585747927,1.0,0.04573698831529762
hust,matr,hust_to_matr,catboost,capacity_level_retention,-0.010365056073535116,-0.019879169123328003,0.03505425146021151,0.6,0.01717987119223708
hust,matr,hust_to_matr,catboost,curvature_acceleration,-0.024551365098072868,-0.02595351801078216,0.036108822351498045,0.8,0.06131832723569334
hust,matr,hust_to_matr,catboost,spectral_entropy,0.009704419072366233,0.009234975187156796,0.013467515910687717,0.8,0.017596761371775304
hust,matr,hust_to_matr,catboost,trend_decay_timing,0.20649059880690226,0.21733447669527128,0.0675670439969026,1.0,0.050550142400020384
