experiment,feature,n_cycles,source,target,seed,repeat,k_target,residual_shift,MAE,SMAPE,R2
within_univariate,Qdis_N,100,matr,matr,42,,0,,264.75330665700994,37.66431435365116,0.01742257969898353
cross_univariate_raw,Qdis_N,100,matr,hust,42,,0,,713.7118184319196,60.95467827960992,-6.740343328981996
cross_univariate_residual_mean,Qdis_N,100,matr,hust,42,0.0,20,766.1745097226565,222.2821573109303,15.397613506896626,-0.03335036367079347
cross_univariate_residual_mean,Qdis_N,100,matr,hust,42,1.0,20,744.5507469468289,229.54412355876076,15.765731643552684,0.019332447014003384
cross_univariate_residual_mean,Qdis_N,100,matr,hust,42,2.0,20,777.0716870820607,233.07713429310263,16.09134995107012,-0.05862604149522643
cross_univariate_residual_mean,Qdis_N,100,matr,hust,42,3.0,20,598.2493295990296,235.6835854398836,15.62236673083926,-0.35199349087474796
cross_univariate_residual_mean,Qdis_N,100,matr,hust,42,4.0,20,720.4490428515699,217.62023113183017,14.818624216177136,0.03676970838799498
cross_univariate_residual_mean,Qdis_N,100,matr,hust,42,5.0,20,746.6833868347532,221.11135014725696,15.312850212258278,0.011883907014872408
cross_univariate_residual_mean,Qdis_N,100,matr,hust,42,6.0,20,694.8255333147167,214.79398228806116,14.666673646313228,0.03255200109236278
cross_univariate_residual_mean,Qdis_N,100,matr,hust,42,7.0,20,675.2215497459991,251.17241308051683,17.090403141004426,0.006650042906860776
cross_univariate_residual_mean,Qdis_N,100,matr,hust,42,8.0,20,759.5748258019382,228.5131345245284,15.70124794132851,-0.015708769063750738
cross_univariate_residual_mean,Qdis_N,100,matr,hust,42,9.0,20,705.8677388745898,223.54843626765006,15.139083889453401,0.040084443079173915
cross_univariate_residual_mean,Qdis_N,100,matr,hust,42,10.0,20,788.8717583214765,247.1652265810184,17.078211816358728,-0.08823211794400243
cross_univariate_residual_mean,Qdis_N,100,matr,hust,42,11.0,20,667.0664611090618,225.79754777130333,15.218734184623928,-0.009205906419331278
cross_univariate_residual_mean,Qdis_N,100,matr,hust,42,12.0,20,749.6560754013286,211.68472793948158,14.49546987622272,0.009653530613846772
cross_univariate_residual_mean,Qdis_N,100,matr,hust,42,13.0,20,669.4861191830146,231.5397809442539,15.496819877421988,-0.006692145121806714
cross_univariate_residual_mean,Qdis_N,100,matr,hust,42,14.0,20,728.6258342137274,225.64658573663743,15.478380206678905,0.03268566629856995
cross_univariate_residual_mean,Qdis_N,100,matr,hust,42,15.0,20,605.105830014204,226.91955472118954,15.084202044772537,-0.32756473374769635
cross_univariate_residual_mean,Qdis_N,100,matr,hust,42,16.0,20,746.4902012324036,219.9769879119095,15.11355509513845,0.010287607745994132
cross_univariate_residual_mean,Qdis_N,100,matr,hust,42,17.0,20,760.5304851095154,236.75540430567472,16.38246255716686,-0.008981911643469731
cross_univariate_residual_mean,Qdis_N,100,matr,hust,42,18.0,20,762.8783715147625,219.91944413248578,15.159464649570294,-0.019386234097442445
cross_univariate_residual_mean,Qdis_N,100,matr,hust,42,19.0,20,721.2271547945204,244.03653754315073,16.728511775920243,0.035912701639693845
within_univariate,delta_Qdis,100,matr,matr,42,,0,,230.07134615775212,32.32093761996434,0.17245241789390053
cross_univariate_raw,delta_Qdis,100,matr,hust,42,,0,,796.202642991874,73.94047763765711,-8.816004002862709
cross_univariate_residual_mean,delta_Qdis,100,matr,hust,42,0.0,20,769.1998070430836,275.40610151116726,18.380329000568963,-0.38884449622937023
cross_univariate_residual_mean,delta_Qdis,100,matr,hust,42,1.0,20,758.3772083884413,270.53772291303125,17.990246419115152,-0.5789474460436825
cross_univariate_residual_mean,delta_Qdis,100,matr,hust,42,2.0,20,898.5328366747617,310.1608277857903,20.578787984279018,-0.6500063791331856
cross_univariate_residual_mean,delta_Qdis,100,matr,hust,42,3.0,20,842.4196290830581,257.73671012577825,17.061060601951308,-0.45482131678861926
cross_univariate_residual_mean,delta_Qdis,100,matr,hust,42,4.0,20,797.4552519580213,234.20704882441925,15.743657675946851,-0.36312586844620554
cross_univariate_residual_mean,delta_Qdis,100,matr,hust,42,5.0,20,835.6287272600985,256.08451792421204,17.06123761499167,-0.4618131567454007
cross_univariate_residual_mean,delta_Qdis,100,matr,hust,42,6.0,20,875.3591095641093,292.7842857821919,19.557623530984756,-0.5539875792404019
cross_univariate_residual_mean,delta_Qdis,100,matr,hust,42,7.0,20,853.302409749768,262.3735582072055,17.646500336366962,-0.38439094397145146
cross_univariate_residual_mean,delta_Qdis,100,matr,hust,42,8.0,20,723.1328781909372,266.2466495238193,17.92666302976623,-0.6461350911444945
cross_univariate_residual_mean,delta_Qdis,100,matr,hust,42,9.0,20,924.8713533081167,294.0849019692,19.38915541803749,-0.6948428231800134
cross_univariate_residual_mean,delta_Qdis,100,matr,hust,42,10.0,20,820.7261715758896,248.85555591482682,16.7174293776981,-0.16589456326595498
cross_univariate_residual_mean,delta_Qdis,100,matr,hust,42,11.0,20,726.5408110839637,239.4196288862244,16.230807806553504,-0.2277908165028888
cross_univariate_residual_mean,delta_Qdis,100,matr,hust,42,12.0,20,777.320856546556,275.24347813356303,18.255208474400455,-0.5056028093346137
cross_univariate_residual_mean,delta_Qdis,100,matr,hust,42,13.0,20,856.5075673114112,250.23350361096004,16.708098068991255,-0.40730608083982056
cross_univariate_residual_mean,delta_Qdis,100,matr,hust,42,14.0,20,770.4404000454998,257.18772325092544,17.25615316702987,-0.372667802169071
cross_univariate_residual_mean,delta_Qdis,100,matr,hust,42,15.0,20,812.3199040015032,261.69352191302517,17.69833560540243,-0.37010176148096696
cross_univariate_residual_mean,delta_Qdis,100,matr,hust,42,16.0,20,799.954326014893,269.4699004113322,17.734433352312834,-0.6714643259893547
cross_univariate_residual_mean,delta_Qdis,100,matr,hust,42,17.0,20,694.1663160377522,271.78023718938886,18.3569360565972,-0.6695485833110848
cross_univariate_residual_mean,delta_Qdis,100,matr,hust,42,18.0,20,805.0557180795735,263.34280515540917,17.80596012177388,-0.3676290384509884
cross_univariate_residual_mean,delta_Qdis,100,matr,hust,42,19.0,20,747.1076016738583,265.75412527292207,18.08814607207791,-0.370302886525294
within_univariate,retention_ratio,100,matr,matr,42,,0,,230.0196592085104,32.25954647651736,0.17293287290040893
cross_univariate_raw,retention_ratio,100,matr,hust,42,,0,,798.0096169210944,73.56092081605881,-8.74119590607334
cross_univariate_residual_mean,retention_ratio,100,matr,hust,42,0.0,20,846.7903162501885,257.76852178907257,17.511489173883152,-0.29346171325730364
cross_univariate_residual_mean,retention_ratio,100,matr,hust,42,1.0,20,757.1371192674598,251.71272880767663,16.86654442561385,-0.4055321027278791
cross_univariate_residual_mean,retention_ratio,100,matr,hust,42,2.0,20,672.3383581787584,281.12810390645467,19.127804346044133,-0.7915197874053337
cross_univariate_residual_mean,retention_ratio,100,matr,hust,42,3.0,20,848.0580936588718,268.41284145643675,18.087555523945063,-0.2493950279900108
cross_univariate_residual_mean,retention_ratio,100,matr,hust,42,4.0,20,753.7520539432348,243.75447587145914,16.512158783329625,-0.30375914372759705
cross_univariate_residual_mean,retention_ratio,100,matr,hust,42,5.0,20,764.6205965014135,238.25516086834665,16.113514570494267,-0.18995580290880665
cross_univariate_residual_mean,retention_ratio,100,matr,hust,42,6.0,20,786.0248059934804,248.87672204309166,16.708233357557926,-0.303413656283412
cross_univariate_residual_mean,retention_ratio,100,matr,hust,42,7.0,20,868.8537909562517,259.1085148653333,17.499269593618042,-0.2502355600703712
cross_univariate_residual_mean,retention_ratio,100,matr,hust,42,8.0,20,832.9971743273697,250.78624636565826,16.546886942671783,-0.36347384859151965
cross_univariate_residual_mean,retention_ratio,100,matr,hust,42,9.0,20,730.2812716281196,236.2654288142274,15.977065078623268,-0.16175428592012175
cross_univariate_residual_mean,retention_ratio,100,matr,hust,42,10.0,20,819.1492660386717,232.8347174076901,15.513272189824221,-0.34887037373763974
cross_univariate_residual_mean,retention_ratio,100,matr,hust,42,11.0,20,804.6869971762605,232.339830072253,15.440194738728962,-0.25296453940392283
cross_univariate_residual_mean,retention_ratio,100,matr,hust,42,12.0,20,723.4438369403739,250.28559848470633,16.76938852831251,-0.387794265572766
cross_univariate_residual_mean,retention_ratio,100,matr,hust,42,13.0,20,844.0841205024914,237.5716040269891,16.266730626908206,-0.17157633146732354
cross_univariate_residual_mean,retention_ratio,100,matr,hust,42,14.0,20,825.9156942647357,263.98948555513516,17.60578723861411,-0.35058209611230606
cross_univariate_residual_mean,retention_ratio,100,matr,hust,42,15.0,20,855.2998580135625,272.92067753984537,18.33710607762295,-0.3826674001713477
cross_univariate_residual_mean,retention_ratio,100,matr,hust,42,16.0,20,767.6881267150626,256.80704129129276,17.224512305863932,-0.3738457653230365
cross_univariate_residual_mean,retention_ratio,100,matr,hust,42,17.0,20,671.7535477899222,274.414050037921,18.553515660304413,-0.8476774415074904
cross_univariate_residual_mean,retention_ratio,100,matr,hust,42,18.0,20,743.2331777058554,264.06393861318395,17.85007238008392,-0.357338821832458
cross_univariate_residual_mean,retention_ratio,100,matr,hust,42,19.0,20,885.3391290697106,258.8812526153968,17.06842468446861,-0.6599620489275995
