cell_id,dataset_prefix,source_batch,n_cycles,cycle_life,eol_80pct_q0_label,is_censored_80pct_q0,eol_85pct_q0_label,is_censored_85pct_q0,Qd_mean,Qd_std,dQd_slope,dqdv_peak_delta,dqdv_peak_std,dqdv_area_delta,dqdv_peakpos_delta
b1c0,matr,b1,25,1947.0,1980.0,0,1947.0,0,1.050162108,0.23286203825468146,0.009734040461538451,-0.02552642141967174,0.005412116305304397,-744.9169182161999,0.003003003003003003
b1c0,matr,b1,50,1947.0,1980.0,0,1947.0,0,1.063358666,0.1651866283509057,0.0020062379687875043,0.0,0.005045419458177,-744.8179307692484,0.0
b1c0,matr,b1,100,1947.0,1980.0,0,1947.0,0,1.0697906089999998,0.11698210949029265,0.00044127432883288184,0.0,0.0050407994252651,-737.8886947968984,1.0
b1c1,matr,b1,25,2054.0,2099.0,0,2054.0,0,1.0373503960000001,0.21175879942254391,0.010195122461538463,0.0,0.0006999561882698092,-748.112101418385,0.0
b1c1,matr,b1,50,2054.0,2099.0,0,2054.0,0,1.0596138279999998,0.1513821647506879,0.0026079567731092518,0.0,0.0007705405623713511,-742.6777838389803,0.8978978978978979
b1c1,matr,b1,100,2054.0,2099.0,0,2054.0,0,1.0704344110000001,0.10758916642883978,0.0006476957569756996,0.0,0.0011557691144689533,-741.684287865397,0.0
b1c10,matr,b1,25,906.0,906.0,1,906.0,1,1.0367039200000001,0.21162889519546993,0.010202641000000002,0.0,0.0029818087742407434,-740.7991779252569,0.05305305305305305
b1c10,matr,b1,50,906.0,906.0,1,906.0,1,1.059588522,0.1513839592196852,0.0026474762304922006,0.0,0.002199597580226265,-745.116727400326,1.0
b1c10,matr,b1,100,906.0,906.0,1,906.0,1,1.070887572,0.10763960414374915,0.0006671374389438915,0.0,0.002959764135262251,-737.1399432676881,0.0
b1c11,matr,b1,25,773.0,788.0,1,773.0,0,1.0161635480000002,0.2074345104775348,0.00998297892307691,0.0,0.0062972797130567745,-732.5503680696382,1.0
b1c11,matr,b1,50,773.0,788.0,1,773.0,0,1.03846053,0.14836339339647533,0.002585688667466981,0.0,0.0047096601170091,-728.6258231110431,0.0
b1c11,matr,b1,100,773.0,788.0,1,773.0,0,1.049483047,0.105486571258053,0.0006509144020402038,0.0,0.004441236970685968,-724.1475010018163,0.0
b1c12,matr,b1,25,899.0,902.0,1,899.0,0,1.0379415,0.21187240793845524,0.010121254769230766,0.0,0.0,-738.9467874846893,0.03903903903903904
b1c12,matr,b1,50,899.0,902.0,1,899.0,0,1.06025857,0.15146953676326372,0.0026055516206482427,0.0,0.0,-739.389310346073,0.04504504504504504
b1c12,matr,b1,100,899.0,902.0,1,899.0,0,1.071333671,0.10767651115586845,0.0006550641458145817,0.0,0.0,-729.9560394318722,0.04604604604604605
b1c13,matr,b1,25,897.0,897.0,1,897.0,1,1.040262164,0.21234600783641377,0.010137545153846156,0.0,0.0,-742.9991468840932,0.05305305305305305
b1c13,matr,b1,50,897.0,897.0,1,897.0,1,1.062518092,0.1517917745163931,0.0026019620168067207,0.0,0.0019337225343899667,-749.752161749439,0.0
b1c13,matr,b1,100,897.0,897.0,1,897.0,1,1.073430505,0.10788692474131642,0.0006484489558955875,0.0,0.0016630722381566097,-731.7964996069159,0.03403403403403404
b1c14,matr,b1,25,846.0,880.0,1,846.0,0,1.031491084,0.2105574491956923,0.010053379,0.0,0.0014217041202908706,-735.5177102729981,0.0
b1c14,matr,b1,50,846.0,880.0,1,846.0,0,1.053992784,0.15057741356278687,0.002608329891956774,0.0,0.0010157144841448117,-736.0394272487337,0.0
b1c14,matr,b1,100,846.0,880.0,1,846.0,0,1.065341888,0.10707777808608962,0.0006647239531953216,0.0,0.002133733185437858,-728.2752360391113,0.04804804804804805
b1c15,matr,b1,25,701.0,719.0,1,701.0,0,1.023179456,0.20886288056571298,0.010002446230769227,0.0,0.0006267493916487256,-730.9989859018409,0.0
b1c15,matr,b1,50,701.0,719.0,1,701.0,0,1.045653832,0.14938864626965653,0.002601110722689076,0.0,0.0004477713934572521,-729.2631208353948,0.04804804804804805
b1c15,matr,b1,100,701.0,719.0,1,701.0,0,1.0569803169999998,0.10623956952188206,0.0006624381236123561,0.0,0.002382245641946873,-727.0428818970483,0.0
b1c16,matr,b1,25,826.0,862.0,1,826.0,0,1.041531728,0.21260676749533733,0.010141145153846148,0.0,0.004507580506371308,-744.5956342983543,0.0
b1c16,matr,b1,50,826.0,862.0,1,826.0,0,1.064214576,0.1520372927761614,0.002629775164465782,0.0,0.00431471321055327,-740.205801015923,0.9469469469469469
b1c16,matr,b1,100,826.0,862.0,1,826.0,0,1.075604861,0.10810891867154614,0.0006678998049804973,-0.005179810048396567,0.0041233944226033775,-738.3697567135267,0.0
b1c17,matr,b1,25,826.0,857.0,1,826.0,0,1.0328110400000001,0.21082575141929316,0.010085930999999992,0.0,0.0,-734.3410779360665,0.0
b1c17,matr,b1,50,826.0,857.0,1,826.0,0,1.055136222,0.15073873740078134,0.0026006180120048054,0.0,0.0007196097870690898,-735.681660121654,1.0
b1c17,matr,b1,100,826.0,857.0,1,826.0,0,1.0663351739999998,0.10717579764882894,0.0006572200480048007,0.0,0.0027949672215926208,-725.0505296351163,0.0
