cell_id,dataset_prefix,source_batch,n_cycles,Qd_mean,Qd_std,IR_mean,IR_std,IR_delta,IR_slope,Tavg_mean,dQd_slope,dqdv_peak_delta,dqdv_peak_std,dqdv_area_delta,dqdv_peakpos_delta,stored_cycle_life,q0,q0_source,eol_80pct_q0_cycle,eol_80pct_q0_label,is_censored_80pct_q0,eol_85pct_q0_cycle,eol_85pct_q0_label,is_censored_85pct_q0,eol_88ah_cycle,eol_88ah_label,is_censored_88ah,observed_cycle_count,gap_to_stored_cycle_life,needs_relabel,last_valid_qd,merge_status,kept_for_modeling,cycle_life
b1c0,matr,b1,25,1.050162108,0.23286203825468146,0.01604543288,0.0033073018000786595,0.016572051,0.00014776095230769202,30.398941981871612,0.009734040461538451,-0.02552642141967174,0.005412116305304397,-744.9169182161999,0.003003003003003003,1852.0,1.0706892,first_positive_qd,1980.0,1980.0,0,1947.0,1947.0,0,1966.0,1966.0,0,1995,-143.0,0,0.8264814,continued_from_b2c7,1,1947.0
b1c0,matr,b1,50,1.063358666,0.1651866283509057,0.01632425832,0.002355214431864007,0.016621681,3.530063510204082e-05,30.978519928463566,0.0020062379687875043,0.0,0.005045419458177,-744.8179307692484,0.0,1852.0,1.0706892,first_positive_qd,1980.0,1980.0,0,1947.0,1947.0,0,1966.0,1966.0,0,1995,-143.0,0,0.8264814,continued_from_b2c7,1,1947.0
b1c0,matr,b1,100,1.0697906089999998,0.11698210949029265,0.01647688882,0.001672830600416183,0.016667154,9.294473111311103e-06,31.28770985553454,0.00044127432883288184,0.0,0.0050407994252651,-737.8886947968984,1.0,1852.0,1.0706892,first_positive_qd,1980.0,1980.0,0,1947.0,1947.0,0,1966.0,1966.0,0,1995,-143.0,0,0.8264814,continued_from_b2c7,1,1947.0
b1c1,matr,b1,25,1.0373503960000001,0.21175879942254391,0.015537112519999998,0.004581893225569955,0.016898235,0.0001663935846153842,30.24617377107907,0.010195122461538463,0.0,0.0006999561882698092,-748.112101418385,0.0,2160.0,1.0753012,first_positive_qd,2099.0,2099.0,0,2054.0,2054.0,0,2082.0,2082.0,0,2125,35.0,1,0.8255862,continued_from_b2c8,1,2054.0
b1c1,matr,b1,50,1.0596138279999998,0.1513821647506879,0.01622508702,0.0033121626235516244,0.016904702,6.19654286194479e-05,30.745152082666554,0.0026079567731092518,0.0,0.0007705405623713511,-742.6777838389803,0.8978978978978979,2160.0,1.0753012,first_positive_qd,2099.0,2099.0,0,2054.0,2054.0,0,2082.0,2082.0,0,2125,35.0,1,0.8255862,continued_from_b2c8,1,2054.0
b1c1,matr,b1,100,1.0704344110000001,0.10758916642883978,0.016583334979999996,0.002369597441241305,0.01699684,1.869190525052503e-05,31.017011163858175,0.0006476957569756996,0.0,0.0011557691144689533,-741.684287865397,0.0,2160.0,1.0753012,first_positive_qd,2099.0,2099.0,0,2054.0,2054.0,0,2082.0,2082.0,0,2125,35.0,1,0.8255862,continued_from_b2c8,1,2054.0
b1c10,matr,b1,25,1.0367039200000001,0.21162889519546993,0.01519391908,0.004480623565198139,0.016520184,0.00016434270615384595,31.937202622933146,0.010202641000000002,0.0,0.0029818087742407434,-740.7991779252569,0.05305305305305305,906.0,1.0752757,first_positive_qd,,906.0,1,,906.0,1,,906.0,1,905,1.0,0,0.96101874,native,0,906.0
b1c10,matr,b1,50,1.059588522,0.1513839592196852,0.01586231798,0.003238035802784994,0.016550977,6.079326775510199e-05,32.5264227836059,0.0026474762304922006,0.0,0.002199597580226265,-745.116727400326,1.0,906.0,1.0752757,first_positive_qd,,906.0,1,,906.0,1,,906.0,1,905,1.0,0,0.96101874,native,0,906.0
b1c10,matr,b1,100,1.070887572,0.10763960414374915,0.01623268906,0.0023198582954067812,0.016675979,1.9048915463546303e-05,32.87606916177769,0.0006671374389438915,0.0,0.002959764135262251,-737.1399432676881,0.0,906.0,1.0752757,first_positive_qd,,906.0,1,,906.0,1,,906.0,1,905,1.0,0,0.96101874,native,0,906.0
b1c11,matr,b1,25,1.0161635480000002,0.2074345104775348,0.0149578708,0.004414026017058232,0.016136453,0.00014383793923076907,31.500508991486317,0.00998297892307691,0.0,0.0062972797130567745,-732.5503680696382,1.0,788.0,1.0537786,first_positive_qd,,788.0,1,773.0,773.0,0,,788.0,1,787,1.0,0,0.88054359,native,1,773.0
b1c11,matr,b1,50,1.03846053,0.14836339339647533,0.015550885700000001,0.0031770370038328184,0.016156863,5.366209503001214e-05,32.07812027438441,0.002585688667466981,0.0,0.0047096601170091,-728.6258231110431,0.0,788.0,1.0537786,first_positive_qd,,788.0,1,773.0,773.0,0,,788.0,1,787,1.0,0,0.88054359,native,1,773.0
