dataset,cell_id,n_cycles,q0,cycle_life,is_censored,capacity_normalized,Qdis_N,delta_Qdis,retention_ratio,slope_linear,variance_Qdis,range_Qdis,max_drop,std_diff,skewness_Qdis,slope_ratio,Qdis_cycle10,mean_diff,poly2_a,poly2_b,poly2_c,exp_decay_k,cycle_to_99pct,cycle_to_98pct,cycle_to_95pct,slope_first_quarter,slope_last_quarter,autocorr_lag1,knee_cycle,n_capacity_jumps,accel_mean,accel_std,accel_max_abs,linearity_r2,kurtosis_Qdis,fft_top3_energy_ratio,spectral_entropy,sample_entropy,pos_neg_diff_ratio,mad_Qdis
matr,matr_b1c0,50,1.0722049999999999,1717.0,0,1,1.0042447106663372,0.0056584328556573095,1.0056664436327554,-0.0005418943358094118,0.0040070638442118245,0.43682430132297473,0.4338979019870267,0.08848397713776915,6.777887659211432,0.02273127473763146,1.002175237011579,0.00011788401782619394,1.023729105843123,-0.0002852447191099451,-4.935569551912993e-06,0.0005350370525723958,50.0,50.0,50.0,0.013907521729206982,-4.8206651328206734e-05,-0.5010806304770764,12.0,1.0,-2.5407970669315314e-05,0.1549362797224867,0.866905582421272,0.0157148697145838,48.941454386048264,0.1294238873246696,3.177440508153188,0.08991413664759113,1.6666666666666667,0.00012963938799027356
matr,matr_b1c0,100,1.0722049999999999,1717.0,0,1,1.0034579208267078,0.004871643016027916,1.0048785399161588,-0.00019288010500511572,0.002001627311088386,0.43682430132297473,0.4338979019870267,0.06192726446201803,9.78848865170264,0.03316207587116381,1.002175237011579,4.9710643020693024e-05,1.0261725011989762,-0.0006792989735323842,4.768812436542053e-06,0.0001919746646677357,100.0,100.0,100.0,-0.00038342258121878503,-2.355446709473698e-05,-0.5010846333961513,12.0,1.0,-1.1317846443907553e-05,0.10785155902320409,0.866905582421272,0.016274749298800684,98.86458469455586,0.06423003693257583,3.891094833280507,0.042330807645117284,1.2790697674418605,0.00028091642922762114
matr,matr_b1c1,50,1.0769552999999998,2066.0,0,1,1.0044192177706912,0.005955121814248014,1.005964282379672,6.300871673001032e-05,2.5130996400080465e-06,0.008624591939888442,0.002125064986448552,0.000723399645962372,-1.815362787770751,-0.03995956149865903,1.0026197001862567,0.00012406503779683361,0.9999078229191645,0.00032859996663330053,-5.107524036602057e-06,-6.270813589348675e-05,50.0,50.0,50.0,0.0005827351611341319,-9.035443932250571e-07,-0.23720551426542597,12.0,0.0,-2.8257361186315652e-05,0.0011379888729268314,0.006372409328409816,0.3402665320595849,3.8337311351779793,0.6968764921261478,2.1502459040676443,0.06369499514913196,1.2857142857142858,8.394034552774381e-05
matr,matr_b1c1,100,1.0769552999999998,2066.0,0,1,1.0034118407699932,0.004947744813549894,1.004955355764506,5.1397606911011765e-06,1.3037724759567541e-06,0.008624591939888442,0.002125064986448552,0.0005151254975770262,-2.4223737508202228,-0.3362150547761769,1.0026197001862567,5.048719197499892e-05,1.002033616755962,0.00010170008705687497,-9.466698663311699e-07,-5.116264040713386e-06,100.0,100.0,100.0,0.0002315539566679776,-1.9184276910735442e-05,-0.20901462756423994,12.0,0.0,-1.2733492338869717e-05,0.0007962403193561786,0.006372409328409816,0.01782077128031434,9.242943158093741,0.5218547298827702,2.615531455591912,0.1433785828453472,0.7192982456140351,0.0002961125684602693
matr,matr_b1c10,50,1.07650055,,1,1,1.0055612140653343,0.006699021194183457,1.0067066520707202,0.0001021007848258126,4.066587845545683e-06,0.009006590846609541,0.008492610616873496,0.001521936299379359,-1.355642320057297,0.0015585017080983518,1.0028237328815113,0.0001395629415454887,0.9993362887353213,0.0003628052065968155,-5.013546572519837e-06,-0.0001015747878166541,50.0,50.0,50.0,0.0003907088126878131,-4.868793370386471e-07,-0.5939101719185451,12.0,0.0,-1.712206732603781e-05,0.0027439922000419346,0.013360048910332814,0.5519150721358239,1.2745867221807172,0.5967787744619488,2.2558473996129993,0.07979691684029701,2.6923076923076925,0.00024096597070946292
matr,matr_b1c10,100,1.07650055,,1,1,1.0047746840445182,0.005912491173367314,1.0059192261110337,2.3494535162805715e-05,2.2933066054575594e-06,0.009006590846609541,0.008492610616873496,0.0010693129264210026,-2.383608653802784,-0.1968136291012932,1.0028237328815113,6.0331542585380755e-05,1.001300935448334,0.00015697804514130633,-1.3086618625343558e-06,-2.3361664451798187e-05,100.0,100.0,100.0,0.00024607455268308836,-1.790956091378978e-05,-0.5833372828969716,12.0,0.0,-9.56516670288338e-06,0.0019108442302974865,0.013360048910332814,0.21160731550130418,6.164470114908985,0.5759383511879863,2.6896477897296256,0.09565317414828088,1.1777777777777778,0.00028982799869435084
matr,matr_b1c11,50,1.0554554999999999,771.0,0,1,1.005061416611122,0.006650209317209383,1.0066607919348523,9.300269322737035e-05,3.410536660736973e-06,0.008963333840223521,0.00811640092831971,0.0014647229243170588,-1.4303624519339841,0.0320612973415997,1.0025058375270204,0.00013854602744186212,0.9994171968029214,0.00032703104225314806,-4.500545173573229e-06,-9.256795324513491e-05,50.0,50.0,50.0,0.0003680881849596628,2.271580798590165e-06,-0.5840992579624098,12.0,0.0,-2.4131962708007236e-05,0.002630123387993196,0.012875388872387407,0.5353505477561262,1.836759708492278,0.5647935093815527,2.358016119185025,0.07539801748421174,2.6923076923076925,0.0002313692997952332
matr,matr_b1c11,100,1.0554554999999999,771.0,0,1,1.0042791003505123,0.0058678930565997985,1.00587723075796,2.0663497984911074e-05,1.929417066037818e-06,0.008963333840223521,0.00811640092831971,0.0010296765099169281,-2.42208334249377,-0.23709502986820416,1.0025058375270204,5.9876459761222434e-05,1.001139310222524,0.00014597050679577474,-1.2285000863810419e-06,-2.055690862159284e-05,100.0,100.0,100.0,0.00022724847440171628,-2.208891759553109e-05,-0.5725285121808454,12.0,0.0,-1.2006346973843756e-05,0.0018318284172160189,0.012875388872387407,0.19075078144275692,6.9363075991435,0.5599274457465927,2.7290209736317803,0.10657337208303562,1.0851063829787233,0.0002667094917787113
matr,matr_b1c12,50,1.0790142999999999,897.0,0,1,1.0034659410908644,0.004808184655198758,1.004814647084262,5.899583252862426e-05,1.1535922823076417e-06,0.00481615489247913,6.441063848731626e-05,0.00018620291337708022,-2.095008050391722,0.11822840499797962,1.0019728190812671,0.00010017051364997413,0.999815025013416,0.00020344057561266806,-2.777783520847555e-06,-5.8812609315249886e-05,50.0,50.0,50.0,0.00030629936841561215,3.6788950986339324e-06,0.6250880411767012,12.0,0.0,-2.0734053687269537e-05,9.301028530599163e-05,0.0003504124088064484,0.651099740664542,4.788971463081005,0.678473291071915,2.159667353449911,0.10309550902697412,3.8,0.0003538414643809519
matr,matr_b1c12,100,1.0790142999999999,897.0,0,1,1.0026865260265783,0.004028769590912686,1.0040341844490268,1.1652408727363296e-05,6.906562840121704e-07,0.005400855206460131,0.0003840542243044657,0.00015487331073468747,-2.8727617859554,-0.35429604441688173,1.0019728190812671,4.110989378482332e-05,1.0008418606671485,9.595735188499823e-05,-8.265190505650699e-07,-1.1612357725158438e-05,100.0,100.0,100.0,0.00014776969007326265,-1.5797308468597973e-05,0.6240719972141918,19.0,0.0,-1.0725711305485644e-05,9.2159739643721e-05,0.0004218665127978276,0.17323733015537168,10.804904252853214,0.6621582432142569,2.2378239345672517,0.14610445835162908,1.3333333333333333,0.00026533475969684703
