dataset,cell_id,n_cycles,q0,cycle_life,is_censored,capacity_normalized,Qdis_N,delta_Qdis,retention_ratio,slope_linear,variance_Qdis,range_Qdis,max_drop,std_diff,skewness_Qdis,slope_ratio,Qdis_cycle10,mean_diff,poly2_a,poly2_b,poly2_c,exp_decay_k,cycle_to_99pct,cycle_to_98pct,cycle_to_95pct,slope_first_quarter,slope_last_quarter,autocorr_lag1,knee_cycle,n_capacity_jumps,accel_mean,accel_std,accel_max_abs,linearity_r2,kurtosis_Qdis,fft_top3_energy_ratio,spectral_entropy,sample_entropy,pos_neg_diff_ratio,mad_Qdis
sandia,sandia_SNL_18650_LFP_15C_0_100_0_5_1C_a,50,1.033,,1,0,1.033,0.0009999999999998899,1.000968992248062,2.44897959184909e-06,1.9991670137438337e-08,0.0009999999999998899,-0.0,0.00014282613750833938,-6.7838656629778065,-7.221122326457158e-13,1.033,2.083333333333104e-05,1.0328016326530607,1.4933973589474542e-05,-2.4009603841662307e-07,-2.37087784065096e-06,50.0,50.0,50.0,3.846153846158327e-05,1.0011502573901311e-17,-0.0004432624113475171,3.0,0.0,-2.1276595744678508e-05,0.00014430489325796853,0.0009999999999998899,0.05999999999999661,48.99999999999709,0.12499999479166689,3.178053739595705,0.04348511193973878,1.0,0.0
sandia,sandia_SNL_18650_LFP_15C_0_100_0_5_1C_a,100,1.033,,1,0,1.032,0.0,1.0,-9.734075448356086e-06,1.7834914804607852e-07,0.0009999999999998899,0.0009999999999998899,0.00028571428571425424,-1.2676669140699133,-11.647058823468901,1.033,0.0,1.0327069887598894,2.211358228186723e-05,-3.1223193853157376e-07,9.423350408523001e-06,100.0,100.0,100.0,9.999999999978725e-06,-2.1304347826114656e-05,-0.375,3.0,0.0,-1.0309278350514329e-05,0.00046517584217225713,0.0019999999999997797,0.4338735814691209,-0.35047270518771123,0.7762516988043876,1.9540588963514083,0.07396663139505201,1.0,0.0
sandia,sandia_SNL_18650_LFP_15C_0_100_0_5_1C_b,50,1.0430000000000001,,1,0,1.044,0.001000000000000112,1.0009587727708533,2.571428571430374e-05,2.857142857143121e-07,0.0020000000000000018,0.001000000000000112,0.00032207551736959704,-1.7181079837217859,3.0974130836573637e-14,1.043,2.0833333333335664e-05,1.0424663829787233,8.900257975535081e-05,-1.2170825777134084e-06,-2.4632756026027105e-05,50.0,50.0,50.0,-3.4965034965220055e-06,2.628039135004924e-17,-8.716875871684428e-05,6.0,0.0,-2.127659574468323e-05,0.0004370774166845617,0.0020000000000000018,0.46285714285720847,2.3873586437320995,0.7702492635216177,1.8407729218441298,0.06876136320949655,1.5,0.0
sandia,sandia_SNL_18650_LFP_15C_0_100_0_5_1C_b,100,1.0430000000000001,,1,0,1.042,-0.0009999999999998899,0.9990412272291468,-1.3667285095850285e-05,4.5627997143151395e-07,0.0020000000000000018,0.001000000000000112,0.00030287391999298766,-0.37306041600842804,-0.9766573295982047,1.043,-1.0204081632651938e-05,1.043004525371535,4.093210288840055e-05,-5.352881174927403e-07,1.3096127908653422e-05,100.0,100.0,100.0,6.695652173911296e-05,-6.217391304346678e-05,-0.2247561907850865,53.0,0.0,-1.0309278350516617e-05,0.0004651758421723309,0.002000000000000224,0.33433198860940894,-0.8068978856807925,0.8222177563298032,1.5736506507436354,0.09447344046415963,0.8,0.0009999999999998899
sandia,sandia_SNL_18650_LFP_15C_0_100_0_5_2C_a,50,1.03275,,1,0,1.031,-0.0020000000000000018,0.9980638915779284,-1.1530612244883843e-05,5.068721366097352e-07,0.004999999999999893,0.0024999999999999467,0.0006023680122833604,3.7039031305973134,-1.1927950810659398e-13,1.031,-4.1666666666666706e-05,1.0319667086409021,-7.435403948811074e-05,1.2081428315998693e-06,1.1184505147440455e-05,50.0,50.0,50.0,-0.0002080419580419555,4.4488029692681966e-17,0.06210127591705854,5.0,0.0,-4.255319148936174e-05,0.0007775424133881372,0.0044999999999999485,0.05246096959740021,19.265817262875654,0.34046566166854997,2.648878784662366,0.04995093040539431,1.0,0.0
sandia,sandia_SNL_18650_LFP_15C_0_100_0_5_2C_a,100,1.03275,,1,0,1.03,-0.0029999999999998916,0.9970958373668927,-1.2560296846007143e-05,4.32557902254831e-07,0.004999999999999893,0.0024999999999999467,0.000433403277175403,2.5872630690167955,2.4986985944850746,1.031,-3.061224489795808e-05,1.031215133153542,2.8098052809824687e-06,-1.506872757547686e-07,1.218332054585962e-05,100.0,100.0,100.0,-4.9347826086977165e-05,-3.4782608695684595e-05,0.05953889316258109,5.0,0.0,-2.0618556701030948e-05,0.0005603640466788278,0.0044999999999999485,0.2978519078347125,16.18535719276923,0.275344797730639,3.2211579210616286,0.04058100162837904,0.6666666666666666,0.0
sandia,sandia_SNL_18650_LFP_15C_0_100_0_5_2C_b,50,1.03125,,1,0,1.027,-0.0050000000000001155,0.9951550387596898,-4.846938775508504e-05,1.1886713869221397e-06,0.006000000000000005,0.0024999999999999467,0.0005396597436245151,3.021028110703601,0.5571810602485623,1.028,-0.00010416666666666907,1.029871623968736,-0.00011414842532756252,1.2630584148546376e-06,4.7158057128402166e-05,50.0,50.0,50.0,-0.0003723776223776115,-3.846153846154217e-05,0.22277074018878495,5.0,0.0,-2.1276595744678508e-05,0.0006600890237229026,0.0034999999999998366,0.3952785564120689,11.605276789713358,0.4129101479978083,2.575570238363465,0.0718257345712555,0.3333333333333333,0.0
sandia,sandia_SNL_18650_LFP_15C_0_100_0_5_2C_b,100,1.03125,,1,0,1.025,-0.007000000000000117,0.9932170542635658,-4.262832405689064e-05,1.8911845730028025e-06,0.008000000000000007,0.0024999999999999467,0.00042857142857141695,1.1355859790215725,0.9600000000004363,1.028,-7.142857142857263e-05,1.0292520364171907,-4.79527929649756e-05,5.220067556941946e-08,4.150960839465113e-05,100.0,100.0,100.0,-0.00010630434782610341,-6.0869565217415273e-05,0.12074829931974972,5.0,0.0,-1.0309278350514329e-05,0.0005606484713887927,0.0034999999999998366,0.7847068256776082,3.951635363091106,0.5645017837011198,2.539481336932701,0.10217923122611573,0.3333333333333333,0.001000000000000112
sandia,sandia_SNL_18650_LFP_25C_0_100_0_5_0_5C_a,50,1.07,,1,0,1.064,-0.004999999999999893,0.9953227315247897,-0.00014051020408162516,4.0807996668055015e-06,0.006000000000000005,0.001000000000000112,0.0003673998351780989,0.13081356672958522,0.8422385997235531,1.069,-0.00010416666666666445,1.070666508901433,-0.0001642516155397923,4.565656049640904e-07,0.00013172125351120764,50.0,50.0,50.0,-8.391608391607982e-05,-0.00011188811188806912,-0.0981377277599084,8.0,0.0,-2.127659574468323e-05,0.0005254931504352588,0.001000000000000112,0.9676102265768498,-1.2991613850183223,0.8735139856018598,1.2937419264977525,0.3958956570920136,0.16666666666666666,0.0020000000000000018
sandia,sandia_SNL_18650_LFP_25C_0_100_0_5_0_5C_a,100,1.07,,1,0,1.059,-0.010000000000000009,0.990645463049579,-0.0001158317872603577,1.1147842056933023e-05,0.01100000000000012,0.001000000000000112,0.0003347187646297361,0.2400857439909242,0.7241659190910217,1.069,-0.0001020408163265307,1.0705340116927744,-0.000155114836120656,3.8512793000289406e-07,0.0001088962001077331,92.0,100.0,100.0,-0.00014521739130438663,-0.00010000000000003359,-0.10317881799559657,8.0,0.0,-1.0309278350516617e-05,0.00048683377126258867,0.001000000000000112,0.9829004583711574,-1.0669466140916037,0.8287772127799898,1.5798594685175713,0.3031126456784266,0.09090909090909091,0.0029999999999998916
