dataset,cell_id,n_cycles,q0,cycle_life,is_censored,capacity_normalized,Qdis_N,delta_Qdis,retention_ratio,slope_linear,variance_Qdis,range_Qdis,max_drop,std_diff,skewness_Qdis,slope_ratio,Qdis_cycle10,mean_diff,poly2_a,poly2_b,poly2_c,exp_decay_k,cycle_to_99pct,cycle_to_98pct,cycle_to_95pct,slope_first_quarter,slope_last_quarter,autocorr_lag1,knee_cycle,n_capacity_jumps,accel_mean,accel_std,accel_max_abs,linearity_r2,kurtosis_Qdis,fft_top3_energy_ratio,spectral_entropy,sample_entropy,pos_neg_diff_ratio,mad_Qdis
sandia,sandia_SNL_18650_LFP_15C_0_100_0_5_1C_a,50,1.033,,1,1,1.0,0.0009680542110357115,1.000968992248062,2.3707450066302904e-06,1.9353020462186196e-08,0.0009680542110357115,-0.0,0.00013826344386092874,-6.7838656629778065,-7.221122326457158e-13,1.0,2.016779606324399e-05,0.9998079696544635,1.4456896020788522e-05,-2.3242598104222952e-07,-2.37087784065096e-06,50.0,50.0,50.0,3.723285427065176e-05,9.691677225461096e-18,-0.0004432624113475171,3.0,0.0,-2.0596898107142797e-05,0.00013969495959145067,0.0009680542110357115,0.05999999999999661,48.99999999999709,0.12499999479166689,3.178053739595705,0.04348511193973878,1.0,0.0
sandia,sandia_SNL_18650_LFP_15C_0_100_0_5_1C_a,100,1.033,,1,1,0.9990319457889643,0.0,1.0,-9.423112728321479e-06,1.7265164380065687e-07,0.0009680542110357115,0.0009680542110357115,0.0002765869174387747,-1.2676669140699133,-11.647058823468901,1.0,0.0,0.9997163492351302,2.1407146449048628e-05,-3.022574429153667e-07,9.423350408523001e-06,100.0,100.0,100.0,9.680542110337586e-06,-2.062376362644207e-05,-0.375,3.0,0.0,-9.979940319955788e-06,0.00045031543288698663,0.001936108422071423,0.4338735814691209,-0.35047270518771123,0.7762516988043876,1.9540588963514083,0.07396663139505201,1.0,0.0
sandia,sandia_SNL_18650_LFP_15C_0_100_0_5_1C_b,50,1.0430000000000001,,1,1,1.000958772770853,0.0009587727708534149,1.0009587727708533,2.465415696481662e-05,2.7393507738668463e-07,0.001917545541706617,0.0009587727708534149,0.0003087972362124612,-1.7181079837217859,3.0974130836573637e-14,0.9999999999999998,1.997443272611281e-05,0.9994883825299359,8.53332500051302e-05,-1.1669056353915706e-06,-2.4632756026027105e-05,50.0,50.0,50.0,-3.3523523456586817e-06,2.5196923633796007e-17,-8.716875871684428e-05,6.0,0.0,-2.0399420656455635e-05,0.00041905792587206296,0.001917545541706617,0.46285714285720847,2.3873586437320995,0.7702492635216177,1.8407729218441298,0.06876136320949655,1.5,0.0
sandia,sandia_SNL_18650_LFP_15C_0_100_0_5_1C_b,100,1.0430000000000001,,1,1,0.9990412272291466,-0.000958772770853202,0.9990412272291468,-1.3103820801390492e-05,4.3746881249426066e-07,0.001917545541706617,0.0009587727708534149,0.0002903872674908798,-0.37306041600842804,-0.9766573295982047,0.9999999999999998,-9.783395620951043e-06,1.0000043388030055,3.9244585703164475e-05,-5.132196716133655e-07,1.3096127908653422e-05,100.0,100.0,100.0,6.419608987450906e-05,-5.961065488347725e-05,-0.2247561907850865,53.0,0.0,-9.884255369622833e-06,0.00044599793113358664,0.0019175455417068299,0.33433198860940894,-0.8068978856807925,0.8222177563298032,1.5736506507436354,0.09447344046415963,0.8,0.000958772770853202
sandia,sandia_SNL_18650_LFP_15C_0_100_0_5_2C_a,50,1.03275,,1,1,0.9983054950375211,-0.0019365770999757944,0.9980638915779284,-1.1164959811071259e-05,4.907984861871074e-07,0.0048414427499393784,0.0024207213749696892,0.0005832660491729463,3.7039031305973134,-1.1927950810659398e-13,0.9983054950375211,-4.034535624949572e-05,0.999241547945681,-7.199616508168554e-05,1.1698308705881087e-06,1.1184505147440455e-05,50.0,50.0,50.0,-0.00020144464588908788,4.3077249762945496e-17,0.06210127591705854,5.0,0.0,-4.120376808459137e-05,0.0007528854160136888,0.004357298474945484,0.05246096959740021,19.265817262875654,0.34046566166854997,2.648878784662366,0.04995093040539431,1.0,0.0
sandia,sandia_SNL_18650_LFP_15C_0_100_0_5_2C_a,100,1.03275,,1,1,0.9973372064875332,-0.0029048656499635842,0.9970958373668927,-1.2161991620437804e-05,4.188408639601365e-07,0.0048414427499393784,0.0024207213749696892,0.0004196594308161733,2.5872630690167955,2.4986985944850746,0.9983054950375211,-2.9641486224118205e-05,0.9985138060068186,2.7207022812708483e-06,-1.459087637422112e-07,1.218332054585962e-05,100.0,100.0,100.0,-4.7782934966814e-05,-3.367960173874083e-05,0.05953889316258109,5.0,0.0,-1.996471237088448e-05,0.0005425940902239921,0.004357298474945484,0.2978519078347125,16.18535719276923,0.275344797730639,3.2211579210616286,0.04058100162837904,0.6666666666666666,0.0
sandia,sandia_SNL_18650_LFP_15C_0_100_0_5_2C_b,50,1.03125,,1,1,0.9958787878787878,-0.00484848484848496,0.9951550387596898,-4.7000618429173374e-05,1.152651041863893e-06,0.005818181818181823,0.0024242424242423726,0.0005233064180601358,3.021028110703601,0.5571810602485623,0.9968484848484849,-0.00010101010101010334,0.9986633929393803,-0.0001106893821358182,1.2247839174348001e-06,4.7158057128402166e-05,50.0,50.0,50.0,-0.00036109345200253235,-3.729603729604089e-05,0.22277074018878495,5.0,0.0,-2.063185041908219e-05,0.0006400863260343298,0.0033939393939392353,0.3952785564120689,11.605276789713358,0.4129101479978083,2.575570238363465,0.0718257345712555,0.3333333333333333,0.0
sandia,sandia_SNL_18650_LFP_15C_0_100_0_5_2C_b,100,1.03125,,1,1,0.9939393939393939,-0.006787878787878902,0.9932170542635658,-4.133655666122729e-05,1.833875949578475e-06,0.007757575757575764,0.0024242424242423726,0.00041558441558440433,1.1355859790215725,0.9600000000004363,0.9968484848484849,-6.926406926407042e-05,0.9980625807681849,-4.6499678026643006e-05,5.0618836915800686e-08,4.150960839465113e-05,100.0,100.0,100.0,-0.00010308300395258513,-5.902503293809966e-05,0.12074829931974972,5.0,0.0,-9.996875976256318e-06,0.0005436591237709505,0.0033939393939392353,0.7847068256776082,3.951635363091106,0.5645017837011198,2.539481336932701,0.10217923122611573,0.3333333333333333,0.0009696969696970782
sandia,sandia_SNL_18650_LFP_25C_0_100_0_5_0_5C_a,50,1.07,,1,1,0.994392523364486,-0.004672897196261582,0.9953227315247897,-0.00013131794773983658,3.813831464304207e-06,0.0056074766355140235,0.000934579439252441,0.0003433643319421485,0.13081356672958522,0.8422385997235531,0.9990654205607475,-9.73520249221163e-05,1.0006229055153577,-0.00015350618274746945,4.2669682706924336e-07,0.00013172125351120764,50.0,50.0,50.0,-7.842624665054188e-05,-0.00010456832886735431,-0.0981377277599084,8.0,0.0,-1.98846689202647e-05,0.0004911150938647278,0.000934579439252441,0.9676102265768498,-1.2991613850183223,0.8735139856018598,1.2937419264977525,0.3958956570920136,0.16666666666666666,0.0018691588785046745
sandia,sandia_SNL_18650_LFP_25C_0_100_0_5_0_5C_a,100,1.07,,1,1,0.9897196261682242,-0.009345794392523372,0.990645463049579,-0.00010825400678538102,1.0418543978442077e-05,0.010280373831775814,0.000934579439252441,0.00031282127535489353,0.2400857439909242,0.7241659190910217,0.9990654205607475,-9.536524890329971e-05,1.0004990763483872,-0.00014496713656136074,3.599326448625178e-07,0.0001088962001077331,92.0,100.0,100.0,-0.00013571718813494077,-9.345794392526503e-05,-0.10317881799559657,8.0,0.0,-9.634839579922073e-06,0.00045498483295569034,0.000934579439252441,0.9829004583711574,-1.0669466140916037,0.8287772127799898,1.5798594685175713,0.3031126456784266,0.09090909090909091,0.002803738317756908
sandia,sandia_SNL_18650_LFP_25C_0_100_0_5_1C_a,50,1.03375,,1,1,0.9973397823458283,-0.0029020556227328793,0.9970986460348161,-4.372825309082418e-05,6.309342086908117e-07,0.003869407496977029,0.0014510278113664397,0.0004025591365465198,1.8216137472438636,0.5275524475527416,0.9983071342200727,-6.045949214026832e-05,0.9995947371101567,-9.14596099058055e-05,9.17910707979441e-07,4.382133632140291e-05,50.0,50.0,50.0,-0.00020124977803330556,4.303557890465003e-17,-0.18092105263161143,5.0,0.0,-2.0581954771152125e-05,0.0006065568768238665,0.0024183796856103745,0.6265932311622335,5.406174714876869,0.5496157673083076,2.3512909676260647,0.10144661633668994,0.5,0.0
sandia,sandia_SNL_18650_LFP_25C_0_100_0_5_1C_a,100,1.03375,,1,1,0.9954050785973397,-0.004836759371221393,0.9951644100580269,-3.854451531079607e-05,1.4172726495470697e-06,0.0058041112454655435,0.0014510278113664397,0.00031277012102272686,0.5368570223323462,0.7913955649984812,0.9983071342200727,-4.9354687461442795e-05,0.9992224606722272,-4.9713722848787164e-05,1.095020346863038e-07,3.8660877213309735e-05,100.0,100.0,100.0,-5.783081856895597e-05,-5.004994479788853e-05,-0.15214651597693504,5.0,0.0,-9.972699734475771e-06,0.00046579020523943775,0.0024183796856103745,0.8849772851791906,0.5597295993295264,0.6860549024870524,2.1504828538987124,0.09054542987268567,0.3333333333333333,0.0009673518742441498
sandia,sandia_SNL_18650_LFP_25C_0_100_0_5_1C_b,50,1.0379999999999998,,1,1,0.9990366088631986,-0.0009633911368016494,0.9990366088631983,-1.4745782706137949e-05,2.5117986323942756e-07,0.001926782273603085,0.0009633911368016494,0.0003102846988146408,-0.27275313071373275,-3.1363636363682605,1.0000000000000002,-2.0070648683367695e-05,0.9993847766630932,5.9980947243081484e-05,-1.4370524990241495e-06,1.4747185066381996e-05,50.0,50.0,50.0,-1.3474001913262307e-05,9.10841888405745e-18,-0.008455369595537486,3.0,0.0,-2.049768376173267e-05,0.00042107650933003165,0.001926782273603085,0.17971246006388208,-0.882118075278441,0.6374987187136221,2.1008110761707925,0.11829969802902356,0.6666666666666666,0.0
sandia,sandia_SNL_18650_LFP_25C_0_100_0_5_1C_b,100,1.0379999999999998,,1,1,0.9971098265895955,-0.0028901734104047343,0.9971098265895952,-2.675093509114487e-05,7.781047075728114e-07,0.00385356454720617,0.0009633911368016494,0.0002557825455400476,-0.2943653662365048,2.5882352941192077,1.0000000000000002,-2.9491565412293204e-05,0.999893544140013,1.139479532696363e-06,-2.73435437488655e-07,2.677246702293745e-05,100.0,100.0,100.0,1.843009131270809e-05,-3.979224260704252e-05,-0.017860910981822745,38.0,0.0,-9.93186738970552e-06,0.00035254631923602734,0.001926782273603085,0.7796183910653862,-0.6481486076080705,0.7655931305495831,1.754531947132845,0.1004187477470473,0.4,0.0009633911368014355
sandia,sandia_SNL_18650_LFP_25C_0_100_0_5_1C_c,50,1.05175,,1,1,0.9983361064891848,-0.0019015925837889249,0.9980988593155894,-2.0859306403801523e-05,4.0590012461128264e-07,0.002852388875683282,0.0014261944378417466,0.0004211293008768657,1.2207836328703496,-18.657342657527042,0.9983361064891848,-3.9616512162269275e-05,0.9991383382801508,6.92315018552536e-06,-5.342780113339159e-07,2.0881462101395047e-05,50.0,50.0,50.0,-0.00016123643411495998,2.921915599285618e-17,-0.04000737463125631,5.0,0.0,-2.022970833817781e-05,0.0005961760602962721,0.0023769907297361034,0.2254878048780382,2.405066100362875,0.4328213629797429,2.4963968128129608,0.20613220548767316,0.75,0.0
sandia,sandia_SNL_18650_LFP_25C_0_100_0_5_1C_c,100,1.05175,,1,1,0.9964345139053958,-0.0038031851675778498,0.9961977186311787,-2.674812821166791e-05,8.443276733499936e-07,0.004753981459472207,0.0014261944378417466,0.00035075122575152116,0.038226701071430426,2.03994528043834,0.9983361064891848,-3.880801191405969e-05,0.9991634517188492,-2.3754096952435252e-06,-2.3894822074926566e-07,2.679149859050639e-05,100.0,100.0,100.0,2.273643306682533e-06,-5.1260321823904217e-05,-0.10915322517682045,5.0,0.0,-9.802023627776876e-06,0.0005152826023706082,0.0023769907297361034,0.7278353066969476,0.49706793434415264,0.6390854371249938,2.317114608245774,0.13353139262452263,0.5714285714285714,0.000950796291894357
sandia,sandia_SNL_18650_LFP_25C_0_100_0_5_1C_d,50,1.0507499999999999,,1,1,0.9983345229597907,-0.0019034023316678583,0.9980970504281637,-1.5052416398388727e-05,2.9331897655858125e-07,0.002855103497501893,0.0014275517487509464,0.0003740971184097569,3.8483269416940615,3.8741216906874696e-13,0.9983345229597907,-3.965421524308038e-05,0.9994472033653774,-7.79384452613217e-05,1.2093467089020368e-06,1.5078201535307238e-05,50.0,50.0,50.0,-0.00019799377401091264,3.625831469023072e-17,-0.05079588014984392,5.0,0.0,-2.0248960975192227e-05,0.000528222392748711,0.002379252914584981,0.1623310810810512,16.15899503274335,0.3566036751144247,2.650090296601701,0.0964182131586866,0.6666666666666666,0.0
sandia,sandia_SNL_18650_LFP_25C_0_100_0_5_1C_d,100,1.0507499999999999,,1,1,0.9964311206281229,-0.0038068046633357167,0.9961941008563273,-2.63733637854165e-05,8.123105910400622e-07,0.004758505829169752,0.0014275517487509464,0.00032369169373673877,0.17292839169117508,3.0451612903238576,0.9983345229597907,-3.8844945544242e-05,0.9987652820969218,-1.3107557337957435e-06,-2.4571184364336277e-07,2.6425714470838146e-05,100.0,100.0,100.0,-5.0688431658576626e-05,-4.386101025150011e-05,-0.2166186006356105,5.0,0.0,-9.811352225093142e-06,0.0004973397572784427,0.002379252914584981,0.7347729559817215,1.3728016396091345,0.6235650008537083,2.3906538237969697,0.08411366415355843,0.5,0.0
sandia,sandia_SNL_18650_LFP_25C_0_100_0_5_2C_a,50,1.03675,,1,1,0.9954183747287195,-0.005787316132143723,0.9942196531791907,-4.763709197205675e-05,1.7627893369322313e-06,0.006751868820834237,0.0033759344104172255,0.000796729668097347,3.265349423391185,0.39403803323645764,0.9963829274174101,-0.00012056908608632756,0.9982297924274653,-0.00013882010022499972,1.7535193894790341e-06,4.783440899132822e-05,50.0,50.0,50.0,-0.00045360956863243416,3.974882164432758e-17,0.1789122137404856,5.0,0.0,-2.0522397631713052e-05,0.0010192216915043068,0.004340487099107739,0.26692798541478235,12.582694433277894,0.3252038953349188,2.649865147596452,0.41587412402289997,0.8333333333333334,0.0
sandia,sandia_SNL_18650_LFP_25C_0_100_0_5_2C_a,100,1.03675,,1,1,0.9934892693513383,-0.007716421509524964,0.9922928709055877,-3.560553493379002e-05,1.7798609990117316e-06,0.008680974198215478,0.0033759344104172255,0.0005914439919714954,2.254371655752111,0.8954788526985676,0.9963829274174101,-7.87389949951527e-05,0.9973231867524129,-4.486624596119427e-05,9.079128458249075e-08,3.5774139573822416e-05,100.0,100.0,100.0,-9.414872983090777e-05,-5.703441985301521e-05,0.1359310270771569,5.0,0.0,-9.943842151448593e-06,0.0007741841513468817,0.004340487099107739,0.6030701277774184,10.069041174170193,0.3926799851761804,2.9926613373709694,0.2478361639045812,0.6666666666666666,0.0009645526886905134
sandia,sandia_SNL_18650_LFP_25C_0_100_0_5_2C_b,50,1.03225,,1,1,0.9958827803342215,-0.004843787842092414,0.995159728944821,-5.367707751541237e-05,1.272982144256668e-06,0.005812545410511025,0.002421893921046422,0.000558948188589905,2.8772137417343666,0.44140317759920994,0.9968515379026399,-0.00010091224671025863,0.9989071842543865,-0.00013982130368310564,1.6566197339931305e-06,5.386785820805714e-05,50.0,50.0,50.0,-0.00036074363998801924,1.737529008614621e-17,0.13230660582355824,5.0,0.0,-2.06118631578428e-05,0.0007271344164467257,0.0033906514894650338,0.4672725832012269,10.499697669937124,0.4316751350140574,2.5595683762303905,0.12905711222960156,0.5,0.0
sandia,sandia_SNL_18650_LFP_25C_0_100_0_5_2C_b,100,1.03225,,1,1,0.9939452651973845,-0.006781302978929422,0.9932236205227494,-4.315374622954661e-05,1.9627694536139076e-06,0.007750060547348034,0.002421893921046422,0.00043764005953269306,1.259411133858001,0.7418481204640683,0.9968515379026399,-6.919696917274921e-05,0.9982151438090473,-6.269871232396879e-05,1.9161731465124326e-07,4.334674662735311e-05,100.0,100.0,100.0,-0.00010298314151234389,-3.0326323880934005e-05,0.10867346938776004,5.0,0.0,-9.987191426995997e-06,0.0005776621220414383,0.0033906514894650338,0.7998295354400017,3.893907592070147,0.5868418326234457,2.4708876297516893,0.15965056062960134,0.42857142857142855,0.0009687575684183967
sandia,sandia_SNL_18650_LFP_25C_0_100_0_5_3C_a,50,1.037,3183.0,0,1,0.9922854387656702,-0.008678881388621138,0.991329479768786,-0.00013323362131736536,4.37137049533772e-06,0.008678881388621138,0.0019286403085824512,0.0004681444952479568,1.206072815601316,0.4322552447552243,0.996142719382835,-0.00018081002892960703,0.9994459199794319,-0.00027905283864089686,2.8042157177593675e-06,0.00013401096738384184,50.0,50.0,50.0,-0.0004383273428596385,-9.103721736314887e-05,0.20131215469612557,8.0,0.0,0.0,0.0005967721771989241,0.0019286403085824512,0.842206909224545,1.9283393011842511,0.6551373990034756,2.1070055445508027,0.3059355127611313,0.0,0.0009643201542913327
sandia,sandia_SNL_18650_LFP_25C_0_100_0_5_3C_a,100,1.037,3183.0,0,1,0.9874638379942142,-0.01350048216007716,0.9865125240847784,-0.00010172772536734643,9.292736448576496e-06,0.01350048216007716,0.0019286403085824512,0.00038964418304810486,0.5797697283095219,0.6200364931793382,0.996142719382835,-0.00013776002204160366,0.9983402211192521,-0.00015906553242014013,5.621353632627312e-07,0.00010257051505021992,74.0,100.0,100.0,-0.00022137436585468423,-8.008049976941183e-05,0.12372448979591838,8.0,0.0,0.0,0.00051810095421151,0.0019286403085824512,0.9431019293199224,0.01326730519651731,0.7254863790399487,2.0343986121341113,0.24544930882850802,0.0,0.0019286403085824512
sandia,sandia_SNL_18650_LFP_25C_0_100_0_5_3C_b,50,1.0477500000000002,1610.0,0,1,0.9887854927225005,-0.013361966117871639,0.9866666666666667,-0.00016780369986217793,8.563202061973943e-06,0.013361966117871639,0.004294917680744614,0.0009077159158922596,2.1389909265763856,0.3120132643320051,0.9935576234788831,-0.0002783742941223258,0.99828509140143,-0.00042786416566344327,5.001162803869609e-06,0.00016937156460767257,33.0,50.0,50.0,-0.0007959113184596023,-9.010316812746246e-05,0.3243362124120473,5.0,0.0,0.0,0.0010648080715788158,0.004294917680744614,0.6890560300807647,6.169677125233315,0.5356195909592584,2.3869236166160883,0.3687637412577365,0.125,0.0019088523025530912
sandia,sandia_SNL_18650_LFP_25C_0_100_0_5_3C_b,100,1.0477500000000002,1610.0,0,1,0.9840133619661177,-0.018134096874254473,0.9819047619047618,-0.00011190454794094272,1.2513051724059484e-05,0.018134096874254473,0.004294917680744614,0.0006872756008503111,1.2590341285378448,0.4845174285617978,0.9935576234788831,-0.00018504180483933135,0.9962457925515306,-0.00020909194340986735,9.528176026364883e-07,0.00011323878724299727,33.0,100.0,100.0,-0.00031765792121836553,-8.465344993932862e-05,0.266228178018217,5.0,0.0,0.0,0.0008364396270996958,0.004294917680744614,0.8563173308063566,2.8770912127198507,0.6295871407190895,2.3896129983178795,0.3154616365588566,0.14285714285714285,0.0019088523025530912
sandia,sandia_SNL_18650_LFP_25C_0_100_0_5_3C_c,50,1.0385,2305.0,0,1,0.9879634087626384,-0.01348098218584498,0.9865384615384615,-0.00018570740766213952,9.593980360855075e-06,0.014443909484833801,0.0038517091959557087,0.0008329537591087539,1.8089093739299316,0.3837669683257677,0.992778045257583,-0.00028085379553843706,0.9984639156269968,-0.0004339518411160656,4.773931412575124e-06,0.0001874694669761781,30.0,50.0,50.0,-0.0008114177589382045,-0.00012120763204055442,0.3212973704563079,6.0,0.0,-2.048781487210256e-05,0.0009627093188392146,0.0048146364949445295,0.7466139954853278,4.566229563397448,0.5679985366551791,2.307592316397716,0.42819335918572043,0.1111111111111111,0.0019258545979778544
sandia,sandia_SNL_18650_LFP_25C_0_100_0_5_3C_c,100,1.0385,2305.0,0,1,0.9831487722676937,-0.018295618680789723,0.9817307692307691,-0.00012675863009448162,1.5351621485176614e-05,0.019258545979778545,0.0038517091959557087,0.0006252321645203736,1.038697210825174,0.5091814503580109,0.992778045257583,-0.00018668998653867063,0.9965456555244278,-0.00022890274042772302,1.0014128464042775e-06,0.00012834471099185533,30.0,100.0,100.0,-0.00034162985911958014,-9.503673776977041e-05,0.29249600556448935,10.0,0.0,-9.927085556585776e-06,0.0007380839849481989,0.0048146364949445295,0.8876712432896453,1.7395957082126516,0.6627799762603124,2.2389208810126267,0.30778325177286825,0.07142857142857142,0.0028887818969666745
sandia,sandia_SNL_18650_LFP_25C_0_100_0_5_3C_d,50,1.0604999999999998,2788.0,0,1,0.9882131070249884,-0.014144271570014055,0.9858889934148637,-0.00017030857604709575,9.506490007601212e-06,0.014144271570014055,0.004714757190004824,0.0009653985836323755,2.3683709964361066,0.2899689384249752,0.9919849127769922,-0.0002946723243752928,0.9979978966819202,-0.0004611829985838523,5.593738894936787e-06,0.00017202647578671155,33.0,50.0,50.0,-0.0008803078110008524,-6.594066000004033e-05,0.4017857142857171,5.0,0.0,0.0,0.0010654081713645084,0.004714757190004824,0.6471329422457215,7.272112124795271,0.5218821830753759,2.4299408331184105,0.3298824269421573,0.0,0.001885902876001888
sandia,sandia_SNL_18650_LFP_25C_0_100_0_5_3C_d,100,1.0604999999999998,2788.0,0,1,0.9834983498349836,-0.01885902876001888,0.9811853245531514,-0.00010935204307602138,1.2544015344295306e-05,0.01885902876001888,0.004714757190004824,0.0007122845605489045,1.487839810435077,0.48973080757732507,0.9919849127769922,-0.00019243906897978448,0.9956385680346157,-0.00020957571447180915,9.825850136842606e-07,0.00011071742114472034,33.0,100.0,100.0,-0.00034520222208557835,-8.117581944530016e-05,0.37334276776403996,5.0,0.0,0.0,0.0008010368217463145,0.004714757190004824,0.8256057882035177,4.111720859718212,0.5953115817520467,2.501368542381297,0.2521753839948711,0.0,0.001885902876001888
sandia,sandia_SNL_18650_LFP_25C_20_80_0_5_0_5C_a,50,0.947,5.0,0,1,0.5850052798310454,-0.5459345300950369,0.5172735760971056,-0.0034658319505204375,0.01212535783444684,0.5469904963041183,0.2629355860612462,0.05246251878213154,4.0277609505140415,0.013123466551463405,0.5945089757127772,-0.011373636043646603,0.8492371182897647,-0.018908925766716333,0.0002969825733883826,0.0060885352315023155,4.0,4.0,4.0,-0.04469026221930121,-0.00015137977123191515,0.48168830224734305,5.0,2.0,-2.246736615066867e-05,0.053923831841202266,0.2639915522703276,0.18762919388889288,16.60528526457438,0.3582941591840343,2.639994265664348,0.04546237407675729,0.17647058823529413,0.002111932418162621
sandia,sandia_SNL_18650_LFP_25C_20_80_0_5_0_5C_a,100,0.947,5.0,0,1,0.5818373812038016,-0.5491024287222808,0.5144724556489263,-0.0009518977025388195,0.006282683694862504,0.5501583949313622,0.2629355860612462,0.03715116398564312,5.956836414230288,0.02286738416803135,0.5945089757127772,-0.005603086007370213,0.7211647918114505,-0.005081586031501075,4.048714048002207e-05,0.0016595705431067453,4.0,4.0,4.0,-0.012998025802304745,-6.932647720491014e-05,0.49434429541371494,5.0,2.0,-1.0886249578159047e-05,0.03754237717920796,0.2639915522703276,0.11153987935938303,36.59591178145048,0.1868651442208409,3.353389222853401,0.021334767717077097,0.34615384615384615,0.002111932418162621
