dataset,cell_id,n_cycles,q0,cycle_life,is_censored,capacity_normalized,Qdis_N,delta_Qdis,retention_ratio,slope_linear,variance_Qdis,range_Qdis,max_drop,std_diff,skewness_Qdis,slope_ratio,Qdis_cycle10,mean_diff,poly2_a,poly2_b,poly2_c,exp_decay_k,cycle_to_99pct,cycle_to_98pct,cycle_to_95pct,slope_first_quarter,slope_last_quarter,autocorr_lag1,knee_cycle,n_capacity_jumps,accel_mean,accel_std,accel_max_abs,linearity_r2,kurtosis_Qdis,fft_top3_energy_ratio,spectral_entropy,sample_entropy,pos_neg_diff_ratio,mad_Qdis
umich,um_internal_0620_bl_form_cycling_cell_11_001,50,2.21999318705,316.0,0,0,2.221494205,0.0005925422000001568,1.0002668025378725,-0.00018696265574486527,3.542550286308687e-05,0.02206704979999996,0.008749035700000185,0.004748362612161103,0.5236767632466514,-0.3364592032851777,2.2116521693,1.2344629166669932e-05,2.2217350747809466,-0.0007773762165777273,1.1354106939092605e-05,8.461163871351721e-05,50.0,50.0,50.0,-0.0011449459636363104,-0.00023890402062929261,0.17922350238256524,48.0,0.0,0.00032846106170212426,0.005759728120464698,0.015721132499999513,0.1973439009646768,-0.8926917235814984,0.615484734064599,2.212979993101535,1.0986122886681098,0.6551724137931034,0.004035567099999859
umich,um_internal_0620_bl_form_cycling_cell_11_001,100,2.21999318705,316.0,0,0,2.2062472394,-0.014654423399999672,0.9934015883523973,-7.916169784166679e-05,4.185980823460511e-05,0.03090197260000016,0.010171106200000057,0.004207029137237047,0.41159602690547065,2.049182256743138,2.2116521693,-0.0001495349326530579,2.2124722390219542,8.066309486914035e-05,-1.5669097324590977e-06,3.578326824042654e-05,100.0,100.0,100.0,-0.0004023911260869779,-0.00014258247530434976,0.11554134942166217,65.0,0.0,4.519812268041453e-05,0.005611234560268439,0.017630058700000006,0.12225814323402528,-0.7041209968360329,0.5577488747183775,2.5349922371497198,1.1939224684724346,0.7818181818181819,0.005029631799999823
umich,um_internal_0620_bl_form_cycling_cell_12_002,50,2.2052960159,293.0,0,0,2.2102959805,0.0037063456000003825,1.0016796714447398,-0.000201715232683639,4.069662749658329e-05,0.023113751800000415,0.00859779209999978,0.0051611914498836614,0.48973912431906524,-0.21035573254027623,2.1977548257,7.72155333333413e-05,2.207335211943648,-0.0008548378719216524,1.2560050754575623e-05,9.19352245101358e-05,50.0,50.0,50.0,-0.0011389466461538683,-9.68831993006714e-05,0.1605767133895417,47.0,0.0,0.0004982248127659548,0.005919505306393296,0.021500924799999765,0.19996268781752602,-0.89176410515888,0.6324658469257257,2.225812006843684,1.3862943611198906,0.6551724137931034,0.004739915400000072
umich,um_internal_0620_bl_form_cycling_cell_12_002,100,2.2052960159,293.0,0,0,2.186431707,-0.020157927899999706,0.990864668454353,-7.945118508346405e-05,4.4578414809130085e-05,0.02762337980000007,0.00859779209999978,0.004188031557353586,0.40626890194771975,2.003419070274057,2.1977548257,-0.0002056931418367317,2.1971509614436924,8.715836293330847e-05,-1.633426941341362e-06,3.6162226496792334e-05,100.0,100.0,100.0,-0.00048319808656525426,-0.0001793862344783564,0.1669809185911166,66.0,0.0,1.0042814432990032e-05,0.0054323621192097745,0.02553635750000005,0.11564343082173922,-0.8586279376346422,0.5410465657145135,2.531825922932988,0.9555114450274363,0.6333333333333333,0.005674876000000051
umich,um_internal_0620_bl_form_cycling_cell_13_003,50,2.2200163051,285.0,0,0,2.2281827777,0.006471395299999738,1.0029127974728242,-0.00017256023897957665,4.239090332909351e-05,0.024818896199999774,0.009624781499999902,0.005522328588793238,0.5933340109614975,-0.30806636606113186,2.2129952625,0.0001348207354166612,2.2227602262992265,-0.0008392729072230002,1.2821397466218429e-05,7.807723354251976e-05,50.0,50.0,50.0,-0.0010931466576923035,0.00012828251818179523,0.16034628444019047,48.0,0.0,0.0005333829893616985,0.006358830139779282,0.02240962419999981,0.14048785818752885,-0.6170180243268639,0.6393243692965348,2.2554461995774995,1.3862943611198906,0.7142857142857143,0.004759809400000314
umich,um_internal_0620_bl_form_cycling_cell_13_003,100,2.2200163051,285.0,0,0,2.2012243941,-0.020486988300000064,0.9907787354998969,-8.432444519107659e-05,4.777875543907724e-05,0.028084109499999954,0.009624781499999902,0.004472068950566044,0.3872423271789749,2.4388608353216887,2.2129952625,-0.00020905090102040882,2.2125042200703504,0.00012490117240600656,-2.051231545069325e-06,3.810069182324571e-05,100.0,100.0,100.0,-0.0004531697382174458,-0.00020652550904353917,0.1712796524357221,67.0,0.0,2.8843519587630697e-05,0.005783449182032132,0.02749169919999961,0.1215393702286709,-0.7971354429533815,0.507175364760525,2.5705800736728626,1.048779914920234,0.6333333333333333,0.005707818599999914
umich,um_internal_0620_bl_form_cycling_cell_14_004,50,2.2132880318500003,328.0,0,0,2.2198547862,0.00639228309999984,1.0028879111758375,-0.00014241792059180528,3.242334760256455e-05,0.021000494599999975,0.00979580499999999,0.00477451090630368,0.5154405719892848,-0.3476185165465668,2.2067869845,0.00013317256458333002,2.2150695290658082,-0.000643704734702225,9.64013104058302e-06,6.458166252132575e-05,50.0,50.0,50.0,-0.0009200926646853416,-0.0001753299699300307,0.20591916235878335,47.0,0.0,0.000405780391489362,0.005426947186050969,0.017860452399999893,0.12511270800488572,-0.8199849825685632,0.6454581652990299,2.1825860392230747,1.4816045409242156,0.8461538461538461,0.0042198711000001055
umich,um_internal_0620_bl_form_cycling_cell_14_004,100,2.2132880318500003,328.0,0,0,2.1974190657,-0.016043437400000027,0.9927518820049895,-7.254855472355176e-05,4.047588609259917e-05,0.02782748909999988,0.00979580499999999,0.003978701119720523,0.38589072689345133,2.825351892023925,2.2067869845,-0.00016370854489795945,2.206316180809632,0.0001587543524814733,-2.2676755608336504e-06,3.2855019037801964e-05,100.0,100.0,100.0,-0.0003343256284348009,-0.00020124139695657772,0.2185280287303493,66.0,0.0,7.465708247423795e-06,0.004999316314124484,0.0216191911000001,0.10619547082156544,-0.7759727037670654,0.5173808623829408,2.5326689163824785,1.0296194171811581,0.75,0.0048583009000000565
umich,um_internal_0620_bl_form_cycling_cell_15_005,50,2.2171228363999997,297.0,0,0,2.2238047112,0.006095963499999968,1.002748766494393,-0.00018197114302037984,3.965639336368977e-05,0.023732546600000237,0.00899278509999979,0.005243234700240188,0.5463164695999426,-0.2992139472306825,2.2098418546,0.00012699923958333267,2.2194019843917743,-0.0008228278566297044,1.2324167569408376e-05,8.245798076421737e-05,50.0,50.0,50.0,-0.0011067656314684225,1.4466903846130203e-05,0.16428760191018293,48.0,0.0,0.0004954208063829846,0.005987959337014441,0.0217178525999997,0.16700205986193006,-0.7126125008175928,0.6300370325314578,2.2533276391341874,0.8823891801984737,0.7777777777777778,0.0044704546999998485
umich,um_internal_0620_bl_form_cycling_cell_15_005,100,2.2171228363999997,297.0,0,0,2.1983276506,-0.019381097100000133,0.9912607563458906,-8.739396086455853e-05,4.523224759381686e-05,0.0267805591000001,0.00899278509999979,0.004215127961962232,0.346927318907735,2.288204630527679,2.2098418546,-0.00019776629693877686,2.2093877639906028,0.00011173096293018783,-1.952205135242561e-06,3.955032806749663e-05,100.0,100.0,100.0,-0.0004384702052173989,-0.00021049556360875913,0.1789682633561288,66.0,0.0,1.7984676288662627e-05,0.005427290519469832,0.026813211299999917,0.13789848883366407,-0.8617913135405537,0.5110067692274696,2.539698581937949,1.0152306797290587,0.7192982456140351,0.005319121200000332
