experiment,source,target,model,n_target,alpha,alpha_ci95_low,alpha_ci95_high,theil_sen_alpha,huber_alpha,pearson_r,pearson_r_ci95_low,pearson_r_ci95_high,pearson_p,constant_share_of_ss,raw_MAE,raw_R2,residual_MAE,residual_R2,linear_MAE,linear_R2,rank_signal_class,adapter_class,pair,slope_shifted_share,n_slope_shifted_features,log_life_offset_target_minus_source,life_ratio_target_over_source
hust_to_luh,hust,luh,pls,106,4.2362210687631,3.448132456909476,5.64043080419804,12.481333254530961,4.583407187188643,0.7716731043125821,0.7218150009988851,0.8264871264933447,3.9446574991060576e-19,0.505695453424775,405.32680798639933,-0.5620604259849377,243.13714357491398,0.4238499460367014,196.26206745556502,0.6103797741346866,strong_rank_signal,linear_recovers_predictive_transfer,hust_vs_luh,0.7647058823529411,26,-1.2909351275135368,0.2750134901264263
hust_to_matr,hust,matr,gaussian_process,129,-206.27696644482245,-1968.235602855956,66.68267807849881,-553.4146355025296,0.6965277020218089,-0.11409318263986834,-0.2047568857360016,0.010354466451952909,0.21524768818922632,0.7823380263379522,720.3607091592451,-3.6001135620102005,274.70012987135004,-0.00028274123211837756,272.51210906092774,0.008170544798379354,negative_or_inverted_signal,offset_dominant_repair,matr_vs_hust,0.4117647058823529,14,-0.7348656054389977,0.47956990623113455
hust_to_sandia,hust,sandia,xgboost,50,2.4768081964114224,1.3796478616236865,3.4318452431598407,0.4453583574055416,0.4572767705370855,0.5774316832047887,0.3887762110901124,0.7022753846563721,0.0009805820919238577,0.3822583543441822,1163.070821784149,-0.23147394189592738,722.6579358237493,0.21592544042938586,677.9916714915089,0.36611414172194934,strong_rank_signal,linear_recovers_predictive_transfer,hust_vs_sandia,0.7352941176470589,25,-1.3980385319726762,0.24708113068557697
luh_to_hust,luh,hust,random_forest,77,0.14379511854495744,-1.3303330836428113,1.4674507872232634,-0.10766919460037443,0.8021192040520226,0.01485785715487013,-0.20779081340788136,0.22029195143987113,0.35266340201038593,0.40186228408518565,300.38341265024457,-0.7633991911495936,231.22420521638568,-0.02736116323504152,224.95391940093015,0.021375279228354804,rank_signal_collapsed,offset_dominant_repair,hust_vs_luh,0.7647058823529411,26,1.2909351275135368,3.6361852632766873
luh_to_matr,luh,matr,stacking,129,0.46531803793293774,-0.9941518307895185,1.2185030467225197,0.44652230172473634,0.5819519800496927,0.10734759295359304,-0.16650360383573376,0.298034190238763,0.1954206361372352,0.19740298889841407,334.38135012586946,-0.27515554151299726,268.4496144030932,-0.008375880970709937,267.760568219355,0.01951108464943265,weak_rank_signal,offset_dominant_repair,matr_vs_luh,0.5,17,0.5560695220745391,1.7438050257486346
luh_to_sandia,luh,sandia,xgboost,50,2.444276004205508,1.983985870541887,2.8099125236293157,1.0851896927572948,2.4450281922693415,0.9131253584230613,0.8407033066207669,0.9614660261274344,1.1724086576674837e-17,0.09874173326027362,414.4729557381428,0.49871923681433106,536.7923370707789,0.5454142232327733,296.2585604152873,0.8417995407093845,strong_rank_signal,linear_recovers_predictive_transfer,sandia_vs_luh,0.08823529411764706,3,-0.10710340445913946,0.8984327662326365
matr_to_hust,matr,hust,gaussian_process,77,-0.45466490094363754,-2.090770164011304,1.3150372915288404,-0.5582635614059532,-0.3924025472164566,-0.12001850460196384,-0.3079398520412555,0.06612352913348454,0.23508522833796497,0.8676142500877025,763.007238641014,-7.936737027557716,247.54093045911267,-0.1810946702359286,224.33012689148336,0.02469723848012617,negative_or_inverted_signal,center_repaired_but_low_rank,matr_vs_hust,0.4117647058823529,14,0.7348656054389977,2.085201733901205
matr_to_luh,matr,luh,stacking,106,4.169717106429848,3.126223621979709,6.968059655826177,6.108957355426569,3.7503143604202576,0.4065409096999401,0.3195939163964646,0.4951286504928678,0.0006754776630163663,0.07458063667555304,334.0597534177139,0.003832420252845292,321.0375465112537,0.07393914096721532,294.02097129462084,0.1932600633327312,moderate_rank_signal,limited_repair,matr_vs_luh,0.5,17,-0.5560695220745391,0.5734586064578459
matr_to_sandia,matr,sandia,xgboost,50,4.397007189641748,1.7379285766849097,8.289801679732262,0.9848604563715104,2.0435295350708444,0.4271628336086019,0.23046026534932093,0.6228791694104499,0.09179127677907051,0.05140623477627302,730.6721621645247,0.045531839623273895,801.8459717913247,0.07807582236973847,659.5566763507749,0.26079648614395123,moderate_rank_signal,linear_recovers_predictive_transfer,matr_vs_sandia,0.5588235294117647,19,-0.6631729265336785,0.5152140021198353
sandia_to_hust,sandia,hust,catboost,77,0.21654547954642395,-0.05272765754322466,0.4540260708725132,0.17237509609931967,0.1968638115893499,0.1868972553941344,-0.02926957129015472,0.37409090784452276,0.16917457487389173,0.4688483941816953,384.6534380361403,-2.026537003013493,273.0706466257626,-0.4890603714917736,223.56279116737574,0.039427494095130425,weak_rank_signal,center_repaired_but_low_rank,hust_vs_sandia,0.7352941176470589,25,1.3980385319726762,4.047253617568027
