source,target,direction,feature,n_cycles,abs_mean_shift_z,abs_mean_shift_z_raw_table,spearman_source,spearman_target,spearman_abs_delta,spearman_sign_agree,within_R2_mean,within_MAE_mean,raw_cross_R2_mean,raw_cross_MAE_mean,adapted_cross_R2_mean,adapted_cross_MAE_mean,adapted_cross_SMAPE_mean,adapted_residual_shift_mean,n_within_runs,n_cross_raw_runs,n_cross_adapted_runs,transfer_stability_score,stability_class
hust,luh,hust_to_luh,exp_decay_k,100,1.6855015324626899,1.6855015324626899,-0.12161602618714076,-0.9303141067407266,0.8086980805535858,True,-0.11120115222005855,242.09742822072772,-1.1263147560663684,512.4887828228142,0.47312240738404754,229.01215530015443,51.16754810906861,-479.66235836805305,5,5,100,0.7890705446218989,weak_or_mixed
hust,luh,hust_to_luh,slope_linear,100,1.777117341348478,1.8600748327728545,0.12161602618714076,0.9310597606616027,0.8094437344744619,True,-0.11687843851747584,242.7386398649497,-1.328740912133765,537.1225579489659,0.4457825835319115,236.71123573896944,52.899592316795776,-502.1493700412434,5,5,100,0.7202756986243204,weak_or_mixed
hust,luh,hust_to_luh,mad_Qdis,100,1.5106125873638117,1.6376625157298716,-0.1264007466294364,-0.9215476349682634,0.7951468883388271,True,-0.11573208075641359,239.02170985381593,-1.7304864632899957,503.8802026683564,0.3742565668527578,246.44206094440696,51.47671395546951,-329.35695831847914,5,5,100,0.6243478014315303,weak_or_mixed
hust,luh,hust_to_luh,Qdis_N,100,1.9090620449556899,12.618550341632501,0.10435685602028864,0.925875450630646,0.8215185946103574,True,-0.09227293750827219,239.1960363093846,-1.6368578161954956,594.7749147700545,0.4044072069426856,246.22413456431627,52.45971615437192,-570.5236932797143,5,5,100,0.6116958098368391,weak_or_mixed
hust,luh,hust_to_luh,mean_diff,100,1.928792511089415,1.9906787255114746,0.07882958377045862,0.9238853607742535,0.845055777003795,True,-0.08991263399970631,238.72293648544624,-1.7720871432449272,612.0176795684895,0.3958578244687829,248.03251712225264,52.439533238218104,-593.4012675509196,5,5,100,0.5798688837722561,weak_or_mixed
hust,luh,hust_to_luh,delta_Qdis,100,1.9287925110894846,1.990678725511506,0.07882958377045862,0.9238853607742535,0.845055777003795,True,-0.08991263399968145,238.72293648544738,-1.7720871432457799,612.0176795685986,0.39525164605789553,246.73813124588418,52.22766608512695,-593.6487105277305,5,5,100,0.5786565269504709,weak_or_mixed
hust,luh,hust_to_luh,retention_ratio,100,1.931390658866338,1.931390658866338,0.07756767947798504,0.9238853607742535,0.8463176812962685,True,-0.08997565235600209,238.73586710561858,-1.7761667947857191,612.5018714726835,0.3850339318531005,248.9981090448829,52.71501972524078,-595.8195101027638,5,5,100,0.5572004242281159,weak_or_mixed
hust,luh,hust_to_luh,knee_cycle,100,0.22153681678268583,0.22153681678268583,-0.08509960232759053,-0.13467657801374902,0.049576975686158486,True,-0.026908714932763457,229.42078884185798,-4.940889335092526,910.2394329092483,-0.07031587453075865,345.03302568753855,67.05750066133783,-909.9039122087289,5,5,100,0.4419809896395179,weak_or_mixed
hust,luh,hust_to_luh,variance_Qdis,100,0.8033208124403617,0.814641567438129,-0.13505004896743236,-0.9306869337011646,0.7956368847337323,True,-0.01920350743011936,228.68066537499493,-3.5555159282311806,768.9170926698239,0.16717040194261984,298.69736141252247,64.27392513836514,-753.881089950923,5,5,100,0.3160242396523193,weak_or_mixed
hust,luh,hust_to_luh,kurtosis_Qdis,100,1.2929044901748787,1.2929044901748787,0.2963503361855911,0.28805417075793543,0.008296165427655655,True,-0.0876245510184234,238.9257916449996,-4.475208713041682,869.8138380060198,-0.05467082525793916,343.61412720248757,66.87735513564041,-854.1852138815353,5,5,100,0.30191624375994036,weak_or_mixed
hust,luh,hust_to_luh,slope_ratio,100,1.136196874886621,1.136196874886621,-0.3576578530615989,-0.21527734043998714,0.14238051262161178,True,-0.006370266626345633,227.80411157403552,-4.425782879574439,867.6685028823438,-0.03376076409449948,339.1845699549712,66.29272987664304,-872.9326265065274,5,5,100,0.258380212456201,weak_or_mixed
hust,luh,hust_to_luh,accel_mean,100,1.0928323901722432,1.427960352516657,-0.17009418275633392,-0.426433431506483,0.2563392487501491,True,-0.02748261724269836,230.93827481362786,-4.716551728722776,891.7635463890471,-0.04147347992221721,337.0151109465904,65.50517920332136,-899.5419961598676,5,5,100,0.20790551709908897,weak_or_mixed
hust,luh,hust_to_luh,linearity_r2,100,1.4079857548818642,1.4079857548818642,-0.3973815486017567,-0.2241748054688204,0.17320674313293627,True,-0.03200027331477724,229.02028426562865,-4.273876719696906,851.8016044140652,-0.05803752079392357,345.0134311906547,67.06849455087337,-833.426910990436,5,5,100,0.20219876520125224,weak_or_mixed
hust,luh,hust_to_luh,skewness_Qdis,100,1.3173803497550414,1.3173803497550414,0.019506937187820678,0.2619814745381097,0.24247453735028904,True,-0.07717779237196283,237.2431523480397,-4.524371467561631,873.0755959005794,-0.0867949006432136,346.90761894139507,67.16490238529076,-879.3534693468184,5,5,100,0.18115567886159933,weak_or_mixed
hust,luh,hust_to_luh,poly2_b,100,2.5572791379906477,2.630996573177468,0.049950378243745666,0.858932858423337,0.8089824801795913,True,-0.0886190920609999,238.6621181242368,-2.7571849607478547,718.0649245413515,0.2011113924290558,290.1505130886764,58.8174078848271,-691.382102311331,5,5,100,0.11413967406971881,weak_or_mixed
hust,luh,hust_to_luh,slope_first_quarter,100,2.6287813708305294,2.766577427270439,0.04611208602080521,0.8371023284290365,0.7909902424082313,True,-0.06704430036078698,235.5530349613441,-3.08689221229247,751.8286482512209,0.1680067759153567,301.2167340582759,60.88685057278295,-730.4318298542951,5,5,100,0.0462012250020184,weak_or_mixed
hust,luh,hust_to_luh,Qdis_cycle10,100,2.491206277207383,101.27385854885485,0.07174451696167469,0.8274390566706548,0.75569453970898,True,-0.04681975663108284,232.6380216181115,-3.438492548839693,784.4044041917973,0.11280253717076504,311.88261861423035,62.34542324250931,-771.0901432210502,5,5,100,-0.02592313709406735,weak_or_mixed
hust,luh,hust_to_luh,sample_entropy,100,3.612623431374343,3.612623431374343,0.24554554357714975,0.03512605163598809,0.21041949194116166,True,0.024142292972343403,223.33240380881307,-3.6381411745490375,792.3546986229194,-0.06274219515016777,343.2369903895431,66.73306114791376,-777.7670069813643,5,5,100,-0.12296096770438888,scale_shift_fragile
hust,luh,hust_to_luh,spectral_entropy,100,0.05379111040212551,0.05379111040212551,-0.07107413030629811,0.23415548396379138,0.3052296142700895,False,-0.025846064407663617,229.82847680219396,-4.941932857948048,910.1846213308514,-0.06223883956891971,343.04684001334846,66.64154814054936,-910.5108671234256,5,5,100,-0.16068347369536357,relationship_unstable
hust,luh,hust_to_luh,fft_top3_energy_ratio,100,0.42305631919654024,0.42305631919654024,0.03806744615628617,-0.26260117340478384,0.30066861956107,False,-0.029089966731630446,230.32975694768257,-4.981875025830532,913.5690849534845,-0.0778420705277414,344.50889621000346,66.713406152918,-913.9170317440578,5,5,100,-0.21379275766001604,relationship_unstable
hust,luh,hust_to_luh,poly2_a,100,0.30526545147985595,133.89930619196073,0.14649920145435408,-0.4442434761706538,0.5907426776250079,False,-0.025762683670578435,228.63475367437695,-5.55718675090554,944.1747406255502,-0.35630623712300064,383.12760976804753,70.88302609921486,-929.8541937687987,5,5,100,-0.3411611565344823,relationship_unstable
hust,luh,hust_to_luh,poly2_c,100,1.4954810885633132,1.3581280820684594,0.013289429580112333,-0.46581201965221397,0.4791014492323263,False,-0.07976259490897501,237.28070055556904,-3.896357686770661,812.3494700907547,-0.07779588819713698,331.93865630156614,63.4685430205304,-786.8581563952847,5,5,100,-0.4638728879006601,relationship_unstable
hust,luh,hust_to_luh,max_drop,100,0.22768091677076838,1.3545045240115108,0.048110101150555036,-0.8477127821950178,0.8958228833455728,False,-0.028946442870437218,229.89582291586794,-4.952999770291169,909.4103969256628,-0.08326942738828665,348.2857989973917,67.4494550388882,-906.3522510248522,5,5,100,-0.48206357918840165,relationship_unstable
hust,luh,hust_to_luh,cycle_to_98pct,100,9.122638033120165,9.122638033120165,0.19611742409967373,0.8601813588001495,0.6640639347004758,True,-0.01673483299878851,228.9432901121937,-2.920417727071984,675.2892443571579,-0.0031622050847085526,333.4995018064898,65.37687814702194,-55.5664578575311,5,5,100,-0.5820319673502379,scale_shift_fragile
hust,luh,hust_to_luh,cycle_to_99pct,100,7.842963833545274,7.842963833545274,0.10240870529870201,0.8201441323740399,0.7177354270753379,True,-0.022054475140786158,229.77399058787196,-4.241677672631925,840.6556565274932,-0.05697663207654738,344.39084553808624,66.99886107231988,-814.4711887376028,5,5,100,-0.608867713537669,scale_shift_fragile
hust,luh,hust_to_luh,slope_last_quarter,100,1.1267126210088756,1.2422369705484009,-0.03947394364893901,0.886552282708764,0.9260262263577029,False,-0.048460310551617036,232.06239453772636,-9.396766024341172,919.2533271677327,-3.229830524041958,425.10610614065416,75.41584887522433,-876.7440116696109,5,5,100,-0.6320200063301828,relationship_unstable
hust,luh,hust_to_luh,std_diff,100,1.1864726033956001,0.8682790413952505,0.26113531952375035,-0.6855985510326347,0.946733870556385,False,-0.05229780044390429,247.247689476174,-4.130386088692935,801.0928505502732,-0.6830222420371698,444.6029592616979,80.24222243925405,-749.6996437286112,5,5,100,-0.6513378257875325,relationship_unstable
