experiment,feature,n_cycles,source,target,seed,repeat,k_target,residual_shift,MAE,SMAPE,R2
within_univariate,Qdis_N,100,matr,matr,42,,0,,225.44953675065943,32.94856113097243,0.19537984022111843
within_univariate,delta_Qdis,100,matr,matr,42,,0,,230.0284363111898,32.27318829235655,0.17293912988703042
within_univariate,retention_ratio,100,matr,matr,42,,0,,230.0196592085104,32.25954647651736,0.17293287290040893
within_univariate,slope_linear,100,matr,matr,42,,0,,228.42137879609126,30.542255837334707,0.2151070567060609
within_univariate,variance_Qdis,100,matr,matr,42,,0,,267.0498306826625,37.836311420482566,-0.006866513926253148
within_univariate,range_Qdis,100,matr,matr,42,,0,,267.05193147189954,37.836513294092306,-0.0068928879935663545
within_univariate,max_drop,100,matr,matr,42,,0,,267.0500229585922,37.83636775864226,-0.006874562899082726
within_univariate,std_diff,100,matr,matr,42,,0,,267.05023962365425,37.83639173629139,-0.006876132944544366
within_univariate,skewness_Qdis,100,matr,matr,42,,0,,267.10591034504574,37.84333422086832,-0.007309522842708471
within_univariate,slope_ratio,100,matr,matr,42,,0,,267.33875317598347,37.38504371824038,-0.004130619708271777
within_univariate,Qdis_cycle10,100,matr,matr,42,,0,,267.0434357798778,37.83599689611519,-0.0068003452488740734
within_univariate,mean_diff,100,matr,matr,42,,0,,230.0284363113845,32.27318829147451,0.17293912989058902
within_univariate,poly2_a,100,matr,matr,42,,0,,267.0782979009934,37.839052853720084,-0.0072423919765987055
within_univariate,poly2_b,100,matr,matr,42,,0,,267.42518795519925,37.85412587480167,-0.011629650850501161
within_univariate,poly2_c,100,matr,matr,42,,0,,264.94690986405874,37.613014945471676,0.011190269689097643
within_univariate,exp_decay_k,100,matr,matr,42,,0,,227.71543293180872,30.16250888011286,0.21591733626579446
within_univariate,cycle_to_99pct,100,matr,matr,42,,0,,243.45521511992098,33.929185966243075,0.17433832808934857
within_univariate,cycle_to_98pct,100,matr,matr,42,,0,,238.9219248590132,31.867505251094318,0.15078268358981206
within_univariate,cycle_to_95pct,100,matr,matr,42,,0,,267.04999999999995,37.83632824734858,-0.006868950403521756
within_univariate,slope_first_quarter,100,matr,matr,42,,0,,267.1002823250981,37.83684480305299,-0.007550343091790257
within_univariate,slope_last_quarter,100,matr,matr,42,,0,,206.3940187204667,31.291918199388046,0.31637346964003277
within_univariate,autocorr_lag1,100,matr,matr,42,,0,,267.0273604778604,37.83349202672509,-0.0067027746163323965
within_univariate,knee_cycle,100,matr,matr,42,,0,,229.23267040404426,32.73978601615216,0.1549517175051086
within_univariate,n_capacity_jumps,100,matr,matr,42,,0,,267.06388075887713,37.83809611939908,-0.0070045071248558965
within_univariate,accel_mean,100,matr,matr,42,,0,,224.36459947663485,32.62954446756272,0.2926727321922993
within_univariate,accel_std,100,matr,matr,42,,0,,267.05025068505364,37.83639369166002,-0.00687633150188649
within_univariate,accel_max_abs,100,matr,matr,42,,0,,267.0500769753328,37.83637671931019,-0.006875274633732165
within_univariate,linearity_r2,100,matr,matr,42,,0,,216.35298376784357,31.039022968423875,0.2831364292568227
within_univariate,kurtosis_Qdis,100,matr,matr,42,,0,,265.5362134557184,37.64871986371341,0.004117850878372353
within_univariate,fft_top3_energy_ratio,100,matr,matr,42,,0,,247.63773076662733,35.39502071715251,0.1022794207663279
within_univariate,spectral_entropy,100,matr,matr,42,,0,,254.79023064582935,36.277958447244885,0.06847644643292394
within_univariate,sample_entropy,100,matr,matr,42,,0,,267.0155027267958,37.830459425139495,-0.006897644029155492
within_univariate,pos_neg_diff_ratio,100,matr,matr,42,,0,,267.0632222975597,37.83736800796347,-0.007061069671562947
within_univariate,mad_Qdis,100,matr,matr,42,,0,,219.08405695954994,34.8485561190046,0.2630127297829392
within_univariate,Qdis_N,100,matr,matr,123,,0,,301.7451180377299,37.74025689204124,-0.035512721331617536
within_univariate,delta_Qdis,100,matr,matr,123,,0,,305.9572237814215,38.26946025873404,-0.05322041688654555
within_univariate,retention_ratio,100,matr,matr,123,,0,,305.97528932176755,38.2716684177548,-0.05328963934281883
within_univariate,slope_linear,100,matr,matr,123,,0,,311.8300120139418,38.981644845773246,-0.1880533296479765
within_univariate,variance_Qdis,100,matr,matr,123,,0,,304.38562665337685,38.06163596325388,-0.1066933485344097
within_univariate,range_Qdis,100,matr,matr,123,,0,,304.74736595059073,38.104396496239396,-0.11170204897196867
within_univariate,max_drop,100,matr,matr,123,,0,,304.32561685530817,38.0550631379808,-0.10597927386152883
within_univariate,std_diff,100,matr,matr,123,,0,,304.63656250000724,38.09156406342494,-0.11014713974344725
within_univariate,skewness_Qdis,100,matr,matr,123,,0,,307.22795581180895,38.407597838161514,-0.1469213632590891
within_univariate,slope_ratio,100,matr,matr,123,,0,,306.8896829384172,38.25155363763834,-0.11624713146154542
within_univariate,Qdis_cycle10,100,matr,matr,123,,0,,304.4692358086518,38.07459929142843,-0.10655944721302979
within_univariate,mean_diff,100,matr,matr,123,,0,,305.95722378142216,38.269460258734135,-0.05322041688655532
within_univariate,poly2_a,100,matr,matr,123,,0,,304.4755088428125,38.072662685410826,-0.10812168986331505
within_univariate,poly2_b,100,matr,matr,123,,0,,304.37724550151773,38.061394949757585,-0.10657209127561984
within_univariate,poly2_c,100,matr,matr,123,,0,,301.7683284574477,37.743251883664655,-0.07683575445410828
within_univariate,exp_decay_k,100,matr,matr,123,,0,,311.53039823501274,38.94255242837333,-0.18423480314132457
within_univariate,cycle_to_99pct,100,matr,matr,123,,0,,302.0499999999999,37.745948226050245,-0.042156412720031344
within_univariate,cycle_to_98pct,100,matr,matr,123,,0,,302.46131295742396,37.8037947449819,-0.07694929337354584
