pair,dataset_a,dataset_b,n_cycles,feature_set,rank,feature,abs_mean_shift_z,mu_matr,mu_hust,mu_sandia,mu_luh
matr_vs_hust,matr,hust,50,34,1,linearity_r2,1.3431253776896526,-0.5020420101072972,0.8410833675823555,,
matr_vs_hust,matr,hust,50,34,2,knee_cycle,1.2625292092884894,-0.4719162578408431,0.7906129514476462,,
matr_vs_hust,matr,hust,50,34,3,fft_top3_energy_ratio,1.1607151781082747,-0.4338595568657152,0.7268556212425595,,
matr_vs_hust,matr,hust,50,34,4,mad_Qdis,1.1463543991434768,-0.42849169288372674,0.7178627062597501,,
matr_vs_hust,matr,hust,50,34,5,spectral_entropy,1.1221164008454436,0.41943185856844256,-0.7026845422770011,,
matr_vs_hust,matr,hust,50,34,6,skewness_Qdis,1.088630853863739,-0.4069154162500384,0.6817154376137006,,
matr_vs_hust,matr,hust,50,34,7,kurtosis_Qdis,1.0530284074703302,0.39360770570492926,-0.659420701765401,,
matr_vs_hust,matr,hust,50,34,8,accel_mean,1.0294057491955029,-0.38477787712647443,0.6446278720690285,,
matr_vs_hust,matr,hust,50,34,9,autocorr_lag1,0.7120997690466055,0.2661732146436341,-0.4459265544029715,,
matr_vs_hust,matr,hust,50,34,10,pos_neg_diff_ratio,0.6807383792151354,0.2544507533959486,-0.4262876258191868,,
matr_vs_hust,matr,hust,50,34,11,sample_entropy,0.4600232159199862,-0.17195042536815017,0.288072790551836,,
matr_vs_hust,matr,hust,50,34,12,poly2_c,0.38772014656582654,0.14492452080373128,-0.24279562576209524,,
matr_vs_hust,matr,hust,50,34,13,poly2_b,0.23014607998911824,-0.08602547650078686,0.1441206034883314,,
matr_vs_hust,matr,hust,50,34,14,Qdis_cycle10,0.20007239568137813,-0.07478434207501396,0.12528805360636416,,
matr_vs_hust,matr,hust,50,34,15,n_capacity_jumps,0.1936571065890439,0.07238639421046784,-0.12127071237857603,,
matr_vs_hust,matr,hust,50,34,16,max_drop,0.13442249832460013,0.050245302771816575,-0.08417719555278357,,
matr_vs_hust,matr,hust,50,34,17,accel_max_abs,0.13415874430439154,0.050146715104068686,-0.08401202920032284,,
matr_vs_hust,matr,hust,50,34,18,std_diff,0.13040541281867365,0.04874377081086342,-0.08166164200781023,,
matr_vs_hust,matr,hust,50,34,19,accel_std,0.13031981416129576,0.04871177519621249,-0.08160803896508327,,
matr_vs_hust,matr,hust,50,34,20,variance_Qdis,0.1155640274184013,0.043196262675810185,-0.07236776474259111,,
matr_vs_hust,matr,hust,50,34,21,cycle_to_98pct,0.11126124104191726,-0.04158793961275231,0.06967330142916495,,
matr_vs_hust,matr,hust,50,34,22,Qdis_N,0.11092934992032304,-0.041463883222673234,0.0694654666976498,,
matr_vs_hust,matr,hust,50,34,23,slope_last_quarter,0.10320508532821027,-0.038576658108117425,0.06462842722009284,,
matr_vs_hust,matr,hust,50,34,24,slope_ratio,0.08128122779082939,-0.03038181815482455,0.05089940963600483,,
matr_vs_hust,matr,hust,50,34,25,range_Qdis,0.07843608476893933,0.029318342365088963,-0.04911774240385037,,
matr_vs_hust,matr,hust,50,34,26,poly2_a,0.06379236846324421,0.02384472025083046,-0.03994764821241375,,
matr_vs_hust,matr,hust,50,34,27,delta_Qdis,0.041285839053407256,0.01543208547141925,-0.025853753581988007,,
matr_vs_hust,matr,hust,50,34,28,mean_diff,0.04128583905325678,0.015432085471362881,-0.025853753581893898,,
matr_vs_hust,matr,hust,50,34,29,retention_ratio,0.04025687700430333,0.01504747344335434,-0.025209403560948994,,
matr_vs_hust,matr,hust,50,34,30,slope_first_quarter,0.03684165600774923,0.013770910255323725,-0.02307074575242551,,
matr_vs_hust,matr,hust,50,34,31,slope_linear,0.012324055916254979,-0.00460656459005643,0.007717491326198548,,
matr_vs_hust,matr,hust,50,34,32,cycle_to_99pct,0.010073572078304008,-0.003765364320531436,0.0063082077577725736,,
matr_vs_hust,matr,hust,50,34,33,exp_decay_k,0.007752229575190206,0.002897678045095357,-0.004854551530094849,,
matr_vs_hust,matr,hust,50,34,34,cycle_to_95pct,0.0,0.0,0.0,,
matr_vs_sandia,matr,sandia,50,34,1,cycle_to_99pct,2.0403472882228377,0.5699294101181108,,-1.4704178781047268,
matr_vs_sandia,matr,sandia,50,34,2,Qdis_cycle10,1.8586205936652265,0.5191677635936464,,-1.3394528300715802,
matr_vs_sandia,matr,sandia,50,34,3,retention_ratio,1.8546002634322258,0.5180447663218519,,-1.336555497110374,
