pair,dataset_a,dataset_b,n_cycles,feature_set,n_features,n_a,n_b,discriminator_auc_mean,discriminator_auc_std,discriminator_folds,MMD,MMD2,rbf_sigma,Mahalanobis,Mahalanobis2
matr_vs_luh,matr,luh,50,34,34,129,106,1.0,0.0,5,0.8745032622427243,0.764755955673167,6.26140132742199,26.468119432853563,700.5613463118004
hust_vs_luh,hust,luh,50,34,34,77,106,1.0,0.0,5,0.8154183320076048,0.6649070561740644,7.116457707608579,31.04676446082499,963.9015834859456
hust_vs_sandia,hust,sandia,50,34,34,77,50,0.9875,0.02795084971874737,5,0.762946965006695,0.5820880714129271,6.040616621999758,11.223265349218634,125.96168509897166
matr_vs_hust,matr,hust,50,34,34,129,77,0.9781474358974359,0.015146942166720372,5,0.5526557276916543,0.30542835335039187,5.830371010339103,7.815823312117623,61.0870940462413
sandia_vs_luh,sandia,luh,50,34,34,50,106,0.9761904761904763,0.043383017043544275,5,0.5023274812440574,0.2523328984129988,6.417739485495382,7.747890070450816,60.029800543790344
matr_vs_sandia,matr,sandia,50,34,34,129,50,0.9592307692307692,0.05085075040319511,5,0.8098446525311725,0.6558483612333356,4.842924370897467,11.75534345346946,138.18809970902726
matr_vs_luh,matr,luh,100,34,34,129,106,1.0,0.0,5,0.8110134481368163,0.6577428130587685,6.052996034890361,22.6144412669132,511.41295381466665
hust_vs_luh,hust,luh,100,34,34,77,106,1.0,0.0,5,0.772589466255142,0.5968944833684052,6.781949883299133,37.95557920752054,1440.6259929783657
hust_vs_sandia,hust,sandia,100,34,34,77,50,1.0,0.0,5,0.7647879450350064,0.5849006008708679,6.141394129821226,11.357673810679117,128.9967543897863
matr_vs_hust,matr,hust,100,34,34,129,77,0.981025641025641,0.02031960282682971,5,0.4306454915789422,0.18545553941726878,5.582254643414885,6.713277000566981,45.068088086341604
matr_vs_sandia,matr,sandia,100,34,34,129,50,0.976923076923077,0.043087224043092454,5,0.8305706088906749,0.6898475363530265,5.161886182225907,12.410242000430909,154.01410650925936
sandia_vs_luh,sandia,luh,100,34,34,50,106,0.9752380952380953,0.043304543026246305,5,0.47317600316350317,0.22389552996978757,6.057195355073218,9.753148832270417,95.1239121444178
