pair,dataset_a,dataset_b,n_cycles,feature_set,rank,feature,abs_mean_shift_z,mu_matr,mu_hust,mu_sandia,mu_luh
matr_vs_hust,matr,hust,50,34,1,Qdis_cycle10,2.0257471503793854,-0.7571967503845277,1.2685503999948575,,
matr_vs_hust,matr,hust,50,34,2,poly2_a,2.0213157117720524,-0.7555403388662502,1.265775372905802,,
matr_vs_hust,matr,hust,50,34,3,Qdis_N,2.016690000138871,-0.7538113107315207,1.26287868940735,,
matr_vs_hust,matr,hust,50,34,4,linearity_r2,1.3431253776896526,-0.5020420101072972,0.8410833675823555,,
matr_vs_hust,matr,hust,50,34,5,knee_cycle,1.2625292092884894,-0.4719162578408431,0.7906129514476462,,
matr_vs_hust,matr,hust,50,34,6,mad_Qdis,1.2474984604879842,-0.4662979682406543,0.7812004922473299,,
matr_vs_hust,matr,hust,50,34,7,fft_top3_energy_ratio,1.1607151781082747,-0.4338595568657152,0.7268556212425595,,
matr_vs_hust,matr,hust,50,34,8,spectral_entropy,1.1221164008454436,0.41943185856844256,-0.7026845422770011,,
matr_vs_hust,matr,hust,50,34,9,skewness_Qdis,1.088630853863739,-0.4069154162500384,0.6817154376137006,,
matr_vs_hust,matr,hust,50,34,10,kurtosis_Qdis,1.0530284074703302,0.39360770570492926,-0.659420701765401,,
matr_vs_hust,matr,hust,50,34,11,accel_mean,0.9530133913195583,-0.3562234520951747,0.5967899392243836,,
matr_vs_hust,matr,hust,50,34,12,autocorr_lag1,0.7120997690466055,0.2661732146436341,-0.4459265544029715,,
matr_vs_hust,matr,hust,50,34,13,pos_neg_diff_ratio,0.6807383792151354,0.2544507533959486,-0.4262876258191868,,
matr_vs_hust,matr,hust,50,34,14,sample_entropy,0.4600232159199862,-0.17195042536815017,0.288072790551836,,
matr_vs_hust,matr,hust,50,34,15,poly2_c,0.4482905827592857,0.167564926565364,-0.28072565619392165,,
matr_vs_hust,matr,hust,50,34,16,poly2_b,0.2796332529230954,-0.10452310910232204,0.17511014382077333,,
matr_vs_hust,matr,hust,50,34,17,n_capacity_jumps,0.1936571065890439,0.07238639421046784,-0.12127071237857603,,
matr_vs_hust,matr,hust,50,34,18,max_drop,0.13324824099196567,0.04980638134165707,-0.0834418596503086,,
matr_vs_hust,matr,hust,50,34,19,accel_max_abs,0.13307165690956363,0.04974037661182721,-0.08333128029773643,,
matr_vs_hust,matr,hust,50,34,20,accel_std,0.1282914065262733,0.0479535839928303,-0.08033782253344299,,
