pair,dataset_a,dataset_b,n_cycles,feature_set,n_features,n_a,n_b,discriminator_auc_mean,discriminator_auc_std,discriminator_folds,MMD,MMD2,rbf_sigma,Mahalanobis,Mahalanobis2
hust_vs_luh,hust,luh,50,34,34,77,106,1.0,0.0,5,0.8450950567758991,0.7141856549870601,7.425463949522859,178.8741304030242,31995.9545274381
matr_vs_hust,matr,hust,50,34,34,129,77,1.0,0.0,5,0.6474035730535522,0.41913138640250613,6.3256315525477484,16.916685823273397,286.1742592433391
matr_vs_sandia,matr,sandia,50,34,34,129,50,0.9969230769230769,0.003217923178977202,5,0.8336138139808957,0.6949119908597754,4.754372943845028,17.005513603932567,289.1874929335356
matr_vs_luh,matr,luh,50,34,34,129,106,0.995970695970696,0.009009797711537582,5,0.8890264888301028,0.7903680978415809,6.751203327132331,234.3160507993284,54904.01166219345
hust_vs_sandia,hust,sandia,50,34,34,77,50,0.98375,0.03633610463437155,5,0.7826242685452236,0.6125007457159463,6.259617452567146,12.425966736369926,154.40464933337188
sandia_vs_luh,sandia,luh,50,34,34,50,106,0.9790909090909091,0.04425695070777485,5,0.52682896884197,0.2775487624110934,6.006289493372925,6.150281919221041,37.825967685897254
matr_vs_luh,matr,luh,100,34,34,129,106,1.0,0.0,5,0.8475185935153489,0.7182877663542352,6.560310004914996,231.445474119105,53567.00749021731
hust_vs_luh,hust,luh,100,34,34,77,106,1.0,0.0,5,0.8339191941268265,0.6954212223331357,6.9205782899008605,188.37601908530957,35485.52456642891
hust_vs_sandia,hust,sandia,100,34,34,77,50,1.0,0.0,5,0.7858198443343919,0.6175128277497279,6.247248152823012,13.190951609323033,174.0012043595019
matr_vs_hust,matr,hust,100,34,34,129,77,1.0,0.0,5,0.570677670695712,0.3256730038306834,6.112179746845013,15.980029241954966,255.3613345737358
sandia_vs_luh,sandia,luh,100,34,34,50,106,0.9800000000000001,0.04472135954999578,5,0.4906359771228622,0.24072366204730578,5.582617799821572,8.8818133502068,78.88660838791174
matr_vs_sandia,matr,sandia,100,34,34,129,50,0.9792307692307691,0.04432264704888594,5,0.8536864720133752,0.7287805924986432,5.086120711536734,13.871918687463408,192.43012807159653
