protocol,target,source,source_set,model,n_cycles,k,adapter_type,MAE_mean,MAE_std,SMAPE_mean,SMAPE_std,R2_mean,R2_std,n_test_mean,n_test_std,n_runs,selected_source_mode,selected_model_mode,weight_matr_mean,weight_hust_mean,weight_sandia_mean,weight_luh_mean
pooled_erm_kshot,hust,,matr+sandia+luh,elastic_net,100,5,residual_mean,257.48612432095405,26.999926324091216,17.60931358004192,2.0158456321889484,-0.2888381737388277,0.2980303871392691,72.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,elastic_net,100,10,residual_mean,246.70034855161725,20.911981055790037,16.85068461090442,1.4757122982704145,-0.18640768016283926,0.20625593244860588,67.0,0.0,100,,,,,,
pooled_erm_kshot,hust,,matr+sandia+luh,elastic_net,100,15,linear,238.97876346082222,15.53233090264199,16.28871809544281,1.033381289690711,-0.1494926798518274,0.16791574027644499,62.0,0.0,100,,,,,,
source_model_select,hust,,matr+sandia+luh,source_model_experts,100,20,linear,235.95474500299832,21.495898621334348,16.046810176188455,1.4399668462962214,-0.10996689557810745,0.21918366713624976,57.0,0.0,100,luh,xgboost,0.0,,0.34,0.66
pooled_erm_kshot,luh,,matr+hust+sandia,stacking,100,5,linear,207.57908732315866,32.24561863623288,53.46981684298119,14.596876701231638,0.5411829816306213,0.1555661901955214,101.0,0.0,100,,,,,,
source_model_select,luh,,matr+hust+sandia,source_model_experts,100,10,linear,183.8535189936679,39.41653108834481,44.503155798747486,10.417248693187863,0.621033436502521,0.16547706542831214,96.0,0.0,100,sandia,pls,0.11,0.12,0.77,
source_model_select,luh,,matr+hust+sandia,source_model_experts,100,15,linear,181.96222900056472,40.91820690319511,46.17014485199482,11.858831083200231,0.6402959204915252,0.15492075984329934,91.0,0.0,100,sandia,pls,0.14,0.1,0.76,
source_model_select,luh,,matr+hust+sandia,source_model_experts,100,20,linear,178.2166753959974,36.244888542717895,45.02125886740163,10.155153423072885,0.6595684662991407,0.1389379482855606,86.0,0.0,100,sandia,pls,0.15,0.08,0.77,
source_expert_convex,matr,,hust+sandia+luh,source_primary_experts,100,5,residual_mean,299.59226961536643,46.14442579644286,38.11082318134208,4.6231222444487425,-0.19633286233222047,0.332447594481844,124.0,0.0,100,,,,0.20800000000000002,0.088,0.7040000000000001
source_expert_convex,matr,,hust+sandia+luh,source_primary_experts,100,10,none,285.36303843840864,20.75652011554893,36.65959974436083,2.423007597433063,-0.0793150269845151,0.13350906413975056,119.0,0.0,100,,,,0.20800000000000002,0.0815,0.7104999999999998
source_expert_convex,matr,,hust+sandia+luh,source_primary_experts,100,15,residual_mean,280.0274981449795,19.984544977969367,36.15173420219755,2.413540758501945,-0.0474283477836872,0.12725287647872613,114.0,0.0,100,,,,0.265,0.0585,0.6764999999999999
pooled_erm_kshot,matr,,hust+sandia+luh,xgboost,100,20,linear,274.71648237643166,18.347222683438574,35.61899477555578,2.422747264812443,-0.002556859710810445,0.09896011420461565,109.0,0.0,100,,,,,,
pooled_erm_kshot,sandia,,matr+hust+luh,gaussian_process,100,5,none,470.2713371402119,47.25528353986183,70.2310076124333,3.311298654166027,0.6296216591241043,0.07848799866317045,45.0,0.0,100,,,,,,
pooled_erm_kshot,sandia,,matr+hust+luh,catboost,100,10,linear,334.410959833688,116.08004900372865,71.74624613103043,16.460012171392528,0.7234257171547561,0.283285518933315,40.0,0.0,100,,,,,,
pooled_erm_kshot,sandia,,matr+hust+luh,stacking,100,15,linear,297.2907871354486,92.4471335848367,69.40264563946228,18.750138334278653,0.8080517088245476,0.167042271987178,35.0,0.0,100,,,,,,
pooled_erm_kshot,sandia,,matr+hust+luh,stacking,100,20,linear,277.52336666036865,64.9687286099901,68.99493467948022,14.252347395959124,0.8554359922894331,0.059144878852604464,30.0,0.0,100,,,,,,
