protocol_raw,direction,source,target,n_cycles,best_model_raw,best_MAE_mean_raw,best_SMAPE_mean_raw,best_R2_mean_raw,protocol_capnorm,best_model_capnorm,best_MAE_mean_capnorm,best_SMAPE_mean_capnorm,best_R2_mean_capnorm,delta_best_MAE_capnorm_minus_raw,delta_best_R2_capnorm_minus_raw,best_MAE_pct_change_capnorm_vs_raw,capnorm_better_best_MAE,capnorm_better_best_R2
raw,hust_to_luh,hust,luh,50,gaussian_process,910.2523749404204,100.7434727061186,-4.941056459685158,capnorm,elastic_net,508.3368576736816,75.93028975991095,-1.4415347875367328,-401.9155172667388,3.4995216721484255,-44.15429482324017,True,True
raw,hust_to_luh,hust,luh,100,gaussian_process,910.2523749404204,100.7434727061186,-4.941056459685158,capnorm,pls,405.3268079863994,108.76898560612032,-0.5620604259849377,-504.925566954021,4.37899603370022,-55.47094199969216,True,True
raw,hust_to_matr,hust,matr,50,random_forest,574.309808633215,60.26699193562804,-2.0620103785199704,capnorm,gaussian_process,720.4115354056717,69.40772167831952,-3.6008563543531564,146.1017267724567,-1.538845975833186,25.439531865241932,False,False
raw,hust_to_matr,hust,matr,100,gaussian_process,569.2234901436565,59.63702648731531,-2.051705110427774,capnorm,gaussian_process,720.3607091592451,69.4051250330864,-3.6001135620102005,151.13721901558858,-1.5484084515824263,26.55147259953128,False,False
raw,hust_to_sandia,hust,sandia,50,gaussian_process,1260.820214699576,128.5823931542074,-0.4203810790067163,capnorm,gaussian_process,1260.4548671947018,128.56093843160497,-0.419244752781391,-0.3653475048740802,0.0011363262253252793,-0.028976970754005082,True,True
raw,hust_to_sandia,hust,sandia,100,gaussian_process,1300.9001018611586,131.18528268925326,-0.5329268210931012,capnorm,xgboost,1163.070821784149,123.7470108891666,-0.2314739418959273,-137.82928007700957,0.3014528791971739,-10.594916541233363,True,True
raw,luh_to_hust,luh,hust,50,catboost,642.1884896224831,53.08474254669968,-5.460870959275748,capnorm,random_forest,351.4840510020899,25.328880482332018,-1.568012568886033,-290.70443862039315,3.8928583903897147,-45.2677746982489,True,True
raw,luh_to_hust,luh,hust,100,xgboost,532.6776442653444,42.52329184455278,-3.856777311424301,capnorm,random_forest,300.3834126502442,20.997290546239753,-0.7633991911495887,-232.29423161510016,3.0933781202747124,-43.60878180564054,True,True
raw,luh_to_matr,luh,matr,50,stacking,283.197116502908,36.621907707089974,-0.1043707227338669,capnorm,stacking,288.05640131670987,37.39063416828729,-0.1719702822330123,4.859284813801878,-0.06759955949914541,1.7158666280954102,False,False
raw,luh_to_matr,luh,matr,100,stacking,276.91637866596096,35.866322098728816,0.0070850456938248,capnorm,stacking,334.3813501258695,41.15065979629805,-0.2751555415129972,57.464971459908554,-0.282240587206822,20.751741640109874,False,False
