dataset,cell_id,censor_time_cycles,q0,last_positive_cycle,last_positive_qdis,last_positive_retention,min_positive_cycle,min_positive_qdis,min_positive_retention
luh,luh_P037_2_S06_C09,666.0,2.9399758177920905,666.0,2.551170691843794,0.8677522707515712,666.0,2.551170691843794,0.8677522707515712
luh,luh_P049_2_S11_C09,1564.0,2.9516821977436263,1564.0,2.52810663232612,0.8564968932829886,1564.0,2.52810663232612,0.8564968932829886
matr,matr_b1c8,878.0,1.0916926999999998,878.0,0.96902454,0.8876348994547643,878.0,0.96902454,0.8876348994547643
matr,matr_b1c22,890.0,1.08099815,890.0,0.96327895,0.8911013862512159,890.0,0.96327895,0.8911013862512159
matr,matr_b1c13,896.0,1.0814757,896.0,0.92313582,0.8535890542894308,896.0,0.92313582,0.8535890542894308
matr,matr_b1c10,905.0,1.07650055,905.0,0.96101874,0.8927248016733479,905.0,0.96101874,0.8927248016733479
matr,matr_b3c23,2189.0,1.06678165,2189.0,0.93701142,0.8783535224851309,2189.0,0.93701142,0.8783535224851309
matr,matr_b3c32,2237.0,1.0734176,2237.0,0.97388279,0.9072729849035455,2237.0,0.97388279,0.9072729849035455
sandia,sandia_SNL_18650_LFP_25C_0_100_0_5_1C_c,3038.0,1.05175,3038.0,0.973,0.9251247920133111,3003.0,0.969,0.9213216068457333
sandia,sandia_SNL_18650_LFP_25C_0_100_0_5_1C_d,3038.0,1.05075,3038.0,0.973,0.926005234356412,3028.0,0.968,0.9212467285272423
sandia,sandia_SNL_18650_LFP_25C_0_100_0_5_0_5C_a,3050.0,1.07,3050.0,0.964,0.9009345794392523,2888.0,0.962,0.8990654205607476
sandia,sandia_SNL_18650_LFP_25C_0_100_0_5_2C_a,3544.0,1.03675,3544.0,0.95,0.9163250542560887,3522.0,0.939,0.9057149746804918
sandia,sandia_SNL_18650_LFP_25C_0_100_0_5_1C_a,3545.0,1.03375,3545.0,0.944,0.913180169286578,3515.0,0.936,0.9054413542926241
sandia,sandia_SNL_18650_LFP_15C_0_100_0_5_1C_b,3553.0,1.043,3553.0,0.972,0.9319271332694152,3538.0,0.969,0.9290508149568553
sandia,sandia_SNL_18650_LFP_25C_0_100_0_5_1C_b,3636.0,1.0379999999999998,3636.0,0.943,0.9084778420038537,3585.0,0.94,0.9055876685934491
sandia,sandia_SNL_18650_LFP_15C_0_100_0_5_2C_b,3754.0,1.03125,3754.0,0.933,0.9047272727272728,3747.0,0.913,0.8853333333333334
sandia,sandia_SNL_18650_LFP_15C_0_100_0_5_2C_a,3761.0,1.03275,3761.0,0.942,0.9121278140885983,3736.0,0.92,0.8908254659888647
sandia,sandia_SNL_18650_LFP_25C_0_100_0_5_2C_b,4050.0,1.03225,4050.0,0.94,0.9106321143133931,2787.0,0.88,0.8525066602082829
sandia,sandia_SNL_18650_LFP_15C_0_100_0_5_1C_a,4551.0,1.033,4551.0,0.947,0.9167473378509197,4338.0,0.924,0.894482090997096
