dataset,time,n_at_risk,n_events,n_censored_at_time,survival,greenwood_se
matr,0.0,135,0,0,1.0,0.0
matr,133.0,135,1,0,0.9925925925925926,0.007379921570850994
matr,247.0,134,1,0,0.9851851851851852,0.010397769018833748
matr,250.0,133,1,0,0.9777777777777777,0.012686649460410003
matr,251.0,132,1,0,0.9703703703703703,0.014593685767441317
matr,278.0,131,1,0,0.9629629629629629,0.01625384169393539
matr,314.0,130,1,0,0.9555555555555555,0.017736577773894292
matr,416.0,129,1,0,0.9481481481481481,0.019083294480578685
matr,417.0,128,1,0,0.9407407407407407,0.020321052657792216
matr,422.0,127,1,0,0.9333333333333332,0.021468706290651018
matr,435.0,126,1,0,0.9259259259259258,0.02254002294259943
matr,442.0,125,2,0,0.911111111111111,0.024493030652122945
matr,443.0,123,1,0,0.9037037037037036,0.025389312364459383
matr,444.0,122,1,0,0.8962962962962961,0.026239529910795686
matr,446.0,121,1,0,0.8888888888888887,0.02704802753111931
matr,449.0,120,1,0,0.8814814814814813,0.027818443027855282
matr,450.0,119,1,0,0.8740740740740739,0.028553859064040142
matr,451.0,118,1,0,0.8666666666666665,0.029256915049083693
matr,453.0,117,1,0,0.8592592592592591,0.02992989149186358
matr,454.0,116,1,0,0.8518518518518516,0.030574774684784704
matr,455.0,115,1,0,0.8444444444444442,0.031193307056501245
matr,461.0,114,1,0,0.8370370370370368,0.03178702689781138
matr,464.0,113,1,0,0.8296296296296294,0.03235730008310943
matr,466.0,112,2,0,0.8148148148148145,0.03343225680920147
matr,468.0,110,2,0,0.7999999999999997,0.0344265186329548
matr,470.0,108,1,0,0.7925925925925923,0.03489556639141096
matr,474.0,107,1,0,0.7851851851851849,0.0353468957357609
matr,475.0,106,2,0,0.77037037037037,0.036199024217029675
matr,476.0,104,2,0,0.7555555555555552,0.036987621355207896
matr,478.0,102,1,0,0.7481481481481478,0.0373593655837407
matr,481.0,101,1,0,0.7407407407407404,0.0377166723864678
matr,483.0,100,1,0,0.733333333333333,0.038059948381229995
