experiment,source,target,adapter_type,model,baseline_R2,adapted_R2,delta_R2,baseline_MAE,adapted_MAE,delta_MAE
hust_to_luh,hust,luh,linear,pls,-0.5620604259849377,0.554733090693768,1.1167935166787055,405.3268079863994,205.5031723962107,-199.82363559018864
hust_to_matr,hust,matr,residual_mean,random_forest,-4.554278443908033,0.0518922014838301,4.606170645391863,795.2872824178656,264.94759971018533,-530.3396827076804
hust_to_sandia,hust,sandia,linear,xgboost,-0.2314739418959273,0.2626976876069945,0.4941716295029219,1163.070821784149,697.5694501761596,-465.5013716079894
luh_to_hust,luh,hust,linear,elastic_net,-13276786456691.275,-0.0529598319908032,13276786456691.225,998007836.1353428,231.8751112651351,-998007604.2602316
luh_to_matr,luh,matr,residual_mean,gaussian_process,-1.075523000424735,-0.0513522067171797,1.024170793707555,389.0667021914775,282.3090579914678,-106.75764420000968
luh_to_sandia,luh,sandia,linear,elastic_net,-159104379814.57104,0.8527285478893033,159104379815.42377,190001126.6828162,195.69125595785857,-190000930.99156025
matr_to_hust,matr,hust,linear,gaussian_process,-7.936737027557716,-0.1075245153696363,7.82921251218808,763.007238641014,236.91819332858728,-526.0890453124268
matr_to_luh,matr,luh,linear,stacking,0.0038324202528454,0.1371874338447254,0.1333550135918799,334.0597534177139,303.3028977855317,-30.756855632182237
matr_to_sandia,matr,sandia,linear,stacking,0.0411012624946407,0.1501681387896967,0.109066876295056,719.9063091950204,677.8324546850397,-42.07385450998072
sandia_to_hust,sandia,hust,linear,pls,-86.4340797875769,-0.0937417241729916,86.34033806340392,1246.4601841268857,232.68670855124273,-1013.7734755756428
sandia_to_luh,sandia,luh,linear,pls,0.4944713375776242,0.723217488488447,0.2287461509108228,181.7643593859008,159.00422435434425,-22.76013503155656
sandia_to_matr,sandia,matr,linear,catboost,-3.9638416458738943,-0.0953791981402401,3.868462447733654,650.1526039774495,286.82267283274166,-363.3299311447078
