dataset,cell_id,source_key,param_id,cfg_file,n_eocv2_files,n_log_age_files,best_log_age_resolution_s,age_temp,age_chg_rate,age_dischg_rate,age_soc_min,age_soc_max,age_dod,cfg_columns,metadata_status,filter_reason,active_for_features
luh,luh_P001_1_S01_C10,P001_1_S01_C10,1,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cfg_extracted/cell_cfg_P001_1_S01_C10.csv,1,1,30.0,0.0,0.0,0.0,,,,"[""sd_block_id"", ""slave_id"", ""cell_id"", ""parameter_id"", ""parameter_nr"", ""cell_used"", ""cell_type"", ""t_sns_type"", ""age_type"", ""age_temp"", ""age_soc"", ""age_chg_rate"", ""age_dischg_rate"", ""age_profile"", ""V_max_cyc_V"", ""V_min_cyc_V"", ""V_max_cu_V"", ""V_min_cu_V"", ""I_chg_max_cyc_A"", ""I_dischg_max_cyc_A"", ""I_chg_max_cu_A"", ""I_dischg_max_cu_A"", ""I_chg_cutoff_cyc_A"", ""I_dischg_cutoff_cyc_A"", ""I_chg_cutoff_cu_A"", ""I_dischg_cutoff_cu_A"", ""I_chg_pulse_cu_A"", ""I_dischg_pulse_cu_A""]",ok,param_id_outside_standard_cycling_range,0
luh,luh_P001_2_S04_C09,P001_2_S04_C09,1,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cfg_extracted/cell_cfg_P001_2_S04_C09.csv,1,1,30.0,0.0,0.0,0.0,,,,"[""sd_block_id"", ""slave_id"", ""cell_id"", ""parameter_id"", ""parameter_nr"", ""cell_used"", ""cell_type"", ""t_sns_type"", ""age_type"", ""age_temp"", ""age_soc"", ""age_chg_rate"", ""age_dischg_rate"", ""age_profile"", ""V_max_cyc_V"", ""V_min_cyc_V"", ""V_max_cu_V"", ""V_min_cu_V"", ""I_chg_max_cyc_A"", ""I_dischg_max_cyc_A"", ""I_chg_max_cu_A"", ""I_dischg_max_cu_A"", ""I_chg_cutoff_cyc_A"", ""I_dischg_cutoff_cyc_A"", ""I_chg_cutoff_cu_A"", ""I_dischg_cutoff_cu_A"", ""I_chg_pulse_cu_A"", ""I_dischg_pulse_cu_A""]",ok,param_id_outside_standard_cycling_range,0
luh,luh_P001_3_S05_C06,P001_3_S05_C06,1,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cfg_extracted/cell_cfg_P001_3_S05_C06.csv,1,1,30.0,0.0,0.0,0.0,,,,"[""sd_block_id"", ""slave_id"", ""cell_id"", ""parameter_id"", ""parameter_nr"", ""cell_used"", ""cell_type"", ""t_sns_type"", ""age_type"", ""age_temp"", ""age_soc"", ""age_chg_rate"", ""age_dischg_rate"", ""age_profile"", ""V_max_cyc_V"", ""V_min_cyc_V"", ""V_max_cu_V"", ""V_min_cu_V"", ""I_chg_max_cyc_A"", ""I_dischg_max_cyc_A"", ""I_chg_max_cu_A"", ""I_dischg_max_cu_A"", ""I_chg_cutoff_cyc_A"", ""I_dischg_cutoff_cyc_A"", ""I_chg_cutoff_cu_A"", ""I_dischg_cutoff_cu_A"", ""I_chg_pulse_cu_A"", ""I_dischg_pulse_cu_A""]",ok,param_id_outside_standard_cycling_range,0
luh,luh_P002_1_S02_C10,P002_1_S02_C10,2,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cfg_extracted/cell_cfg_P002_1_S02_C10.csv,1,1,30.0,0.0,0.0,0.0,,,,"[""sd_block_id"", ""slave_id"", ""cell_id"", ""parameter_id"", ""parameter_nr"", ""cell_used"", ""cell_type"", ""t_sns_type"", ""age_type"", ""age_temp"", ""age_soc"", ""age_chg_rate"", ""age_dischg_rate"", ""age_profile"", ""V_max_cyc_V"", ""V_min_cyc_V"", ""V_max_cu_V"", ""V_min_cu_V"", ""I_chg_max_cyc_A"", ""I_dischg_max_cyc_A"", ""I_chg_max_cu_A"", ""I_dischg_max_cu_A"", ""I_chg_cutoff_cyc_A"", ""I_dischg_cutoff_cyc_A"", ""I_chg_cutoff_cu_A"", ""I_dischg_cutoff_cu_A"", ""I_chg_pulse_cu_A"", ""I_dischg_pulse_cu_A""]",ok,param_id_outside_standard_cycling_range,0
luh,luh_P002_2_S03_C10,P002_2_S03_C10,2,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cfg_extracted/cell_cfg_P002_2_S03_C10.csv,1,1,30.0,0.0,0.0,0.0,,,,"[""sd_block_id"", ""slave_id"", ""cell_id"", ""parameter_id"", ""parameter_nr"", ""cell_used"", ""cell_type"", ""t_sns_type"", ""age_type"", ""age_temp"", ""age_soc"", ""age_chg_rate"", ""age_dischg_rate"", ""age_profile"", ""V_max_cyc_V"", ""V_min_cyc_V"", ""V_max_cu_V"", ""V_min_cu_V"", ""I_chg_max_cyc_A"", ""I_dischg_max_cyc_A"", ""I_chg_max_cu_A"", ""I_dischg_max_cu_A"", ""I_chg_cutoff_cyc_A"", ""I_dischg_cutoff_cyc_A"", ""I_chg_cutoff_cu_A"", ""I_dischg_cutoff_cu_A"", ""I_chg_pulse_cu_A"", ""I_dischg_pulse_cu_A""]",ok,param_id_outside_standard_cycling_range,0
luh,luh_P002_3_S04_C10,P002_3_S04_C10,2,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cfg_extracted/cell_cfg_P002_3_S04_C10.csv,1,1,30.0,0.0,0.0,0.0,,,,"[""sd_block_id"", ""slave_id"", ""cell_id"", ""parameter_id"", ""parameter_nr"", ""cell_used"", ""cell_type"", ""t_sns_type"", ""age_type"", ""age_temp"", ""age_soc"", ""age_chg_rate"", ""age_dischg_rate"", ""age_profile"", ""V_max_cyc_V"", ""V_min_cyc_V"", ""V_max_cu_V"", ""V_min_cu_V"", ""I_chg_max_cyc_A"", ""I_dischg_max_cyc_A"", ""I_chg_max_cu_A"", ""I_dischg_max_cu_A"", ""I_chg_cutoff_cyc_A"", ""I_dischg_cutoff_cyc_A"", ""I_chg_cutoff_cu_A"", ""I_dischg_cutoff_cu_A"", ""I_chg_pulse_cu_A"", ""I_dischg_pulse_cu_A""]",ok,param_id_outside_standard_cycling_range,0
luh,luh_P003_1_S01_C11,P003_1_S01_C11,3,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cfg_extracted/cell_cfg_P003_1_S01_C11.csv,1,1,30.0,0.0,0.0,0.0,,,,"[""sd_block_id"", ""slave_id"", ""cell_id"", ""parameter_id"", ""parameter_nr"", ""cell_used"", ""cell_type"", ""t_sns_type"", ""age_type"", ""age_temp"", ""age_soc"", ""age_chg_rate"", ""age_dischg_rate"", ""age_profile"", ""V_max_cyc_V"", ""V_min_cyc_V"", ""V_max_cu_V"", ""V_min_cu_V"", ""I_chg_max_cyc_A"", ""I_dischg_max_cyc_A"", ""I_chg_max_cu_A"", ""I_dischg_max_cu_A"", ""I_chg_cutoff_cyc_A"", ""I_dischg_cutoff_cyc_A"", ""I_chg_cutoff_cu_A"", ""I_dischg_cutoff_cu_A"", ""I_chg_pulse_cu_A"", ""I_dischg_pulse_cu_A""]",ok,param_id_outside_standard_cycling_range,0
luh,luh_P003_2_S02_C11,P003_2_S02_C11,3,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cfg_extracted/cell_cfg_P003_2_S02_C11.csv,1,1,30.0,0.0,0.0,0.0,,,,"[""sd_block_id"", ""slave_id"", ""cell_id"", ""parameter_id"", ""parameter_nr"", ""cell_used"", ""cell_type"", ""t_sns_type"", ""age_type"", ""age_temp"", ""age_soc"", ""age_chg_rate"", ""age_dischg_rate"", ""age_profile"", ""V_max_cyc_V"", ""V_min_cyc_V"", ""V_max_cu_V"", ""V_min_cu_V"", ""I_chg_max_cyc_A"", ""I_dischg_max_cyc_A"", ""I_chg_max_cu_A"", ""I_dischg_max_cu_A"", ""I_chg_cutoff_cyc_A"", ""I_dischg_cutoff_cyc_A"", ""I_chg_cutoff_cu_A"", ""I_dischg_cutoff_cu_A"", ""I_chg_pulse_cu_A"", ""I_dischg_pulse_cu_A""]",ok,param_id_outside_standard_cycling_range,0
luh,luh_P003_3_S05_C07,P003_3_S05_C07,3,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cfg_extracted/cell_cfg_P003_3_S05_C07.csv,1,1,30.0,0.0,0.0,0.0,,,,"[""sd_block_id"", ""slave_id"", ""cell_id"", ""parameter_id"", ""parameter_nr"", ""cell_used"", ""cell_type"", ""t_sns_type"", ""age_type"", ""age_temp"", ""age_soc"", ""age_chg_rate"", ""age_dischg_rate"", ""age_profile"", ""V_max_cyc_V"", ""V_min_cyc_V"", ""V_max_cu_V"", ""V_min_cu_V"", ""I_chg_max_cyc_A"", ""I_dischg_max_cyc_A"", ""I_chg_max_cu_A"", ""I_dischg_max_cu_A"", ""I_chg_cutoff_cyc_A"", ""I_dischg_cutoff_cyc_A"", ""I_chg_cutoff_cu_A"", ""I_dischg_cutoff_cu_A"", ""I_chg_pulse_cu_A"", ""I_dischg_pulse_cu_A""]",ok,param_id_outside_standard_cycling_range,0
luh,luh_P004_1_S03_C11,P004_1_S03_C11,4,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cfg_extracted/cell_cfg_P004_1_S03_C11.csv,1,1,30.0,0.0,0.0,0.0,,,,"[""sd_block_id"", ""slave_id"", ""cell_id"", ""parameter_id"", ""parameter_nr"", ""cell_used"", ""cell_type"", ""t_sns_type"", ""age_type"", ""age_temp"", ""age_soc"", ""age_chg_rate"", ""age_dischg_rate"", ""age_profile"", ""V_max_cyc_V"", ""V_min_cyc_V"", ""V_max_cu_V"", ""V_min_cu_V"", ""I_chg_max_cyc_A"", ""I_dischg_max_cyc_A"", ""I_chg_max_cu_A"", ""I_dischg_max_cu_A"", ""I_chg_cutoff_cyc_A"", ""I_dischg_cutoff_cyc_A"", ""I_chg_cutoff_cu_A"", ""I_dischg_cutoff_cu_A"", ""I_chg_pulse_cu_A"", ""I_dischg_pulse_cu_A""]",ok,param_id_outside_standard_cycling_range,0
