protocol,target,source,source_set,model,n_cycles,k,adapter_type,MAE_mean,MAE_std,SMAPE_mean,SMAPE_std,R2_mean,R2_std,n_test_mean,n_test_std,n_runs,selected_source_mode,selected_model_mode,weight_matr_mean,weight_hust_mean,weight_sandia_mean,weight_luh_mean,target_label,detail
pooled_erm_kshot,hust,,matr+sandia+luh,elastic_net,100,5,residual_mean,257.48612432095405,26.999926324091216,17.60931358004192,2.0158456321889484,-0.2888381737388277,0.2980303871392691,72.0,0.0,100,,,,,,,HUST,pooled_erm_kshot; model=elastic_net; adapter=residual_mean
pooled_erm_kshot,hust,,matr+sandia+luh,elastic_net,100,10,residual_mean,246.70034855161725,20.911981055790037,16.85068461090442,1.4757122982704145,-0.1864076801628392,0.2062559324486058,67.0,0.0,100,,,,,,,HUST,pooled_erm_kshot; model=elastic_net; adapter=residual_mean
pooled_erm_kshot,hust,,matr+sandia+luh,elastic_net,100,15,linear,238.97876346082225,15.53233090264199,16.28871809544281,1.033381289690711,-0.1494926798518274,0.1679157402764449,62.0,0.0,100,,,,,,,HUST,pooled_erm_kshot; model=elastic_net; adapter=linear
source_model_select,hust,,matr+sandia+luh,source_model_experts,100,20,linear,235.95474500299832,21.495898621334348,16.046810176188455,1.4399668462962214,-0.1099668955781074,0.2191836671362497,57.0,0.0,100,luh,xgboost,0.0,,0.34,0.66,HUST,source_model_select; model=source_model_experts; adapter=linear; selected_source=luh; selected_model=xgboost
pooled_erm_kshot,luh,,matr+hust+sandia,pls,100,5,none,206.83293659089617,80.5288703572166,42.32222023467736,16.269515551095573,0.3464885609586912,0.4801013733281307,101.0,0.0,100,,,,,,,Luh/KIT,pooled_erm_kshot; model=pls; adapter=none
source_model_select,luh,,matr+hust+sandia,source_model_experts,100,10,linear,183.8535189936679,39.41653108834481,44.503155798747486,10.417248693187863,0.621033436502521,0.1654770654283121,96.0,0.0,100,sandia,pls,0.11,0.12,0.77,,Luh/KIT,source_model_select; model=source_model_experts; adapter=linear; selected_source=sandia; selected_model=pls
source_model_select,luh,,matr+hust+sandia,source_model_experts,100,15,linear,181.96222900056472,40.91820690319511,46.17014485199482,11.858831083200233,0.6402959204915252,0.1549207598432993,91.0,0.0,100,sandia,pls,0.14,0.1,0.76,,Luh/KIT,source_model_select; model=source_model_experts; adapter=linear; selected_source=sandia; selected_model=pls
source_model_select,luh,,matr+hust+sandia,source_model_experts,100,20,linear,178.2166753959974,36.244888542717895,45.02125886740163,10.155153423072884,0.6595684662991407,0.1389379482855606,86.0,0.0,100,sandia,pls,0.15,0.08,0.77,,Luh/KIT,source_model_select; model=source_model_experts; adapter=linear; selected_source=sandia; selected_model=pls
source_expert_convex,matr,,hust+sandia+luh,source_primary_experts,100,5,residual_mean,299.59226961536643,46.14442579644286,38.11082318134208,4.6231222444487425,-0.1963328623322204,0.332447594481844,124.0,0.0,100,,,,0.208,0.088,0.7040000000000001,MATR,source_expert_convex; model=source_primary_experts; adapter=residual_mean
source_expert_convex,matr,,hust+sandia+luh,source_primary_experts,100,10,residual_mean,284.0806511356589,20.53258490768213,36.55140678048704,2.459962441685415,-0.081516635370361,0.1385064813126501,119.0,0.0,100,,,,0.208,0.0815,0.7104999999999998,MATR,source_expert_convex; model=source_primary_experts; adapter=residual_mean
source_expert_convex,matr,,hust+sandia+luh,source_primary_experts,100,15,residual_mean,280.0274981449795,19.984544977969367,36.15173420219755,2.413540758501945,-0.0474283477836872,0.1272528764787261,114.0,0.0,100,,,,0.265,0.0585,0.6764999999999999,MATR,source_expert_convex; model=source_primary_experts; adapter=residual_mean
pooled_erm_kshot,matr,,hust+sandia+luh,xgboost,100,20,linear,274.71648237643166,18.347222683438577,35.61899477555578,2.422747264812443,-0.0025568597108104,0.0989601142046156,109.0,0.0,100,,,,,,,MATR,pooled_erm_kshot; model=xgboost; adapter=linear
pooled_erm_kshot,sandia,,matr+hust+luh,xgboost,100,5,none,371.6045804226458,44.000227248692894,44.39261595557484,7.609244389004242,0.6079054178712265,0.0324904917938339,45.0,0.0,100,,,,,,,Sandia,pooled_erm_kshot; model=xgboost; adapter=none
pooled_erm_kshot,sandia,,matr+hust+luh,stacking,100,10,linear,327.18733308794305,133.83531230999813,68.2491092303172,17.043961724128852,0.7230444675684368,0.3254256525816692,40.0,0.0,100,,,,,,,Sandia,pooled_erm_kshot; model=stacking; adapter=linear
pooled_erm_kshot,sandia,,matr+hust+luh,stacking,100,15,linear,297.2907871354486,92.4471335848367,69.40264563946228,18.750138334278653,0.8080517088245476,0.167042271987178,35.0,0.0,100,,,,,,,Sandia,pooled_erm_kshot; model=stacking; adapter=linear
pooled_erm_kshot,sandia,,matr+hust+luh,stacking,100,20,linear,277.52336666036865,64.9687286099901,68.99493467948022,14.252347395959124,0.8554359922894331,0.0591448788526044,30.0,0.0,100,,,,,,,Sandia,pooled_erm_kshot; model=stacking; adapter=linear
