target,target_label,rank_by_target,protocol,source,model,adapter_type,k,MAE_mean,MAE_std,SMAPE_mean,R2_mean,R2_std,n_runs,selected_source_mode,selected_model_mode,detail
hust,HUST,1,source_model_select,,source_model_experts,linear,20,235.95474500299832,21.495898621334348,16.046810176188455,-0.1099668955781074,0.2191836671362497,100,luh,xgboost,source_model_select; model=source_model_experts; adapter=linear; selected_source=luh; selected_model=xgboost
hust,HUST,2,pooled_erm_kshot,,elastic_net,linear,20,237.0020692188618,15.47813596951549,16.147930050742733,-0.1132316059499936,0.1570965354877655,100,,,pooled_erm_kshot; model=elastic_net; adapter=linear
hust,HUST,3,source_expert_select,,source_primary_experts,linear,20,237.62364698639925,17.490600382620837,16.189746102653775,-0.1288638132711837,0.1779439400288373,100,matr,,source_expert_select; model=source_primary_experts; adapter=linear; selected_source=matr
hust,HUST,4,pooled_erm_kshot,,gaussian_process,linear,20,237.64566054468003,20.6896403156293,16.233856557200177,-0.1299582832568408,0.3083400258743155,100,,,pooled_erm_kshot; model=gaussian_process; adapter=linear
hust,HUST,5,pooled_erm_kshot,,pls,linear,20,238.10740756961505,17.361393142180606,16.231649339643717,-0.130209910860743,0.2103496937939071,100,,,pooled_erm_kshot; model=pls; adapter=linear
hust,HUST,6,pooled_erm_kshot,,xgboost,linear,20,238.7868991169921,21.80640281493656,16.318394623138257,-0.1427280200983175,0.3417802442209369,100,,,pooled_erm_kshot; model=xgboost; adapter=linear
luh,Luh/KIT,1,source_model_select,,source_model_experts,linear,20,178.2166753959974,36.244888542717895,45.02125886740163,0.6595684662991407,0.1389379482855606,100,sandia,pls,source_model_select; model=source_model_experts; adapter=linear; selected_source=sandia; selected_model=pls
luh,Luh/KIT,2,pooled_erm_kshot,,pls,linear,20,182.8502887488974,50.324275941860066,45.38595418682936,0.6379519826666281,0.1934404049438209,100,,,pooled_erm_kshot; model=pls; adapter=linear
luh,Luh/KIT,3,source_model_select,,source_model_experts,none,20,184.80410285646784,45.16505665456636,37.291617160978305,0.5474825173778016,0.1755204287596804,100,sandia,pls,source_model_select; model=source_model_experts; adapter=none; selected_source=sandia; selected_model=pls
luh,Luh/KIT,4,pooled_erm_kshot,,elastic_net,linear,20,185.9989667561887,19.025504258588413,48.39208335945967,0.6581265718219105,0.0555772997214102,100,,,pooled_erm_kshot; model=elastic_net; adapter=linear
luh,Luh/KIT,5,pooled_erm_kshot,,stacking,linear,20,187.23530867225244,21.947302331847716,52.734369808358586,0.6364870763184332,0.0826762225146287,100,,,pooled_erm_kshot; model=stacking; adapter=linear
luh,Luh/KIT,6,pooled_erm_kshot,,catboost,linear,20,194.4421062395716,18.42613332064814,49.120502293906426,0.5949235111661979,0.0778338887029364,100,,,pooled_erm_kshot; model=catboost; adapter=linear
matr,MATR,1,pooled_erm_kshot,,xgboost,linear,20,274.71648237643166,18.347222683438577,35.61899477555578,-0.0025568597108104,0.0989601142046156,100,,,pooled_erm_kshot; model=xgboost; adapter=linear
matr,MATR,2,pooled_erm_kshot,,random_forest,linear,20,277.5599764384316,19.75177001434412,35.877510387827385,-0.041180227358132,0.1142025151508996,100,,,pooled_erm_kshot; model=random_forest; adapter=linear
matr,MATR,3,pooled_erm_kshot,,stacking,linear,20,277.78097857878646,20.794936350440526,36.09366009161117,-0.0358415009968092,0.1162599907015708,100,,,pooled_erm_kshot; model=stacking; adapter=linear
matr,MATR,4,source_expert_convex,,source_primary_experts,residual_mean,20,278.130548147493,20.089021543236655,35.93566052446275,-0.020766839939214,0.1331696430456239,100,,,source_expert_convex; model=source_primary_experts; adapter=residual_mean
matr,MATR,5,source_expert_convex,,source_primary_experts,none,20,279.13968052731565,19.24240154418369,36.038749829619285,-0.022001576618779,0.1254661006215398,100,,,source_expert_convex; model=source_primary_experts; adapter=none
matr,MATR,6,source_expert_convex,,source_primary_experts,linear,20,281.16015771254706,22.865804753749256,37.294715161448366,-0.036825168048822,0.151250194211256,100,,,source_expert_convex; model=source_primary_experts; adapter=linear
sandia,Sandia,1,pooled_erm_kshot,,stacking,linear,20,277.52336666036865,64.9687286099901,68.99493467948022,0.8554359922894331,0.0591448788526044,100,,,pooled_erm_kshot; model=stacking; adapter=linear
sandia,Sandia,2,pooled_erm_kshot,,catboost,linear,20,287.4404636974133,51.583090383335296,73.144112419732,0.843770130588305,0.0631332550313694,100,,,pooled_erm_kshot; model=catboost; adapter=linear
sandia,Sandia,3,pooled_erm_kshot,,random_forest,linear,20,309.86331378662004,75.48993584589437,77.47672511275935,0.825996258855434,0.0738988188673002,100,,,pooled_erm_kshot; model=random_forest; adapter=linear
sandia,Sandia,4,pooled_erm_kshot,,xgboost,linear,20,316.70227470463544,75.04387930258866,80.26483499259308,0.8176113262332966,0.0846207536941878,100,,,pooled_erm_kshot; model=xgboost; adapter=linear
sandia,Sandia,5,pooled_erm,,xgboost,none,0,369.84275204639584,32.631632684333745,44.44465876681398,0.6083874449276001,0.0299380178574143,5,,,pooled_erm; model=xgboost; adapter=none
sandia,Sandia,6,pooled_erm_kshot,,xgboost,none,20,380.1233366676697,79.76504861016294,44.92617155741824,0.6001781818366224,0.0503979466792642,100,,,pooled_erm_kshot; model=xgboost; adapter=none
