source,target,direction,direction_label,source_shap_model,source_within_R2,shap_mass_slope_shifted_pct,shap_mass_slope_stable_pct,top10_slope_shifted_count,top10_slope_stable_count,top_shifted_shap_features,top_stable_shap_features,cross_best_model,raw_R2,pearson_r,linear_R2,rank_signal_class,adapter_class,slope_shifted_share,n_slope_shifted_features,life_ratio_target_over_source
sandia,hust,sandia_to_hust,Sandia -> HUST,xgboost,0.925789081268821,90.26126954471684,9.73873088638352,8,2,Qdis_N (54.8%); mad_Qdis (8.8%); slope_linear (7.3%),slope_ratio (3.0%); autocorr_lag1 (2.1%); accel_mean (1.3%),catboost,-2.026537003013493,0.1868972553941344,0.0394274940951304,weak_rank_signal,center_repaired_but_low_rank,0.7352941176470589,25,4.047253617568027
luh,hust,luh_to_hust,Luh/KIT -> HUST,catboost,0.7702615078390631,88.94248420047458,11.05751579952527,10,0,slope_last_quarter (7.6%); slope_linear (6.3%); poly2_b (5.8%),sample_entropy (3.6%); knee_cycle (2.0%); accel_mean (1.7%),random_forest,-0.7633991911495936,0.0148578571548701,0.0213752792283548,rank_signal_collapsed,offset_dominant_repair,0.7647058823529411,26,3.6361852632766873
sandia,matr,sandia_to_matr,Sandia -> MATR,xgboost,0.925789081268821,83.3416127233067,16.65838770779367,6,4,Qdis_N (54.8%); mad_Qdis (8.8%); slope_linear (7.3%),range_Qdis (3.1%); slope_ratio (3.0%); variance_Qdis (2.8%),gaussian_process,-0.8021333947043507,-0.0058033323714097,0.0029194254689424,rank_signal_collapsed,center_repaired_but_low_rank,0.5588235294117647,19,1.9409410378707193
hust,luh,hust_to_luh,HUST -> Luh/KIT,random_forest,0.3397522395445845,74.24464224200057,25.755357757999278,8,2,Qdis_N (28.2%); Qdis_cycle10 (10.6%); poly2_a (6.7%),linearity_r2 (14.3%); sample_entropy (3.2%); pos_neg_diff_ratio (2.1%),pls,-0.5620604259849377,0.7716731043125821,0.6103797741346866,strong_rank_signal,linear_recovers_predictive_transfer,0.7647058823529411,26,0.2750134901264263
luh,matr,luh_to_matr,Luh/KIT -> MATR,catboost,0.7702615078390631,65.04644123990934,34.9535587600905,8,2,slope_last_quarter (7.6%); slope_linear (6.3%); poly2_b (5.8%),range_Qdis (4.2%); poly2_a (4.0%); max_drop (3.9%),stacking,-0.2751555415129972,0.107347592953593,0.0195110846494326,weak_rank_signal,offset_dominant_repair,0.5,17,1.7438050257486346
hust,sandia,hust_to_sandia,HUST -> Sandia,random_forest,0.3397522395445845,61.7692658194503,38.230734180549554,6,4,Qdis_N (28.2%); Qdis_cycle10 (10.6%); sample_entropy (3.2%),linearity_r2 (14.3%); poly2_a (6.7%); slope_ratio (5.2%),xgboost,-0.2314739418959273,0.5774316832047887,0.3661141417219493,strong_rank_signal,linear_recovers_predictive_transfer,0.7352941176470589,25,0.2470811306855769
hust,matr,hust_to_matr,HUST -> MATR,random_forest,0.3397522395445845,54.81845695550169,45.181543044498156,3,7,Qdis_N (28.2%); linearity_r2 (14.3%); spectral_entropy (2.4%),Qdis_cycle10 (10.6%); poly2_a (6.7%); slope_ratio (5.2%),gaussian_process,-3.6001135620102005,-0.1140931826398683,0.0081705447983793,negative_or_inverted_signal,offset_dominant_repair,0.4117647058823529,14,0.4795699062311345
matr,hust,matr_to_hust,MATR -> HUST,catboost,0.5752479103793123,54.5655418613577,45.434458138642114,6,4,accel_mean (11.5%); poly2_c (10.7%); slope_last_quarter (7.1%),range_Qdis (7.4%); variance_Qdis (6.5%); sample_entropy (4.2%),gaussian_process,-7.936737027557716,-0.1200185046019638,0.0246972384801261,negative_or_inverted_signal,center_repaired_but_low_rank,0.4117647058823529,14,2.085201733901205
matr,luh,matr_to_luh,MATR -> Luh/KIT,catboost,0.5752479103793123,44.850300786367654,55.14969921363216,3,7,accel_mean (11.5%); slope_last_quarter (7.1%); mad_Qdis (5.9%),poly2_c (10.7%); range_Qdis (7.4%); variance_Qdis (6.5%),stacking,0.0038324202528452,0.4065409096999401,0.1932600633327312,moderate_rank_signal,limited_repair,0.5,17,0.5734586064578459
matr,sandia,matr_to_sandia,MATR -> Sandia,catboost,0.5752479103793123,44.158248965558684,55.84175103444114,3,7,accel_mean (11.5%); mad_Qdis (5.9%); sample_entropy (4.2%),poly2_c (10.7%); range_Qdis (7.4%); slope_last_quarter (7.1%),xgboost,0.0455318396232738,0.4271628336086019,0.2607964861439512,moderate_rank_signal,linear_recovers_predictive_transfer,0.5588235294117647,19,0.5152140021198353
luh,sandia,luh_to_sandia,Luh/KIT -> Sandia,catboost,0.7702615078390631,6.47751514297885,93.52248485702098,0,10,sample_entropy (3.6%); cycle_to_98pct (2.8%),slope_last_quarter (7.6%); slope_linear (6.3%); poly2_b (5.8%),xgboost,0.498719236814331,0.9131253584230612,0.8417995407093845,strong_rank_signal,linear_recovers_predictive_transfer,0.088235294117647,3,0.8984327662326365
sandia,luh,sandia_to_luh,Sandia -> Luh/KIT,xgboost,0.925789081268821,2.69587931339628,97.3041211177041,0,10,cycle_to_98pct (1.3%); sample_entropy (1.3%); n_capacity_jumps (0.1%),Qdis_N (54.8%); mad_Qdis (8.8%); slope_linear (7.3%),pls,0.4944713375776242,0.8621160025989422,0.7502426298028618,strong_rank_signal,linear_recovers_predictive_transfer,0.088235294117647,3,1.1130493427941877
