MAE,SMAPE,R2,skipped,train_cells,target_cells,pearson_r,linear_adapter_R2,tuning_kernel,direction,source,target,source_variant,target_variant,seed,model,n_cycles,source_cells,target_cells_total,life_ratio_target_over_source
795.335334953934,70.76631066385758,-8.413879630688095,False,89,77,0.07334825831458221,0.005379966997782537,1.18**2 * RBF(length_scale=2.65) + WhiteKernel(noise_level=0.229),matr_to_hust,matr,hust,full,full,42,gaussian_process,100,129,77,2.085201733901205
772.8689525873293,68.20913646146535,-8.143239826783574,False,89,77,-0.1802709936108277,0.03249763113743509,1.39**2 * RBF(length_scale=3.81) + WhiteKernel(noise_level=0.32),matr_to_hust,matr,hust,full,full,123,gaussian_process,100,129,77,2.085201733901205
730.2418580130218,64.00179044743555,-7.681280558665806,False,89,77,-0.19484847922136164,0.03796592985487712,1.36**2 * RBF(length_scale=5.98) + WhiteKernel(noise_level=0.383),matr_to_hust,matr,hust,full,full,456,gaussian_process,100,129,77,2.085201733901205
743.9570310514687,64.55839087251626,-7.48086467571007,False,89,77,-0.18881454976901554,0.03565093420447596,1.21**2 * RBF(length_scale=3.81) + WhiteKernel(noise_level=0.322),matr_to_hust,matr,hust,full,full,789,gaussian_process,100,129,77,2.085201733901205
772.6330165993162,67.93627802393793,-7.964420445941036,False,89,77,-0.10950675872319653,0.011991730206060147,1.15**2 * RBF(length_scale=3.62) + WhiteKernel(noise_level=0.314),matr_to_hust,matr,hust,full,full,1011,gaussian_process,100,129,77,2.085201733901205
809.584878741899,72.36205590006756,-12.083247330469531,False,89,43,-0.058785827403550386,0.003455773503520221,1.18**2 * RBF(length_scale=2.65) + WhiteKernel(noise_level=0.229),matr_to_hust,matr,hust,full,restricted,42,gaussian_process,100,129,43,2.1121171277241073
794.9132671205866,70.81452174763474,-11.92673825955898,False,89,43,-0.2215624783757787,0.04908993182401811,1.39**2 * RBF(length_scale=3.81) + WhiteKernel(noise_level=0.32),matr_to_hust,matr,hust,full,restricted,123,gaussian_process,100,129,43,2.1121171277241073
764.5050774941243,68.24946199842626,-11.516732226304082,False,89,43,-0.14450324602163012,0.020881188110787763,1.36**2 * RBF(length_scale=5.98) + WhiteKernel(noise_level=0.383),matr_to_hust,matr,hust,full,restricted,456,gaussian_process,100,129,43,2.1121171277241073
756.7746027239929,66.01601664852443,-10.73003440033509,False,89,43,-0.24333469804965951,0.05921177527491883,1.21**2 * RBF(length_scale=3.81) + WhiteKernel(noise_level=0.322),matr_to_hust,matr,hust,full,restricted,789,gaussian_process,100,129,43,2.1121171277241073
788.9070193487014,69.81471650918805,-11.46937475484118,False,89,43,-0.007376762445115755,5.441662417171589e-05,1.15**2 * RBF(length_scale=3.62) + WhiteKernel(noise_level=0.314),matr_to_hust,matr,hust,full,restricted,1011,gaussian_process,100,129,43,2.1121171277241073
580.7665427941135,46.397187562729485,-4.45636141542869,False,59,77,-0.1739331063912548,0.030252725498951638,0.956**2 * RBF(length_scale=1.63) + WhiteKernel(noise_level=0.259),matr_to_hust,matr,hust,restricted,full,42,gaussian_process,100,86,77,1.6248959364133062
603.3426231932519,48.743355290367546,-4.818384680292126,False,59,77,0.11541013807317085,0.013319499970068316,0.861**2 * RBF(length_scale=2.29) + WhiteKernel(noise_level=0.469),matr_to_hust,matr,hust,restricted,full,123,gaussian_process,100,86,77,1.6248959364133062
626.8707070413833,51.51027859988244,-5.376168878547511,False,60,77,-0.09030800086066397,0.008155535019449656,1.65**2 * RBF(length_scale=11.9) + WhiteKernel(noise_level=0.553),matr_to_hust,matr,hust,restricted,full,456,gaussian_process,100,86,77,1.6248959364133062
572.3489718022009,46.083600356654756,-4.696232030252441,False,58,77,-0.1629922806644354,0.026566483556193732,1.45**2 * RBF(length_scale=9.4) + WhiteKernel(noise_level=0.629),matr_to_hust,matr,hust,restricted,full,789,gaussian_process,100,86,77,1.6248959364133062
590.6566347856165,47.53489229995188,-4.699142302090013,False,58,77,-0.11457076173824929,0.013126459445282679,1.24**2 * RBF(length_scale=8.38) + WhiteKernel(noise_level=0.649),matr_to_hust,matr,hust,restricted,full,1011,gaussian_process,100,86,77,1.6248959364133062
590.1485934958911,47.46273587832274,-6.412753770594287,False,59,43,-0.11751349838524333,0.013809422302706875,0.956**2 * RBF(length_scale=1.63) + WhiteKernel(noise_level=0.259),matr_to_hust,matr,hust,restricted,restricted,42,gaussian_process,100,86,43,1.6458697891292133
