cell_id,dataset_prefix,stored_cycle_life,q0,q0_source,eol_80pct_q0_cycle,eol_80pct_q0_label,is_censored_80pct_q0,eol_85pct_q0_cycle,eol_85pct_q0_label,is_censored_85pct_q0,eol_88ah_cycle,eol_88ah_label,is_censored_88ah,observed_cycle_count,gap_to_stored_cycle_life,needs_relabel,last_valid_qd,merge_status,kept_for_modeling
b1c0,b1,1852.0,1.0706892,first_positive_qd,1980.0,1980.0,0,1947.0,1947.0,0,1966.0,1966.0,0,1995,-143.0,0,0.8264814,continued_from_b2c7,1
b1c1,b1,2160.0,1.0753012,first_positive_qd,2099.0,2099.0,0,2054.0,2054.0,0,2082.0,2082.0,0,2125,35.0,1,0.8255862,continued_from_b2c8,1
b1c10,b1,906.0,1.0752757,first_positive_qd,,906.0,1,,906.0,1,,906.0,1,905,1.0,0,0.96101874,native,0
b1c11,b1,788.0,1.0537786,first_positive_qd,,788.0,1,773.0,773.0,0,,788.0,1,787,1.0,0,0.88054359,native,1
b1c12,b1,902.0,1.077566,first_positive_qd,,902.0,1,899.0,899.0,0,,902.0,1,901,1.0,0,0.91311944,native,0
b1c13,b1,897.0,1.0797893,first_positive_qd,,897.0,1,,897.0,1,,897.0,1,896,1.0,0,0.92313582,native,0
b1c14,b1,880.0,1.0709661,first_positive_qd,,880.0,1,846.0,846.0,0,,880.0,1,879,1.0,0,0.8800649,native,1
b1c15,b1,719.0,1.0611236,first_positive_qd,,719.0,1,701.0,701.0,0,,719.0,1,718,1.0,0,0.88298881,native,1
b1c16,b1,862.0,1.0811664,first_positive_qd,,862.0,1,826.0,826.0,0,,862.0,1,861,1.0,0,0.88096577,native,1
b1c17,b1,857.0,1.072052,first_positive_qd,,857.0,1,826.0,826.0,0,,857.0,1,856,1.0,0,0.8832469,native,1
b1c18,b1,691.0,1.0661705,first_positive_qd,,691.0,1,666.0,666.0,0,,691.0,1,690,1.0,0,0.88114411,native,1
b1c19,b1,788.0,1.0851147,first_positive_qd,,788.0,1,743.0,743.0,0,,788.0,1,787,1.0,0,0.88093972,native,1
b1c2,b1,2237.0,1.0799223,first_positive_qd,1976.0,1976.0,0,1946.0,1946.0,0,1967.0,1967.0,0,1995,242.0,1,0.82610458,continued_from_b2c9,1
b1c20,b1,534.0,1.07263,first_positive_qd,,534.0,1,505.0,505.0,0,,534.0,1,533,1.0,0,0.88078493,native,1
b1c21,b1,559.0,1.0824388,first_positive_qd,,559.0,1,536.0,536.0,0,,559.0,1,558,1.0,0,0.88016534,native,1
b1c22,b1,891.0,1.0793039,first_positive_qd,,891.0,1,,891.0,1,,891.0,1,890,1.0,0,0.96327895,native,0
b1c23,b1,1014.0,1.0792934,first_positive_qd,,1014.0,1,976.0,976.0,0,,1014.0,1,1013,1.0,0,0.88066453,native,1
b1c24,b1,1017.0,1.0745355,first_positive_qd,,1017.0,1,979.0,979.0,0,,1017.0,1,1016,1.0,0,0.88046598,native,1
b1c25,b1,854.0,1.0752345,first_positive_qd,,854.0,1,819.0,819.0,0,,854.0,1,853,1.0,0,0.88019997,native,1
b1c26,b1,870.0,1.0876514,first_positive_qd,,870.0,1,827.0,827.0,0,,870.0,1,869,1.0,0,0.88105017,native,1
b1c27,b1,842.0,1.0790461,first_positive_qd,,842.0,1,811.0,811.0,0,,842.0,1,841,1.0,0,0.88130057,native,1
b1c28,b1,860.0,1.0777475,first_positive_qd,,860.0,1,818.0,818.0,0,,860.0,1,859,1.0,0,0.88058227,native,1
b1c29,b1,917.0,1.0794537,first_positive_qd,,917.0,1,873.0,873.0,0,,917.0,1,916,1.0,0,0.88035375,native,1
b1c3,b1,1434.0,1.0797229,first_positive_qd,1626.0,1626.0,0,1607.0,1607.0,0,1621.0,1621.0,0,1639,-205.0,0,0.82608759,continued_from_b2c15,1
b1c30,b1,709.0,1.0798637,first_positive_qd,,709.0,1,680.0,680.0,0,,709.0,1,708,1.0,0,0.88054287,native,1
b1c31,b1,876.0,1.0946392,first_positive_qd,,876.0,1,829.0,829.0,0,,876.0,1,875,1.0,0,0.88099223,native,1
b1c32,b1,731.0,1.0778366,first_positive_qd,,731.0,1,695.0,695.0,0,,731.0,1,730,1.0,0,0.88080907,native,1
b1c33,b1,757.0,1.0924908,first_positive_qd,,757.0,1,709.0,709.0,0,,757.0,1,756,1.0,0,0.88011229,native,1
b1c34,b1,742.0,1.0766174,first_positive_qd,,742.0,1,715.0,715.0,0,,742.0,1,741,1.0,0,0.88205445,native,1
b1c35,b1,703.0,1.0707464,first_positive_qd,,703.0,1,676.0,676.0,0,,703.0,1,702,1.0,0,0.8802399,native,1
b1c36,b1,704.0,1.0778315,first_positive_qd,,704.0,1,671.0,671.0,0,,704.0,1,703,1.0,0,0.88231802,native,1
b1c37,b1,648.0,1.0748194,first_positive_qd,,648.0,1,623.0,623.0,0,,648.0,1,647,1.0,0,0.88336319,native,1
b1c38,b1,617.0,1.0729513,first_positive_qd,,617.0,1,593.0,593.0,0,,617.0,1,616,1.0,0,0.88110942,native,1
b1c39,b1,625.0,1.0817773,first_positive_qd,,625.0,1,593.0,593.0,0,,625.0,1,624,1.0,0,0.88011074,native,1
b1c4,b1,1709.0,1.0784167,first_positive_qd,1708.0,1708.0,0,1681.0,1681.0,0,1698.0,1698.0,0,1725,-16.0,0,0.82648873,continued_from_b2c16,1
b1c40,b1,966.0,1.0833029,first_positive_qd,,966.0,1,921.0,921.0,0,,966.0,1,965,1.0,0,0.88060951,native,1
b1c41,b1,1051.0,1.0789614,first_positive_qd,,1051.0,1,1007.0,1007.0,0,,1051.0,1,1050,1.0,0,0.88106161,native,1
b1c42,b1,702.0,1.0798725,first_positive_qd,,702.0,1,663.0,663.0,0,,702.0,1,701,1.0,0,0.88035142,native,1
b1c43,b1,651.0,1.0682389,first_positive_qd,,651.0,1,627.0,627.0,0,,651.0,1,650,1.0,0,0.88044435,native,1
b1c44,b1,616.0,1.0847682,first_positive_qd,,616.0,1,576.0,576.0,0,,616.0,1,615,1.0,0,0.88048309,native,1
b1c45,b1,599.0,1.0839558,first_positive_qd,,599.0,1,564.0,564.0,0,,599.0,1,598,1.0,0,0.88104212,native,1
b1c5,b1,1074.0,1.0761266,first_positive_qd,,1074.0,1,909.0,909.0,0,,1074.0,1,1073,1.0,0,0.88053626,native,1
b1c6,b1,636.0,1.0758358,first_positive_qd,,636.0,1,614.0,614.0,0,,636.0,1,635,1.0,0,0.8800565,native,1
b1c7,b1,870.0,1.0938644,first_positive_qd,,870.0,1,820.0,820.0,0,,870.0,1,869,1.0,0,0.88110596,native,1
b1c8,b1,879.0,1.0899748,first_positive_qd,,879.0,1,,879.0,1,,879.0,1,878,1.0,0,0.96902454,native,0
b1c9,b1,1054.0,1.0829742,first_positive_qd,,1054.0,1,1014.0,1014.0,0,,1054.0,1,1053,1.0,0,0.8809284,native,1
b2c0,b2,477.0,1.1000807,first_positive_qd,477.0,477.0,0,453.0,453.0,0,477.0,477.0,0,496,-19.0,0,0.82661337,native,1
b2c1,b2,491.0,1.1072116,first_positive_qd,489.0,489.0,0,461.0,461.0,0,491.0,491.0,0,513,-22.0,0,0.82848173,native,1
b2c10,b2,492.0,1.1081897,first_positive_qd,491.0,491.0,0,461.0,461.0,0,492.0,492.0,0,519,-27.0,0,0.82791102,native,1
b2c11,b2,449.0,1.0964632,first_positive_qd,450.0,450.0,0,430.0,430.0,0,449.0,449.0,0,468,-19.0,0,0.82524824,native,1
b2c12,b2,466.0,1.1009463,first_positive_qd,466.0,466.0,0,436.0,436.0,0,466.0,466.0,0,493,-27.0,0,0.82528538,native,1
b2c13,b2,460.0,1.0958186,first_positive_qd,462.0,462.0,0,436.0,436.0,0,460.0,460.0,0,483,-23.0,0,0.82574999,native,1
b2c14,b2,426.0,1.0838536,first_positive_qd,433.0,433.0,0,404.0,404.0,0,426.0,426.0,0,461,-35.0,0,0.82618046,native,1
b2c15,b2,396.0,1.0686641,first_positive_qd,404.0,404.0,0,385.0,385.0,0,396.0,396.0,0,414,-18.0,0,0.82608759,native,1
b2c16,b2,472.0,1.0956542,first_positive_qd,475.0,475.0,0,447.0,447.0,0,472.0,472.0,0,499,-27.0,0,0.82648873,native,1
b2c17,b2,471.0,1.0892786,first_positive_qd,475.0,475.0,0,448.0,448.0,0,471.0,471.0,0,494,-23.0,0,0.8272146,native,1
b2c18,b2,449.0,1.075542,first_positive_qd,457.0,457.0,0,437.0,437.0,0,449.0,449.0,0,467,-18.0,0,0.82719898,native,1
b2c19,b2,392.0,1.0912853,first_positive_qd,396.0,396.0,0,375.0,375.0,0,392.0,392.0,0,411,-19.0,0,0.82597393,native,1
b2c2,b2,424.0,1.0739638,first_positive_qd,430.0,430.0,0,415.0,415.0,0,424.0,424.0,0,439,-15.0,0,0.82700932,native,1
