institution_code,form_factor,cathode,temperature,soc_window,charge_discharge_rate,replicate_letter,source_base,source_file,source_folder,cell_id,parse_status,n_cycles,q0,cycle_life,is_censored,last_cycle,last_qdis,min_qdis,missing_qdis_cycles,n_qdis_outliers_cleaned,n_qcharge_outliers_cleaned,cycle_index_min_raw,cycle_index_max_raw,columns,cycle_life_0p9,cycle_life_0p85,cycle_life_0p8,error_message
SNL,18650,LFP,15C,0-100,0.5-1C,a,SNL_18650_LFP_15C_0-100_0.5-1C_a,/content/drive/MyDrive/SandiaNationalLab/SNL LFP/SNL_18650_LFP_15C_0-100_0.5-1C_a_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL LFP,sandia_SNL_18650_LFP_15C_0_100_0_5_1C_a,ok,4551.0,1.033,,1.0,4551.0,0.947,0.924,0.0,11.0,12.0,1.0,4551.0,"{""cycle"": ""Cycle_Index"", ""current"": ""Current (A)"", ""q_discharge"": ""Discharge_Capacity (Ah)"", ""q_charge"": ""Charge_Capacity (Ah)"", ""voltage"": ""Voltage (V)"", ""temperature"": ""Cell_Temperature (C)""}",4338.0,,,
SNL,18650,LFP,15C,0-100,0.5-1C,b,SNL_18650_LFP_15C_0-100_0.5-1C_b,/content/drive/MyDrive/SandiaNationalLab/SNL LFP/SNL_18650_LFP_15C_0-100_0.5-1C_b_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL LFP,sandia_SNL_18650_LFP_15C_0_100_0_5_1C_b,ok,3553.0,1.0430000000000001,,1.0,3553.0,0.972,0.969,0.0,9.0,10.0,1.0,3553.0,"{""cycle"": ""Cycle_Index"", ""current"": ""Current (A)"", ""q_discharge"": ""Discharge_Capacity (Ah)"", ""q_charge"": ""Charge_Capacity (Ah)"", ""voltage"": ""Voltage (V)"", ""temperature"": ""Cell_Temperature (C)""}",,,,
SNL,18650,LFP,15C,0-100,0.5-2C,a,SNL_18650_LFP_15C_0-100_0.5-2C_a,/content/drive/MyDrive/SandiaNationalLab/SNL LFP/SNL_18650_LFP_15C_0-100_0.5-2C_a_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL LFP,sandia_SNL_18650_LFP_15C_0_100_0_5_2C_a,ok,3761.0,1.03275,,1.0,3761.0,0.942,0.92,0.0,10.0,11.0,1.0,3761.0,"{""cycle"": ""Cycle_Index"", ""current"": ""Current (A)"", ""q_discharge"": ""Discharge_Capacity (Ah)"", ""q_charge"": ""Charge_Capacity (Ah)"", ""voltage"": ""Voltage (V)"", ""temperature"": ""Cell_Temperature (C)""}",3510.0,,,
SNL,18650,LFP,15C,0-100,0.5-2C,b,SNL_18650_LFP_15C_0-100_0.5-2C_b,/content/drive/MyDrive/SandiaNationalLab/SNL LFP/SNL_18650_LFP_15C_0-100_0.5-2C_b_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL LFP,sandia_SNL_18650_LFP_15C_0_100_0_5_2C_b,ok,3754.0,1.03125,,1.0,3754.0,0.933,0.913,0.0,9.0,12.0,1.0,3754.0,"{""cycle"": ""Cycle_Index"", ""current"": ""Current (A)"", ""q_discharge"": ""Discharge_Capacity (Ah)"", ""q_charge"": ""Charge_Capacity (Ah)"", ""voltage"": ""Voltage (V)"", ""temperature"": ""Cell_Temperature (C)""}",3398.0,,,
SNL,18650,LFP,25C,0-100,0.5-0.5C,a,SNL_18650_LFP_25C_0-100_0.5-0.5C_a,/content/drive/MyDrive/SandiaNationalLab/SNL LFP/SNL_18650_LFP_25C_0-100_0.5-0.5C_a_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL LFP,sandia_SNL_18650_LFP_25C_0_100_0_5_0_5C_a,ok,3050.0,1.07,,1.0,3050.0,0.964,0.962,0.0,8.0,10.0,1.0,3050.0,"{""cycle"": ""Cycle_Index"", ""current"": ""Current (A)"", ""q_discharge"": ""Discharge_Capacity (Ah)"", ""q_charge"": ""Charge_Capacity (Ah)"", ""voltage"": ""Voltage (V)"", ""temperature"": ""Cell_Temperature (C)""}",2888.0,,,
SNL,18650,LFP,25C,0-100,0.5-1C,a,SNL_18650_LFP_25C_0-100_0.5-1C_a,/content/drive/MyDrive/SandiaNationalLab/SNL LFP/SNL_18650_LFP_25C_0-100_0.5-1C_a_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL LFP,sandia_SNL_18650_LFP_25C_0_100_0_5_1C_a,ok,3545.0,1.03375,,1.0,3545.0,0.944,0.936,0.0,9.0,10.0,1.0,3545.0,"{""cycle"": ""Cycle_Index"", ""current"": ""Current (A)"", ""q_discharge"": ""Discharge_Capacity (Ah)"", ""q_charge"": ""Charge_Capacity (Ah)"", ""voltage"": ""Voltage (V)"", ""temperature"": ""Cell_Temperature (C)""}",,,,
SNL,18650,LFP,25C,0-100,0.5-1C,b,SNL_18650_LFP_25C_0-100_0.5-1C_b,/content/drive/MyDrive/SandiaNationalLab/SNL LFP/SNL_18650_LFP_25C_0-100_0.5-1C_b_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL LFP,sandia_SNL_18650_LFP_25C_0_100_0_5_1C_b,ok,3636.0,1.0379999999999998,,1.0,3636.0,0.943,0.94,0.0,9.0,9.0,1.0,3636.0,"{""cycle"": ""Cycle_Index"", ""current"": ""Current (A)"", ""q_discharge"": ""Discharge_Capacity (Ah)"", ""q_charge"": ""Charge_Capacity (Ah)"", ""voltage"": ""Voltage (V)"", ""temperature"": ""Cell_Temperature (C)""}",,,,
SNL,18650,LFP,25C,0-100,0.5-1C,c,SNL_18650_LFP_25C_0-100_0.5-1C_c,/content/drive/MyDrive/SandiaNationalLab/SNL LFP/SNL_18650_LFP_25C_0-100_0.5-1C_c_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL LFP,sandia_SNL_18650_LFP_25C_0_100_0_5_1C_c,ok,3038.0,1.05175,,1.0,3038.0,0.973,0.969,0.0,8.0,8.0,1.0,3038.0,"{""cycle"": ""Cycle_Index"", ""current"": ""Current (A)"", ""q_discharge"": ""Discharge_Capacity (Ah)"", ""q_charge"": ""Charge_Capacity (Ah)"", ""voltage"": ""Voltage (V)"", ""temperature"": ""Cell_Temperature (C)""}",,,,
SNL,18650,LFP,25C,0-100,0.5-1C,d,SNL_18650_LFP_25C_0-100_0.5-1C_d,/content/drive/MyDrive/SandiaNationalLab/SNL LFP/SNL_18650_LFP_25C_0-100_0.5-1C_d_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL LFP,sandia_SNL_18650_LFP_25C_0_100_0_5_1C_d,ok,3038.0,1.0507499999999999,,1.0,3038.0,0.973,0.968,0.0,8.0,8.0,1.0,3038.0,"{""cycle"": ""Cycle_Index"", ""current"": ""Current (A)"", ""q_discharge"": ""Discharge_Capacity (Ah)"", ""q_charge"": ""Charge_Capacity (Ah)"", ""voltage"": ""Voltage (V)"", ""temperature"": ""Cell_Temperature (C)""}",,,,
SNL,18650,LFP,25C,0-100,0.5-2C,a,SNL_18650_LFP_25C_0-100_0.5-2C_a,/content/drive/MyDrive/SandiaNationalLab/SNL LFP/SNL_18650_LFP_25C_0-100_0.5-2C_a_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL LFP,sandia_SNL_18650_LFP_25C_0_100_0_5_2C_a,ok,3544.0,1.03675,,1.0,3544.0,0.95,0.939,0.0,9.0,9.0,1.0,3544.0,"{""cycle"": ""Cycle_Index"", ""current"": ""Current (A)"", ""q_discharge"": ""Discharge_Capacity (Ah)"", ""q_charge"": ""Charge_Capacity (Ah)"", ""voltage"": ""Voltage (V)"", ""temperature"": ""Cell_Temperature (C)""}",,,,
SNL,18650,LFP,25C,0-100,0.5-2C,b,SNL_18650_LFP_25C_0-100_0.5-2C_b,/content/drive/MyDrive/SandiaNationalLab/SNL LFP/SNL_18650_LFP_25C_0-100_0.5-2C_b_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL LFP,sandia_SNL_18650_LFP_25C_0_100_0_5_2C_b,ok,4050.0,1.03225,,1.0,4050.0,0.94,0.88,0.0,9.0,9.0,1.0,4050.0,"{""cycle"": ""Cycle_Index"", ""current"": ""Current (A)"", ""q_discharge"": ""Discharge_Capacity (Ah)"", ""q_charge"": ""Charge_Capacity (Ah)"", ""voltage"": ""Voltage (V)"", ""temperature"": ""Cell_Temperature (C)""}",2787.0,,,
SNL,18650,LFP,25C,0-100,0.5-3C,a,SNL_18650_LFP_25C_0-100_0.5-3C_a,/content/drive/MyDrive/SandiaNationalLab/SNL LFP/SNL_18650_LFP_25C_0-100_0.5-3C_a_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL LFP,sandia_SNL_18650_LFP_25C_0_100_0_5_3C_a,ok,4569.0,1.037,3183.0,0.0,4569.0,0.82,0.788,0.0,11.0,14.0,1.0,4569.0,"{""cycle"": ""Cycle_Index"", ""current"": ""Current (A)"", ""q_discharge"": ""Discharge_Capacity (Ah)"", ""q_charge"": ""Charge_Capacity (Ah)"", ""voltage"": ""Voltage (V)"", ""temperature"": ""Cell_Temperature (C)""}",2283.0,3183.0,4008.0,
SNL,18650,LFP,25C,0-100,0.5-3C,b,SNL_18650_LFP_25C_0-100_0.5-3C_b,/content/drive/MyDrive/SandiaNationalLab/SNL LFP/SNL_18650_LFP_25C_0-100_0.5-3C_b_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL LFP,sandia_SNL_18650_LFP_25C_0_100_0_5_3C_b,ok,4062.0,1.0477500000000002,1610.0,0.0,4062.0,0.846,0.797,0.0,10.0,12.0,1.0,4062.0,"{""cycle"": ""Cycle_Index"", ""current"": ""Current (A)"", ""q_discharge"": ""Discharge_Capacity (Ah)"", ""q_charge"": ""Charge_Capacity (Ah)"", ""voltage"": ""Voltage (V)"", ""temperature"": ""Cell_Temperature (C)""}",1610.0,1610.0,3487.0,
