dataset,time,n_at_risk,n_events,n_censored_at_time,survival,greenwood_se
hust,0.0,77,0,0,1.0,0.0
hust,829.0,77,1,0,0.987012987012987,0.012902406138576676
hust,931.0,76,1,0,0.974025974025974,0.018126315786983198
hust,1062.0,75,1,0,0.961038961038961,0.0220516148962829
hust,1063.0,74,1,0,0.948051948051948,0.02529037901531666
hust,1089.0,73,2,0,0.922077922077922,0.0305470103314023
hust,1092.0,71,1,0,0.9090909090909091,0.03276136227983851
hust,1093.0,70,1,0,0.8961038961038961,0.03477230266109401
hust,1148.0,69,1,0,0.8831168831168831,0.03661336316098946
hust,1162.0,68,1,0,0.8701298701298701,0.03830904393537052
hust,1165.0,67,1,0,0.8571428571428571,0.03987789473136304
hust,1171.0,66,1,0,0.8441558441558441,0.041334359615809564
hust,1192.0,65,1,0,0.8311688311688311,0.042689943044847696
hust,1198.0,64,1,0,0.8181818181818181,0.04395397985592983
hust,1204.0,63,1,0,0.8051948051948051,0.04513416232587578
hust,1213.0,62,1,0,0.7922077922077921,0.046236911966754425
hust,1220.0,61,1,0,0.7792207792207791,0.04726764859038544
hust,1242.0,60,1,0,0.7662337662337662,0.04823098935318255
hust,1255.0,59,1,0,0.7532467532467532,0.049130898835552814
hust,1297.0,58,1,0,0.7402597402597402,0.0499708041007118
hust,1308.0,57,1,0,0.7272727272727272,0.050753684203552946
hust,1321.0,56,1,0,0.7142857142857142,0.05148214072546051
hust,1332.0,55,1,0,0.7012987012987012,0.05215845399164101
hust,1351.0,54,1,0,0.6883116883116882,0.05278462832681518
hust,1360.0,53,1,0,0.6753246753246752,0.05336242880605962
hust,1367.0,52,1,0,0.6623376623376622,0.05389341132497939
hust,1375.0,51,1,0,0.6493506493506492,0.054378947360949594
hust,1378.0,50,1,0,0.6363636363636362,0.05482024446868428
hust,1381.0,49,1,0,0.6233766233766233,0.0552183633115612
hust,1389.0,48,1,0,0.6103896103896103,0.055574231849740405
hust,1396.0,47,1,0,0.5974025974025973,0.05588865716985609
hust,1413.0,46,1,0,0.5844155844155843,0.056162335336866
hust,1435.0,45,1,0,0.5714285714285713,0.05639585956798018
hust,1437.0,44,1,0,0.5584415584415583,0.05658972696534214
hust,1453.0,43,1,0,0.5454545454545453,0.05674434399385083
hust,1477.0,42,1,0,0.5324675324675323,0.05686003084991119
hust,1489.0,41,1,0,0.5194805194805193,0.056937024833522025
hust,1496.0,40,1,0,0.5064935064935063,0.05697548280807482
hust,1513.0,39,1,0,0.49350649350649334,0.05697548280807482
hust,1517.0,38,1,0,0.48051948051948035,0.05693702483352202
hust,1520.0,37,1,0,0.4675324675324674,0.05686003084991119
hust,1526.0,36,1,0,0.4545454545454544,0.05674434399385083
hust,1528.0,35,1,0,0.44155844155844143,0.056589726965342146
hust,1538.0,34,1,0,0.42857142857142844,0.05639585956798018
hust,1564.0,33,1,0,0.41558441558441545,0.056162335336866
hust,1566.0,32,1,0,0.40259740259740245,0.05588865716985608
hust,1571.0,31,1,0,0.38961038961038946,0.05557423184974039
hust,1574.0,30,1,0,0.37662337662337647,0.05521836331156119
hust,1579.0,29,1,0,0.3636363636363635,0.054820244468684276
hust,1589.0,28,1,0,0.3506493506493505,0.05437894736094957
hust,1593.0,27,1,0,0.33766233766233755,0.05389341132497938
hust,1617.0,26,1,0,0.32467532467532456,0.053362428806059604
hust,1637.0,25,1,0,0.31168831168831157,0.052784628326815165
hust,1647.0,24,1,0,0.2987012987012986,0.052158453991641
hust,1657.0,23,1,0,0.2857142857142856,0.05148214072546049
hust,1659.0,22,1,0,0.2727272727272726,0.05075368420355293
hust,1679.0,21,1,0,0.2597402597402596,0.04997080410071179
hust,1686.0,20,1,0,0.2467532467532466,0.0491308988355528
hust,1700.0,19,1,0,0.23376623376623365,0.04823098935318254
hust,1719.0,18,1,0,0.22077922077922066,0.047267648590385423
hust,1733.0,17,1,0,0.20779220779220767,0.04623691196675441
hust,1746.0,16,1,0,0.19480519480519468,0.04513416232587576
hust,1762.0,15,1,0,0.1818181818181817,0.04395397985592981
hust,1773.0,14,1,0,0.16883116883116875,0.042689943044847675
hust,1789.0,13,1,0,0.15584415584415579,0.04133435961580955
hust,1807.0,12,1,0,0.1428571428571428,0.039877894731363016
hust,1832.0,11,1,0,0.1298701298701298,0.038309043935370504
hust,1839.0,10,1,0,0.11688311688311682,0.03661336316098945
hust,1844.0,9,1,0,0.10389610389610383,0.03477230266109399
hust,1856.0,8,1,0,0.09090909090909086,0.03276136227983849
hust,1870.0,7,1,0,0.07792207792207788,0.03054701033140229
hust,1879.0,6,1,0,0.0649350649350649,0.02808116766843299
hust,1924.0,5,1,0,0.051948051948051924,0.02529037901531665
hust,1966.0,4,1,0,0.038961038961038946,0.022051614896282885
hust,1979.0,3,1,0,0.025974025974025965,0.01812631578698319
hust,2021.0,2,1,0,0.012987012987012983,0.012902406138576671
hust,2024.0,1,1,0,0.0,0.0
matr,0.0,135,0,0,1.0,0.0
matr,133.0,135,1,0,0.9925925925925926,0.007379921570850994
matr,247.0,134,1,0,0.9851851851851852,0.010397769018833748
matr,250.0,133,1,0,0.9777777777777777,0.012686649460410003
matr,251.0,132,1,0,0.9703703703703703,0.014593685767441317
matr,278.0,131,1,0,0.9629629629629629,0.01625384169393539
matr,314.0,130,1,0,0.9555555555555555,0.017736577773894292
matr,416.0,129,1,0,0.9481481481481481,0.019083294480578685
matr,417.0,128,1,0,0.9407407407407407,0.020321052657792216
matr,422.0,127,1,0,0.9333333333333332,0.021468706290651018
matr,435.0,126,1,0,0.9259259259259258,0.02254002294259943
matr,442.0,125,2,0,0.911111111111111,0.024493030652122945
matr,443.0,123,1,0,0.9037037037037036,0.025389312364459383
matr,444.0,122,1,0,0.8962962962962961,0.026239529910795686
matr,446.0,121,1,0,0.8888888888888887,0.02704802753111931
matr,449.0,120,1,0,0.8814814814814813,0.027818443027855282
matr,450.0,119,1,0,0.8740740740740739,0.028553859064040142
matr,451.0,118,1,0,0.8666666666666665,0.029256915049083693
matr,453.0,117,1,0,0.8592592592592591,0.02992989149186358
matr,454.0,116,1,0,0.8518518518518516,0.030574774684784704
matr,455.0,115,1,0,0.8444444444444442,0.031193307056501245
matr,461.0,114,1,0,0.8370370370370368,0.03178702689781138
matr,464.0,113,1,0,0.8296296296296294,0.03235730008310943
matr,466.0,112,2,0,0.8148148148148145,0.03343225680920147
matr,468.0,110,2,0,0.7999999999999997,0.0344265186329548
matr,470.0,108,1,0,0.7925925925925923,0.03489556639141096
matr,474.0,107,1,0,0.7851851851851849,0.0353468957357609
matr,475.0,106,2,0,0.77037037037037,0.036199024217029675
matr,476.0,104,2,0,0.7555555555555552,0.036987621355207896
matr,478.0,102,1,0,0.7481481481481478,0.0373593655837407
matr,481.0,101,1,0,0.7407407407407404,0.0377166723864678
matr,483.0,100,1,0,0.733333333333333,0.038059948381229995
matr,490.0,99,1,0,0.7259259259259255,0.03838956995644567
matr,491.0,98,1,0,0.7185185185185181,0.03870588595917907
matr,499.0,97,1,0,0.7111111111111107,0.03900922006544492
matr,500.0,96,1,0,0.7037037037037033,0.03929987287675166
matr,502.0,95,1,0,0.6962962962962959,0.03957812377979237
matr,504.0,94,1,0,0.6888888888888884,0.0398442326003838
matr,513.0,93,1,0,0.681481481481481,0.04009844107797214
matr,524.0,92,1,0,0.6740740740740736,0.04034097418306745
matr,535.0,91,1,0,0.6666666666666662,0.04057204129667895
matr,563.0,90,1,0,0.6592592592592588,0.04079183726807514
matr,575.0,89,1,0,0.6518518518518513,0.041000543364887516
matr,592.0,88,2,0,0.6370370370370365,0.04138534813908666
