dataset,cell_id,n_cycles_observed,q0,cycle_life_0p85,cycle_life,is_censored,capacity_median_ah,capacity_sanity_flag,eligible_N100
umich,um_internal_0620_bl_form_cycling_cell_11_001,419,2.21999318705,316.0,316.0,0,2.1762935298,0,1
umich,um_internal_0620_bl_form_cycling_cell_12_002,413,2.2052960159,293.0,293.0,0,2.1567280685,0,1
umich,um_internal_0620_bl_form_cycling_cell_13_003,396,2.2200163051,285.0,285.0,0,2.1769123026,0,1
umich,um_internal_0620_bl_form_cycling_cell_14_004,459,2.2132880318500003,328.0,328.0,0,2.1432127031,0,1
umich,um_internal_0620_bl_form_cycling_cell_15_005,387,2.2171228363999997,297.0,297.0,0,2.179262398,0,1
umich,um_internal_0620_bl_form_cycling_cell_16_006,402,2.2036405409,310.0,310.0,0,2.16135283925,0,1
umich,um_internal_0620_bl_form_cycling_cell_17_007,359,2.2105199668499997,270.0,270.0,0,2.1783738566,0,1
umich,um_internal_0620_bl_form_cycling_cell_18_008,373,2.20679694225,277.0,277.0,0,2.1723170846,0,1
umich,um_internal_0620_bl_form_cycling_cell_19_010,404,2.2059181097,297.0,297.0,0,2.1709906762999998,0,1
umich,um_internal_0620_bl_form_cycling_cell_20_011,374,2.2252992877,273.0,273.0,0,2.1904243623,0,1
umich,um_internal_0620_bl_form_ht_cycling_cell_10_031,409,2.35036808405,309.0,309.0,0,2.2437719217,0,1
umich,um_internal_0620_bl_form_ht_cycling_cell_1_022,377,2.3610528566499998,298.0,298.0,0,2.2648845456,0,1
umich,um_internal_0620_bl_form_ht_cycling_cell_2_023,375,2.3588374840000004,287.0,287.0,0,2.2646473407,0,1
umich,um_internal_0620_bl_form_ht_cycling_cell_3_024,495,2.3573464741,333.0,333.0,0,2.1898814577,0,1
umich,um_internal_0620_bl_form_ht_cycling_cell_4_025,368,2.3404999602,288.0,288.0,0,2.242517902,0,1
umich,um_internal_0620_bl_form_ht_cycling_cell_5_026,384,2.3653285706,302.0,302.0,0,2.2642326202,0,1
umich,um_internal_0620_bl_form_ht_cycling_cell_6_027,407,2.345302277,306.0,306.0,0,2.234739698,0,1
umich,um_internal_0620_bl_form_ht_cycling_cell_7_028,397,2.3606347364999998,306.0,306.0,0,2.254153869,0,1
umich,um_internal_0620_bl_form_ht_cycling_cell_8_029,389,2.3652396628499996,310.0,310.0,0,2.2667146779,0,1
umich,um_internal_0620_bl_form_ht_cycling_cell_9_030,243,2.1840287868,198.0,198.0,0,2.1828305833,0,1
umich,um_internal_0620_micro_form_cycling_cell_21_012,478,2.2255395149,362.0,362.0,0,2.1517739613,0,1
umich,um_internal_0620_micro_form_cycling_cell_22_013,399,2.22347900805,304.0,304.0,0,2.1706977056,0,1
umich,um_internal_0620_micro_form_cycling_cell_23_014,524,2.21894330765,394.0,394.0,0,2.14607646445,0,1
umich,um_internal_0620_micro_form_cycling_cell_24_015,448,2.21089843595,332.0,332.0,0,2.1513067903,0,1
umich,um_internal_0620_micro_form_cycling_cell_25_016,561,2.21099722325,410.0,410.0,0,2.1222647182,0,1
umich,um_internal_0620_micro_form_cycling_cell_26_017,578,2.2143217494,417.0,417.0,0,2.1300462738,0,1
umich,um_internal_0620_micro_form_cycling_cell_27_018,536,2.21301499265,384.0,384.0,0,2.13352216965,0,1
umich,um_internal_0620_micro_form_cycling_cell_28_019,551,2.2054244992000003,384.0,384.0,0,2.1125215771,0,1
umich,um_internal_0620_micro_form_cycling_cell_29_020,488,2.19924283125,360.0,360.0,0,2.1289500209999996,0,1
umich,um_internal_0620_micro_form_cycling_cell_30_021,540,2.2051181675500002,378.0,378.0,0,2.1265041765,0,1
umich,um_internal_0620_micro_form_ht_cycling_cell_31_032,470,2.3457236324500004,344.0,344.0,0,2.20427240635,0,1
umich,um_internal_0620_micro_form_ht_cycling_cell_32_033,480,2.3502299876,358.0,358.0,0,2.2189004407999997,0,1
umich,um_internal_0620_micro_form_ht_cycling_cell_33_034,474,2.34861366,368.0,368.0,0,2.22644138755,0,1
umich,um_internal_0620_micro_form_ht_cycling_cell_34_035,578,2.3541435973500002,413.0,413.0,0,2.18972670585,0,1
umich,um_internal_0620_micro_form_ht_cycling_cell_35_036,436,2.3499171696,326.0,326.0,0,2.2199504497,0,1
umich,um_internal_0620_micro_form_ht_cycling_cell_36_037,506,2.34496657465,360.0,360.0,0,2.200240191,0,1
umich,um_internal_0620_micro_form_ht_cycling_cell_37_038,524,2.3470896915,378.0,378.0,0,2.1847794109,0,1
umich,um_internal_0620_micro_form_ht_cycling_cell_38_039,450,2.3525175578499997,342.0,342.0,0,2.2374487697500003,0,1
umich,um_internal_0620_micro_form_ht_cycling_cell_39_040,507,2.3539594178,370.0,370.0,0,2.2034166544,0,1
umich,um_internal_0620_micro_form_ht_cycling_cell_40_041,533,2.3485117272,369.0,369.0,0,2.1871693022,0,1
