source_file,cell_id,parse_status,cycle_col,qdis_col,cell_col,capacity_unit_action,total_cycle_time_col,n_points,q0_prelim,partial_cycle_q_threshold_ah,long_cycle_time_threshold_s,n_low_q_dropped,n_long_time_dropped,n_cycles_raw,n_cycles_kept,n_cycles_dropped,raw_cycle_min,raw_cycle_max,qdis_median_ah
data/2020-10-aging-test-cycles/UM_Internal_0620_-_BL_Form_-_HT-_Cycling_Cell_9.030.csv,um_internal_0620_bl_form_ht_cycling_cell_9_030,ok,Cycle Number,Discharge Capacity (Ah),derived_from_filename,Ah,Total Cycle Time (s),243,2.31944999135,1.159724995675,23319.124999999985,385,13,641,243,398,4.0,254.0,2.1828305833
data/2020-10-aging-test-cycles/UM_Internal_0620_-_Micro_Form_-_Cycling_Cell_28.019.csv,um_internal_0620_micro_form_cycling_cell_28_019,ok,Cycle Number,Discharge Capacity (Ah),derived_from_filename,Ah,Total Cycle Time (s),551,2.40106131305,1.200530656525,25144.899999999998,51,28,630,551,79,4.0,586.0,2.1125215771
data/2020-10-aging-test-cycles/UM_Internal_0620_-_Micro_Form_-_Cycling_Cell_25.016.csv,um_internal_0620_micro_form_cycling_cell_25_016,ok,Cycle Number,Discharge Capacity (Ah),derived_from_filename,Ah,Total Cycle Time (s),561,2.4117112136000003,1.2058556068000001,25211.5375,41,27,629,561,68,4.0,628.0,2.1222647182
data/2020-10-aging-test-cycles/UM_Internal_0620_-_Micro_Form_-_Cycling_Cell_26.017.csv,um_internal_0620_micro_form_cycling_cell_26_017,ok,Cycle Number,Discharge Capacity (Ah),derived_from_filename,Ah,Total Cycle Time (s),578,2.4068760856,1.2034380428,25602.312499999876,24,26,628,578,50,4.0,612.0,2.1300462738
data/2020-10-aging-test-cycles/UM_Internal_0620_-_Micro_Form_-_HT-_Cycling_Cell_34.035.csv,um_internal_0620_micro_form_ht_cycling_cell_34_035,ok,Cycle Number,Discharge Capacity (Ah),derived_from_filename,Ah,Total Cycle Time (s),578,2.4769383437999997,1.2384691718999998,23913.512500000073,13,23,614,578,36,4.0,608.0,2.18972670585
data/2020-10-aging-test-cycles/UM_Internal_0620_-_Micro_Form_-_Cycling_Cell_29.020.csv,um_internal_0620_micro_form_cycling_cell_29_020,ok,Cycle Number,Discharge Capacity (Ah),derived_from_filename,Ah,Total Cycle Time (s),488,2.3980477816,1.1990238908,25270.9,76,26,590,488,102,4.0,515.0,2.1289500209999996
data/2020-10-aging-test-cycles/UM_Internal_0620_-_Micro_Form_-_Cycling_Cell_27.018.csv,um_internal_0620_micro_form_cycling_cell_27_018,ok,Cycle Number,Discharge Capacity (Ah),derived_from_filename,Ah,Total Cycle Time (s),536,2.4005041098,1.2002520549,25795.574999999997,17,23,576,536,40,4.0,566.0,2.13352216965
data/2020-10-aging-test-cycles/UM_Internal_0620_-_Micro_Form_-_Cycling_Cell_30.021.csv,um_internal_0620_micro_form_cycling_cell_30_021,ok,Cycle Number,Discharge Capacity (Ah),derived_from_filename,Ah,Total Cycle Time (s),540,2.3985231084,1.1992615542,25539.700000000124,12,25,577,540,37,4.0,571.0,2.1265041765
data/2020-10-aging-test-cycles/UM_Internal_0620_-_Micro_Form_-_HT-_Cycling_Cell_37.038.csv,um_internal_0620_micro_form_ht_cycling_cell_37_038,ok,Cycle Number,Discharge Capacity (Ah),derived_from_filename,Ah,Total Cycle Time (s),524,2.47884616065,1.239423080325,23801.324999999997,29,21,574,524,50,4.0,550.0,2.1847794109
data/2020-10-aging-test-cycles/UM_Internal_0620_-_Micro_Form_-_Cycling_Cell_23.014.csv,um_internal_0620_micro_form_cycling_cell_23_014,ok,Cycle Number,Discharge Capacity (Ah),derived_from_filename,Ah,Total Cycle Time (s),524,2.4083690595,1.20418452975,25772.8125,30,23,577,524,53,4.0,553.0,2.14607646445
