model,n_cycles,MAE,SMAPE,R2,train_rows,test_rows
elastic_net,25,1042.9834432738999,88.11883176451806,-10.899788701823033,95,77
random_forest,25,1210.4335114795922,110.80667615839272,-14.741561425599025,95,77
catboost,25,1223.7434787466643,112.91267824921553,-15.043547387334861,95,77
xgboost,25,1279.5622661640118,121.79146165167597,-16.430221906968818,95,77
elastic_net,50,1127.8757035838996,99.12149682214667,-12.813547324168313,95,77
catboost,50,1210.5567499528759,110.88739960674015,-14.729908041111601,95,77
random_forest,50,1212.0361909119022,111.09227816113649,-14.770614668223173,95,77
xgboost,50,1217.4738737824675,112.07782139623521,-15.007562957669734,95,77
catboost,100,1080.9579316432405,93.53904491933585,-12.021623390252277,95,77
random_forest,100,1120.8594041692438,98.29877353091709,-12.761280863555912,95,77
xgboost,100,1167.762861375685,104.75382349390242,-13.79518558809626,95,77
elastic_net,100,1212.9780052040044,111.20936474059751,-14.831043564459634,95,77
