dataset,cell_id,seed,model,observed,predicted
luh,luh_P017_1_S01_C08,42,baseline,0.0002586779773129422,0.000276176561468298
luh,luh_P017_2_S04_C07,42,baseline,0.00026479271387219505,0.00043680746056257326
luh,luh_P017_3_S05_C05,42,baseline,0.0002906688216343789,0.0003628692529930896
luh,luh_P018_1_S01_C06,42,baseline,0.0005450097992452485,0.001177982873359359
luh,luh_P018_2_S02_C06,42,baseline,0.000548742116075489,0.0010695954925066691
luh,luh_P018_3_S04_C05,42,baseline,0.000659051894691749,0.0007646018155742905
luh,luh_P021_1_S02_C08,42,baseline,0.0002471724508572515,0.00021319408751351352
luh,luh_P021_2_S03_C08,42,baseline,0.00024975874519647337,0.00022367756410671553
luh,luh_P021_3_S04_C08,42,baseline,0.0002897379803147726,0.0002394809186441913
luh,luh_P022_1_S03_C06,42,baseline,0.001380376545653763,0.0005994694528230518
luh,luh_P022_2_S04_C06,42,baseline,0.0013164350816099767,0.0010954745552891774
luh,luh_P022_3_S05_C04,42,baseline,0.00204900116494102,0.0006128453863195542
luh,luh_P025_1_S01_C09,42,baseline,0.0001517817031814128,0.00017122860900243902
luh,luh_P025_2_S02_C09,42,baseline,0.00016800537214147314,0.00014257104569954948
luh,luh_P025_3_S03_C09,42,baseline,0.00016290583062627205,0.0001792556850842296
luh,luh_P026_1_S01_C07,42,baseline,0.0005901104793840606,0.0008599816730255216
luh,luh_P026_2_S02_C07,42,baseline,0.0013916166498763993,0.0005858185806120979
luh,luh_P026_3_S03_C07,42,baseline,0.0005766737326075866,0.0009757688717063876
luh,luh_P027_2_S02_C05,42,baseline,0.0024945343784749194,0.0013824395172887353
luh,luh_P027_3_S03_C05,42,baseline,0.0015591349368758545,0.002278870504437653
luh,luh_P029_1_S06_C08,42,baseline,0.00022590911518776568,0.00035252995585128145
luh,luh_P029_2_S08_C07,42,baseline,0.00023421292812803474,0.0003488201315209173
luh,luh_P029_3_S09_C07,42,baseline,0.000228355979736401,0.0003138765574376122
luh,luh_P030_1_S06_C06,42,baseline,0.0003439513862679111,0.0005244153443454945
luh,luh_P030_2_S08_C05,42,baseline,0.00036281676736498624,0.0005672248035233053
luh,luh_P030_3_S09_C05,42,baseline,0.0003682816199904559,0.0005471858823830148
luh,luh_P033_1_S07_C08,42,baseline,0.0001886771549894717,0.00011650456200009893
luh,luh_P033_2_S08_C08,42,baseline,0.00020336091065669136,0.00015526603837523158
luh,luh_P033_3_S09_C08,42,baseline,0.00018780160464740403,0.00015915432961065588
luh,luh_P034_1_S07_C06,42,baseline,0.00023077754074907864,0.00023541534310533299
luh,luh_P034_2_S08_C06,42,baseline,0.00023615850414929307,0.0001603778895994057
luh,luh_P034_3_S09_C06,42,baseline,0.000245469535616496,0.0002241668984916477
luh,luh_P035_2_S09_C04,42,baseline,0.0010852808241455002,0.001913556851800174
luh,luh_P035_3_S10_C02,42,baseline,0.002556591149051557,0.0016081328488172866
luh,luh_P037_1_S05_C11,42,baseline,0.00011124626209267463,8.870628829283733e-05
luh,luh_P037_3_S10_C04,42,baseline,0.0001376944909553468,0.00011082000662759525
luh,luh_P038_1_S06_C07,42,baseline,0.00017889673587808463,0.00015134341686854583
luh,luh_P038_2_S07_C07,42,baseline,0.0001599661106021366,0.00014281920903745204
luh,luh_P038_3_S10_C03,42,baseline,0.00017504211898023315,0.0001517147227677337
luh,luh_P039_1_S05_C10,42,baseline,0.0014172114104195012,0.0008373201681762281
luh,luh_P039_2_S06_C05,42,baseline,0.0011253475854425244,0.0012941172360672504
luh,luh_P039_3_S07_C05,42,baseline,0.0018272500742690222,0.0013442240920750106
luh,luh_P041_1_S11_C08,42,baseline,0.00017010398678440008,6.941689608646934e-06
luh,luh_P041_2_S13_C07,42,baseline,0.0002548012207109562,0.00045944458791857124
luh,luh_P041_3_S14_C07,42,baseline,0.00016340568053798242,0.00010198607227042357
luh,luh_P042_1_S11_C06,42,baseline,0.0002922500288510554,0.00032147851831651204
luh,luh_P042_2_S13_C05,42,baseline,0.0003179709115183882,0.000456977920561256
luh,luh_P042_3_S14_C05,42,baseline,0.00018012214498534408,0.00027131737255764346
luh,luh_P043_1_S11_C04,42,baseline,0.00031377106360346073,0.0005384408070898386
luh,luh_P043_2_S12_C04,42,baseline,0.0003210285783106692,0.0006734868783294356
luh,luh_P043_3_S14_C03,42,baseline,0.00026441291414968314,0.0006700405190389436
luh,luh_P046_1_S12_C06,42,baseline,8.821116868898304e-05,2.4716796966851818e-05
luh,luh_P046_2_S13_C06,42,baseline,7.496532226426433e-05,-6.651954939475898e-07
luh,luh_P046_3_S14_C06,42,baseline,0.00010987314474245169,6.29518430549871e-05
luh,luh_P047_1_S13_C04,42,baseline,0.000709946183220731,0.00016670231582848887
luh,luh_P047_2_S14_C04,42,baseline,0.0005589365925166167,0.00020622302012828525
luh,luh_P047_3_S15_C01,42,baseline,0.00014914087106164377,0.0002469401862393452
