dataset,cell_id,status,q0,retirement_cycle,retirement_throughput,available_future_throughput,soh_t0,recent_slope,early_slope,slope_change,curvature,history_mad,max_drop,linearity_r2,slope_ratio,history_range,future_temp,future_charge_rate,future_discharge_rate,future_soc_min,future_soc_max,chemistry,future_protocol,duty_stratum,local_noise,future_soh,target_g,target_horizon,target_instability
luh,luh_P017_1_S01_C08,eligible_primary,2.9248390592265148,259.0,226.96996678508856,186.6493423446321,0.8149199353117257,-0.00029490164978299735,-0.0004875329707726101,0.00019263132098961273,3.995283760992129e-06,0.008955084892605436,0.004609269717234188,0.9718435465496472,-0.6048855512595521,0.04046150956484662,0.0,0.33,0.33,,,NMC,T0_C0.33_D0.33_Snan-nan,T0_C0.33_D0.33_Snan-nan,3.292033312618514e-16,0.8019860364460786,0.0002586779773129422,50.0,6.128206662697168e-05
luh,luh_P017_2_S04_C07,eligible_primary,2.924398228171343,216.0,190.264025838635,196.26243564925318,0.8149304336632575,-0.0003856887714864056,-0.0009109919218751136,0.000525303150388708,9.348052983535219e-06,0.014223112946728012,0.004878898667360687,0.9586326533941711,-0.42337232880455666,0.06353907604543974,0.0,0.33,0.33,,,NMC,T0_C0.33_D0.33_Snan-nan,T0_C0.33_D0.33_Snan-nan,3.292033312618514e-16,0.8016907979696477,0.00026479271387219505,50.0,7.361592381213712e-05
luh,luh_P017_3_S05_C05,eligible_primary,2.922140229214828,212.0,186.80495213983113,192.66366818991327,0.8147570385105343,-0.0003695571258104771,-0.0009302288368264402,0.0005606717110159631,9.976638876871778e-06,0.015011028105568536,0.005010527756499572,0.9582478296083952,-0.3972754995117703,0.06638314970215942,0.0,0.33,0.33,,,NMC,T0_C0.33_D0.33_Snan-nan,T0_C0.33_D0.33_Snan-nan,0.0003926181131366746,0.8002235974288153,0.0002906688216343789,50.0,3.3505052435630984e-05
luh,luh_P018_1_S01_C06,eligible_primary,2.922000481677299,182.0,160.93512562342784,168.90171253671133,0.8145631238507269,-0.0005802053696708549,-0.0013225567188213615,0.0007423513491505066,1.3209232146670131e-05,0.021087817381962193,0.007160270788714063,0.9609855551367307,-0.43869980123644403,0.09287388403187502,0.0,0.33,1.0,,,NMC,T0_C0.33_D1_Snan-nan,T0_C0.33_D1_Snan-nan,3.292033312618514e-16,0.7873126338884645,0.0005450097992452485,50.0,1.6072908899117642e-05
luh,luh_P018_2_S02_C06,eligible_primary,2.9202162676331644,178.0,157.48928102767906,173.0187432596872,0.8149230748461767,-0.0006037869230630209,-0.0013295330190339631,0.0007257460959709422,1.2885845785284126e-05,0.022172907246524265,0.0072280066609474725,0.9652109865843101,-0.454134582909217,0.09547377183826489,0.0,0.33,1.0,,,NMC,T0_C0.33_D1_Snan-nan,T0_C0.33_D1_Snan-nan,4.938049968927771e-16,0.7874859690424022,0.000548742116075489,50.0,2.2912206199699466e-05
luh,luh_P018_3_S04_C05,eligible_primary,2.921189676427542,172.0,152.3754131970473,146.7988112441323,0.8146063465672491,-0.0006479617750015692,-0.0013250549693491593,0.0006770931943475901,1.211745166946516e-05,0.025203510736552637,0.007263502318957005,0.9733964954952572,-0.48900746760704966,0.10177267890593344,0.0,0.33,1.0,,,NMC,T0_C0.33_D1_Snan-nan,T0_C0.33_D1_Snan-nan,3.292033312618514e-16,0.7816537518326616,0.000659051894691749,50.0,1.682343658914748e-05
luh,luh_P021_1_S02_C08,eligible_primary,2.9339250858567643,643.0,569.4483645038381,219.86461361910597,0.8148285520492358,-0.00023408664166927335,-0.0002375712166776166,3.484575008343263e-06,5.8175343819427154e-08,0.006205146702026598,0.001257933275111922,0.9999855094684095,-0.9853325034190829,0.023590107461710974,0.0,0.33,0.33,,,NMC,T0_C0.33_D0.33_Snan-nan,T0_C0.33_D0.33_Snan-nan,6.318627797692421e-06,0.8024699295063732,0.0002471724508572515,50.0,9.802948514381864e-05
luh,luh_P021_2_S03_C08,eligible_primary,2.9418565679004454,616.0,545.0347947600555,223.28303442919048,0.8148714940512626,-0.00024227419034404362,-0.00023769068395064103,-4.583506393402586e-06,-8.630825819380759e-08,0.006274198738097259,0.001289988331742209,0.9999719366449299,-1.019283491961992,0.023997677229606884,0.0,0.33,0.33,,,NMC,T0_C0.33_D0.33_Snan-nan,T0_C0.33_D0.33_Snan-nan,1.646016656309257e-16,0.8023835567914389,0.00024975874519647337,50.0,7.202289778363901e-05
luh,luh_P021_3_S04_C08,eligible_primary,2.9292624719920237,612.0,542.1628778739368,206.66682120977953,0.8149461368842053,-0.0002542332815199186,-0.00024570629185103666,-8.526989668881967e-06,-1.6503953184913263e-07,0.006525320202913132,0.0013608635681489067,0.9999146287917348,-1.034703993962237,0.024972945917176248,0.0,0.33,0.33,,,NMC,T0_C0.33_D0.33_Snan-nan,T0_C0.33_D0.33_Snan-nan,1.646016656309257e-16,0.8004592378684666,0.0002897379803147726,50.0,0.00016278427205107816
luh,luh_P022_1_S03_C06,eligible_primary,2.9472266576620827,452.0,403.3654159947112,81.91944964448913,0.8146954850930764,-0.0004724898284146041,-0.00034047992236749334,-0.00013200990604711075,-2.371887135239413e-06,0.010322705809859278,0.0025197318959877535,0.9932593723780153,-1.3877171526861054,0.04029751223010991,0.0,0.33,1.0,,,NMC,T0_C0.33_D1_Snan-nan,T0_C0.33_D1_Snan-nan,6.584066625237028e-16,0.7456766578103883,0.001380376545653763,50.0,0.0004982753939322257
luh,luh_P022_2_S04_C06,eligible_primary,2.9352750921297623,433.0,387.41471076832585,85.88625702649551,0.81488032373002,-0.0006334812265901955,-0.00031831505452007455,-0.0003151661720701209,-5.936844738963614e-06,0.009999518126916351,0.00383092293563414,0.9614730463093062,-1.9901076546483132,0.04564616079084571,0.0,0.33,1.0,,,NMC,T0_C0.33_D1_Snan-nan,T0_C0.33_D1_Snan-nan,3.292033312618514e-16,0.7490585696495211,0.0013164350816099767,50.0,0.0007231505721253216
luh,luh_P022_3_S05_C04,eligible_primary,2.933379814673473,399.0,357.21290072192716,55.03806747359903,0.8146404116709589,-0.0005124485868951997,-0.0003980555901800643,-0.00011439299671513545,-2.516837484785016e-06,0.010850223159887207,0.010040283920252135,0.9823338446086016,-1.2873794503511147,0.049304632891035705,0.0,0.33,1.0,,,NMC,T0_C0.33_D1_Snan-nan,T0_C0.33_D1_Snan-nan,1.646016656309257e-16,0.7121903534239079,0.00204900116494102,50.0,1.3485037373120124e-05
