dataset,experiment,model,n_cycles,MAE_mean,MAE_std,SMAPE_mean,SMAPE_std,R2_mean,R2_std,n_seeds
matr,matr_to_matr,elastic_net,50,253.62357735085342,45.59724662609525,35.763157602842725,5.707519260293854,0.12011659243038446,0.17127305321611253,5
matr,matr_to_matr,pls,50,281.62540578982663,86.38960787291522,37.61325293437778,8.732098801411132,-0.2936699647507572,0.7188064962421672,5
matr,matr_to_matr,random_forest,50,219.87524376060819,45.435863263550246,29.948985155645783,4.476413952547776,0.28845240854475734,0.22044377184981034,5
matr,matr_to_matr,xgboost,50,223.63606048583983,57.854897261319365,30.268140144349637,6.998788861148623,0.2603408452505051,0.24531619204036653,5
matr,matr_to_matr,catboost,50,219.13491766448414,43.86833105331498,29.675676763318414,5.473662290345036,0.2233096813830991,0.1932338314753596,5
matr,matr_to_matr,gaussian_process,50,237.3195449171887,50.18069932536198,32.55084936305889,6.397121860237783,0.22382431819467147,0.17008167964455698,5
matr,matr_to_matr,elastic_net,100,368.7688892193118,265.6052920501277,34.02948813983081,5.8915674233787305,-11.294648226187274,22.98282507644019,5
matr,matr_to_matr,pls,100,453.621595097842,448.0386722644793,34.75676021937518,4.3504117534465845,-33.34427784396136,67.16529633953927,5
matr,matr_to_matr,random_forest,100,211.74464581971907,59.12658455853124,29.618036089109076,6.654138447702743,0.33034632420071297,0.3299771659856203,5
matr,matr_to_matr,xgboost,100,220.90107910156252,46.86704905772055,30.704634838207518,4.5375347011768445,0.31079015693475703,0.3273422969749566,5
matr,matr_to_matr,catboost,100,195.40402794574737,54.33188318179571,27.16051924319013,6.181658010936416,0.4105392458046201,0.2635524002693043,5
matr,matr_to_matr,gaussian_process,100,237.425403980579,27.63699473615057,32.39419738690304,4.399749391773858,0.20003339904274933,0.13853455925042316,5
hust,hust_to_hust,elastic_net,50,206.18049033677235,38.657245075557434,13.964830968293672,2.6084541331066884,0.13045400101371807,0.28252655032786445,5
hust,hust_to_hust,pls,50,205.94282247287566,37.63099294921594,13.861680153937462,2.5580076330981716,0.14717475721647746,0.30190084036498654,5
hust,hust_to_hust,random_forest,50,178.76380750812854,16.34594045334198,12.134936473784151,1.3237150320075473,0.19436281326928614,0.16287279873984933,5
hust,hust_to_hust,xgboost,50,195.6960713704427,24.853407205253667,13.185356767580988,1.6836155074092132,0.10258100679244611,0.2869915838626046,5
hust,hust_to_hust,catboost,50,177.81080593436496,19.572794587474746,11.966883584302638,1.4861888808322028,0.25876117538180204,0.16722705762426704,5
hust,hust_to_hust,gaussian_process,50,188.67363332851403,29.686767072763118,12.792208173500129,2.023243807063117,0.26618897811647557,0.23025932086806916,5
hust,hust_to_hust,elastic_net,100,182.99447385162404,26.847364326210354,12.263147414613174,1.7629310726872056,0.3181659080807871,0.15578294162275927,5
hust,hust_to_hust,pls,100,181.1161636167122,25.616581316812816,12.070072291537885,1.6239200113558379,0.300799183211816,0.16804667807339904,5
hust,hust_to_hust,random_forest,100,165.24102775442242,30.247761403008255,11.315500125528736,2.4586091271949533,0.43268144413810405,0.17346737424653713,5
hust,hust_to_hust,xgboost,100,164.61029968261718,19.42369452164615,11.181553222239803,1.565957345190886,0.39149109943774335,0.17406392768590803,5
hust,hust_to_hust,catboost,100,168.32822188960466,27.167996923699583,11.491797112005385,2.328154051149015,0.409129744083617,0.1759612885258763,5
hust,hust_to_hust,gaussian_process,100,185.7435606732283,29.2566316420463,12.617835108394065,2.1577922676768515,0.2865147867414156,0.16055787925783246,5
