dataset,experiment,model,n_cycles,MAE_mean,MAE_std,MAE_ci95_lower,MAE_ci95_upper,SMAPE_mean,SMAPE_std,SMAPE_ci95_lower,SMAPE_ci95_upper,R2_mean,R2_std,R2_ci95_lower,R2_ci95_upper,n_seeds
matr,matr_to_matr,elastic_net,50,1584.7802434670007,2780.0115967697825,129.4427039601788,4441.1529101816395,30.275592570325905,7.301467672201007,19.201216482253464,43.9985942621066,-1286.81239394379,2574.4285582614602,-3288.502696943187,0.6399482137180014,5
matr,matr_to_matr,pls,50,206.08237405609853,58.211348339312764,137.44827537756422,292.08794006427127,28.820348490624475,9.02716792920197,20.032214713057762,39.669228049428554,0.4023106383641881,0.23348823221380785,-0.08183498982446151,0.6403207033309585,5
matr,matr_to_matr,random_forest,50,183.2800773228853,32.39768955192006,110.2693013530788,268.8464880856468,25.045471794274853,2.9368730877059006,15.09381381049767,36.9991921100495,0.45365275749490586,0.18226095950032123,0.04128533749776471,0.6918445461810901,5
matr,matr_to_matr,xgboost,50,189.47931945800784,32.94094045627778,120.42711684417728,266.37430587005616,26.104366607372764,3.8800645139486076,16.223131943868033,37.55231323162813,0.4814077925140993,0.10552596350866876,0.030910274341373768,0.6884641724659533,5
matr,matr_to_matr,catboost,50,177.58037021825982,39.92011830906261,111.16536573994088,258.4766102802099,24.370307505899696,4.863602005505045,15.298724787560678,35.647283453518796,0.5033843017957969,0.16895908301027307,0.20890464600184672,0.6985465755020638,5
matr,matr_to_matr,gaussian_process,50,212.09945927544305,29.369872609348498,133.89691799114735,303.90448008980377,28.696136817096818,3.854232435014405,17.718667277810546,42.518209922879095,0.32224637444517823,0.12035531198720752,-0.11804236069531389,0.5979324276038379,5
matr,matr_to_matr,stacking,50,184.67207102093064,26.210677123366413,113.52109036154482,264.7050539750353,25.01287036320468,3.8790433779046474,15.42668095167824,36.08257618577154,0.4770588196030049,0.08908908613887076,-0.02141037068016777,0.7128266752158059,5
matr,matr_to_matr,elastic_net,100,214.06587053410104,54.957922932154894,135.5673195733767,309.245804009742,31.696574658186044,9.174170518917084,20.04833616076327,46.27864383972799,0.3010673561368077,0.24202298519734633,-0.343806841952265,0.6082274413871074,5
matr,matr_to_matr,pls,100,200.02458515734855,49.6607017137499,132.5977986070145,283.4921805630659,30.220518126366482,8.420092898093039,19.774816374063906,43.14233334653079,0.4344751664402766,0.22156920869761274,-0.021701903324085475,0.641791660655256,5
matr,matr_to_matr,random_forest,100,183.16888624549256,46.75777381431646,119.59701665209914,262.33232679865756,25.82711013755946,5.106313512580769,17.233666804103557,36.049209242044356,0.5201187809710406,0.16108634259570662,0.19503969786121408,0.695570863589334,5
matr,matr_to_matr,xgboost,100,183.03801513671874,63.509987219764504,120.19015674591064,257.3810602264404,25.193185958205703,7.552839064281674,16.634937370079946,35.62337847048774,0.5273293303659992,0.2201144656435442,0.18215341564328952,0.6997575277379747,5
matr,matr_to_matr,catboost,100,171.66177211053974,37.24508043382918,110.3508375246287,243.23188714633162,23.671376618028027,4.7734805808666385,15.512352001795842,33.54328553460659,0.5752479103793123,0.11839495888647317,0.25594274068597606,0.7317758050432654,5
matr,matr_to_matr,gaussian_process,100,204.1251057609807,43.60558694240923,128.51156338115516,297.3674414897267,27.735900822273614,4.853367183082523,17.344727141817636,41.531778831123276,0.3618908436296217,0.16751188768854303,-0.07782276911149022,0.5870022324929418,5
matr,matr_to_matr,stacking,100,180.62870698273574,38.32710392946948,119.29353373174713,252.27727079279674,24.64001282429468,4.286229402791568,16.632081829474295,34.647038744108144,0.54383944681015,0.14428354348627406,0.13959280691453607,0.7150371579911979,5
hust,hust_to_hust,elastic_net,50,231.887217164673,19.654581332025867,158.1441623026617,310.74332268922905,15.522708204898843,1.3850489382376159,10.603785506720627,20.777007539511857,0.022634988241726984,0.09256098681577585,-1.5796144766266156,0.46936212195627414,5
hust,hust_to_hust,pls,50,220.48266598686797,23.607755633008228,145.6518066316661,304.91937749861677,14.708017326610786,1.458086848125354,9.728210879736034,20.330487924043748,0.051508499433935026,0.1540280673361483,-1.4770784733918112,0.5397297232962448,5
