scenario_label,protocol,direction,model,confidence_level,k_target,k_adapter,adapter_type,coverage_mean,coverage_wilson95_lower_mean,coverage_wilson95_upper_mean,coverage_short_life_mean,coverage_long_life_mean,short_long_coverage_gap_mean,median_width_mean,winkler_mean_mean,MAE_median,MAE_mean,SMAPE_median,SMAPE_mean,R2_median,R2_mean,finite_q_mean,n_runs
Residual-mean target-adapted CP,Residual-adapted CP,HUST -> MATR,catboost,0.9,5.0,5.0,residual_mean,0.8184873949579832,0.7493254968697062,0.8677300210938316,0.8393220338983051,0.7979999999999999,0.1787853107344632,1203.2331268215814,1990.1417007724128,285.097442740264,307.2631652636645,37.14265160260186,39.17810336089054,-0.0683535121614765,-0.2222169021223872,0.0,100
Residual-mean target-adapted CP,Residual-adapted CP,HUST -> MATR,catboost,0.9,10.0,10.0,residual_mean,0.9047706422018348,0.8425956780258559,0.9393864136822458,0.9416666666666668,0.8685454545454546,0.112030303030303,1464.6899968170778,1887.596163016966,281.9317713112794,289.6799935850309,36.46182474057194,37.30883072252502,-0.0408428522508183,-0.0963771158376681,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,HUST -> MATR,catboost,0.9,15.0,15.0,residual_mean,0.9466666666666668,0.8879072409883214,0.9720572228977528,0.983469387755102,0.9106,0.0797020408163265,1691.6093055473125,1927.7847690838048,276.64653191376243,278.8403612158063,35.72645766087831,36.06087869313813,-0.0030349998612329,-0.0298936093642643,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,HUST -> MATR,catboost,0.9,20.0,20.0,residual_mean,0.9051685393258428,0.8307684122708474,0.9460397175893938,0.9613636363636364,0.8502222222222222,0.1265757575757575,1302.279503440718,1742.883646178083,276.08831351225365,276.4269198327917,35.63419159526185,35.7093549985999,0.0004487261778874,-0.0200584351452043,1.0,100
"Target-domain CP, no adapter",Target CP,HUST -> MATR,catboost,0.9,5.0,,none,0.8162903225806452,0.7502153144255175,0.8633571582573635,0.6569354838709677,0.9756451612903224,0.3187096774193548,1928.5348275167248,2486.319438289011,669.6576625369314,671.611475167636,66.52739616353821,66.44072582071387,-3.04067828765777,-3.1014837477415114,0.0,100
"Target-domain CP, no adapter",Target CP,HUST -> MATR,catboost,0.9,10.0,,none,0.9191596638655462,0.8604537654074689,0.9516499083661794,0.8369491525423729,1.0,0.1630508474576271,2101.1676742897016,2189.9248441881177,670.3237486122739,671.0544565852408,66.36631351153238,66.40955591291691,-3.105313388674247,-3.058440381690902,1.0,100
"Target-domain CP, no adapter",Target CP,HUST -> MATR,catboost,0.9,15.0,,none,0.9369298245614036,0.8814482143095697,0.9639248911912744,0.8747368421052631,0.999122807017544,0.1243859649122806,2131.461387295878,2201.231397589257,672.1265071976575,671.5417046268292,66.31249380754977,66.43406288556054,-3.0973515821918047,-3.114695445265692,1.0,100
"Target-domain CP, no adapter",Target CP,HUST -> MATR,catboost,0.9,20.0,,none,0.9026605504587156,0.8365004215858534,0.9414051542316576,0.8035185185185185,1.0,0.1964814814814814,2074.833628925817,2175.483463404941,673.2650046287397,670.3333706851544,66.29988086331204,66.26859549405107,-3.049033896348427,-3.1043235681088763,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,HUST -> MATR,random_forest,0.9,5.0,5.0,residual_mean,0.8404201680672269,0.7713836164040496,0.8881656984429928,0.8815254237288136,0.8,0.1776497175141242,1174.658040869204,1874.2190611849635,280.6262863741261,298.4845400576813,36.50220290207193,38.34089044118341,-0.0298877707152003,-0.140033182049302,0.0,100
Residual-mean target-adapted CP,Residual-adapted CP,HUST -> MATR,random_forest,0.9,10.0,10.0,residual_mean,0.9059633027522936,0.8420899872384173,0.9421962221469748,0.9427777777777776,0.8698181818181818,0.1126969696969696,1413.6204044125273,1825.694653045279,274.75783229467226,280.7357519051553,35.70415926969045,36.263822025825505,0.0089240384845655,-0.0344769054012573,1.0,100
