scenario_label,confidence_level,direction,model,coverage_mean,coverage_short_life_mean,coverage_long_life_mean,short_long_coverage_gap_mean,coverage_wilson95_lower_mean,coverage_wilson95_upper_mean,n_runs
Within-dataset CP,0.9,HUST,catboost,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.0,0.6752912511056663,0.9812139431264584,5
Within-dataset CP,0.95,HUST,catboost,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.0,0.6752912511056663,0.9812139431264584,5
Within-dataset CP,0.9,HUST,random_forest,0.9666666666666666,0.9666666666666666,0.9666666666666666,0.0,0.7163986222252128,0.9906069715632292,5
Within-dataset CP,0.95,HUST,random_forest,0.9666666666666666,0.9666666666666666,0.9666666666666666,0.0,0.7163986222252128,0.9906069715632292,5
Within-dataset CP,0.9,MATR,catboost,0.92,0.96,0.8800000000000001,0.0799999999999999,0.7330364386909938,0.971618428544638,5
Within-dataset CP,0.95,MATR,catboost,0.95,0.98,0.92,0.0599999999999999,0.7690136864520241,0.9859736713004386,5
Within-dataset CP,0.9,MATR,random_forest,0.86,0.9,0.82,0.1199999999999999,0.6637093695410589,0.9402805166609112,5
Within-dataset CP,0.95,MATR,random_forest,0.93,0.94,0.92,0.0599999999999999,0.7493780005988622,0.9720543634757132,5
Naive source-calibrated cross CP,0.9,HUST -> MATR,catboost,0.2697674418604651,0.04375,0.4923076923076923,0.4485576923076923,0.2071220701404441,0.345728368816444,5
Naive source-calibrated cross CP,0.95,HUST -> MATR,catboost,0.2697674418604651,0.04375,0.4923076923076923,0.4485576923076923,0.2071220701404441,0.345728368816444,5
Naive source-calibrated cross CP,0.9,HUST -> MATR,random_forest,0.3054263565891472,0.05625,0.5507692307692308,0.4945192307692307,0.2372776211092215,0.3848283054166333,5
Naive source-calibrated cross CP,0.95,HUST -> MATR,random_forest,0.3054263565891472,0.05625,0.5507692307692308,0.4945192307692307,0.2372776211092215,0.3848283054166333,5
Naive source-calibrated cross CP,0.9,MATR -> HUST,catboost,0.1896103896103895,0.3842105263157894,0.0,0.3842105263157894,0.1284572121364333,0.2802620181038308,5
Naive source-calibrated cross CP,0.95,MATR -> HUST,catboost,0.2805194805194805,0.5473684210526316,0.0205128205128205,0.5268556005398111,0.2019122615765278,0.3799854367942027,5
Naive source-calibrated cross CP,0.9,MATR -> HUST,random_forest,0.148051948051948,0.2999999999999999,0.0,0.2999999999999999,0.0927934727275883,0.236758457795891,5
Naive source-calibrated cross CP,0.95,MATR -> HUST,random_forest,0.2701298701298701,0.5421052631578946,0.0051282051282051,0.5369770580296895,0.1914613356216305,0.3706445378199038,5
"Target-domain CP, no adapter",0.9,HUST -> MATR,catboost,0.9026605504587156,0.8035185185185185,1.0,0.1964814814814814,0.8365004215858534,0.9414051542316576,100
"Target-domain CP, no adapter",0.95,HUST -> MATR,catboost,0.9511926605504588,0.9014814814814816,1.0,0.0985185185185184,0.89752835365293,0.974137087648168,100
"Target-domain CP, no adapter",0.9,HUST -> MATR,random_forest,0.9077064220183486,0.8137037037037037,1.0,0.1862962962962962,0.8424104201534877,0.9452433458371752,100
"Target-domain CP, no adapter",0.95,HUST -> MATR,random_forest,0.9547706422018348,0.9087037037037036,1.0,0.0912962962962962,0.901855830589165,0.9767219637438042,100
"Target-domain CP, no adapter",0.9,MATR -> HUST,catboost,0.9017543859649124,1.0,0.806896551724138,0.193103448275862,0.8029951322924755,0.949781031983552,100
"Target-domain CP, no adapter",0.95,MATR -> HUST,catboost,0.9482456140350876,1.0,0.8982758620689656,0.1017241379310344,0.8625219576363784,0.97736585883753,100
"Target-domain CP, no adapter",0.9,MATR -> HUST,random_forest,0.8852631578947369,0.999642857142857,0.7748275862068965,0.2248152709359605,0.7819910029519471,0.9398851790350208,100
"Target-domain CP, no adapter",0.95,MATR -> HUST,random_forest,0.9408771929824562,1.0,0.8837931034482759,0.1162068965517241,0.8519715717480913,0.9741098696604924,100
Residual-mean target-adapted CP,0.9,HUST -> MATR,catboost,0.9051685393258428,0.9613636363636364,0.8502222222222222,0.1265757575757575,0.8307684122708474,0.9460397175893938,100
Residual-mean target-adapted CP,0.95,HUST -> MATR,catboost,0.9561797752808988,0.9922727272727272,0.9208888888888888,0.0738181818181818,0.8962348055205674,0.9783744588256827,100
Residual-mean target-adapted CP,0.9,HUST -> MATR,random_forest,0.9092134831460674,0.9561363636363636,0.8633333333333333,0.1193484848484848,0.8352302433191582,0.9493330425796211,100
Residual-mean target-adapted CP,0.95,HUST -> MATR,random_forest,0.9586516853932584,0.9845454545454544,0.9333333333333332,0.0613535353535353,0.8996643894233669,0.9796841369464346,100
Residual-mean target-adapted CP,0.9,MATR -> HUST,catboost,0.9075675675675676,0.8922222222222221,0.9221052631578948,0.1077192982456139,0.7781831246309321,0.960282171929878,100
Residual-mean target-adapted CP,0.95,MATR -> HUST,catboost,0.9537837837837838,0.9405555555555556,0.9663157894736842,0.0566374269005847,0.8387735873301326,0.9834301480316712,100
Residual-mean target-adapted CP,0.9,MATR -> HUST,random_forest,0.9067567567567568,0.8866666666666667,0.9257894736842104,0.1152631578947367,0.7773737989447866,0.959622402198462,100
Residual-mean target-adapted CP,0.95,MATR -> HUST,random_forest,0.9462162162162164,0.9322222222222222,0.9594736842105264,0.0683625730994151,0.8298834685660801,0.9786087095651516,100
