scenario,source,target,calibration_domain,model,n_cycles,adapter_type,k_adapter,k_target,coverage_mean,coverage_std,mean_width_mean,mean_width_std,median_width_mean,median_width_std,winkler_mean_mean,winkler_mean_std,MAE_mean,MAE_std,SMAPE_mean,SMAPE_std,R2_mean,R2_std,q_hat_mean,q_hat_std,finite_q_mean,adapter_slope_mean,adapter_slope_std,adapter_intercept_mean,adapter_intercept_std,coverage_short_mean,coverage_short_std,coverage_mid_mean,coverage_mid_std,coverage_long_mean,coverage_long_std,n_train_mean,n_adapter_mean,n_calibration_mean,n_test_mean,n_runs,scenario_label,direction
within_split_cp,hust,hust,hust,catboost,100,none,,,0.9333333333333332,0.0912870929175276,918.8285542477436,349.99145026235817,918.8285542477436,349.9914502623581,1210.9923503418129,428.1055960067632,181.8401361681132,25.489923221016276,12.313944221556124,2.1705781811306295,0.2837651341300675,0.2260954800261701,459.4142771238718,174.99572513117906,1.0,,,,,0.9,0.1369306393762915,1.0,0.0,0.9,0.1369306393762915,53.0,0.0,12.0,12.0,5,Within-dataset CP,HUST
within_split_cp,hust,hust,hust,random_forest,100,none,,,0.9666666666666666,0.0745355992499929,941.1080275030484,255.9177451746685,941.1080275030484,255.91774517466845,1110.3351884661197,304.34582863957826,177.97215881381177,31.608767810689532,12.156647262692411,2.4676323724427305,0.3397522395445855,0.1905449472901604,470.5540137515235,127.95887258733538,1.0,,,,,0.95,0.1118033988749894,1.0,0.0,0.95,0.1118033988749894,53.0,0.0,12.0,12.0,5,Within-dataset CP,HUST
within_split_cp,matr,matr,matr,catboost,100,none,,,0.92,0.0908295106229247,1118.6128428871516,374.38959066993993,1118.6128428871518,374.38959066994,1343.3990430695214,150.38207712407524,171.66177211053974,41.641265838744694,23.671376618028027,5.336913534046492,0.5752479103793123,0.1323695881317234,559.3064214435759,187.19479533497,1.0,,,,,0.9428571428571428,0.0782460796435951,1.0,0.0,0.8285714285714285,0.1862629258629328,89.0,0.0,20.0,20.0,5,Within-dataset CP,MATR
within_split_cp,matr,matr,matr,random_forest,100,none,,,0.86,0.138744369255116,954.616625798251,388.2229782439442,954.616625798251,388.222978243944,1464.85871836504,306.1940994788086,183.16888624549247,52.276780362685685,25.82711013755944,5.709032064278174,0.5201187809710407,0.1801000061454096,477.3083128991264,194.1114891219719,1.0,,,,,0.8857142857142858,0.1862629258629328,0.9666666666666666,0.0745355992499929,0.7428571428571429,0.1862629258629328,89.0,0.0,20.0,20.0,5,Within-dataset CP,MATR
cross_source_calibrated_cp,hust,matr,hust,catboost,100,none,,,0.2697674418604651,0.1949115321839181,918.8285542477436,349.9914502623581,918.8285542477436,349.9914502623581,6332.433274576065,2519.2658943998904,670.9436156390645,33.418676436548054,66.37915269921146,1.973657875329217,-3.064543073408135,0.3843805165611357,459.4142771238718,174.99572513117906,1.0,,,,,0.0046511627906976,0.0104003161744176,0.1767441860465116,0.3439974341786157,0.627906976744186,0.2526228021209353,53.0,0.0,12.0,129.0,5,Naive source-calibrated cross CP,HUST -> MATR
cross_source_calibrated_cp,hust,matr,hust,random_forest,100,none,,,0.3054263565891473,0.1754577143663887,941.1080275030456,255.91774517466808,941.1080275030456,255.91774517466808,5022.352959457448,1487.5965189661945,610.2009827688897,58.55323039897121,62.63609184278664,3.670485795760459,-2.403228691422737,0.6110953394209826,470.5540137515227,127.95887258733455,1.0,,,,,0.0,0.0,0.2046511627906976,0.3667494211479891,0.7116279069767442,0.1805885456587644,53.0,0.0,12.0,129.0,5,Naive source-calibrated cross CP,HUST -> MATR
cross_source_calibrated_cp,matr,hust,matr,catboost,100,none,,,0.1896103896103896,0.161059906471974,1118.6128428871518,374.3895906699398,1118.6128428871518,374.38959066994,7844.776006349704,2545.524756225635,861.0411623434178,40.41587569250853,79.4773510612705,5.318555013673753,-9.995302115770333,0.9039888761844792,559.3064214435759,187.19479533497,1.0,,,,,0.5230769230769231,0.4253435784907463,0.04,0.069282032302755,0.0,0.0,89.0,0.0,20.0,77.0,5,Naive source-calibrated cross CP,MATR -> HUST
cross_source_calibrated_cp,matr,hust,matr,random_forest,100,none,,,0.148051948051948,0.1213434662524475,954.6166257982516,388.2229782439438,954.6166257982516,388.22297824394394,9661.808648930306,2850.8455930219993,891.6771054879158,86.87794899705024,84.34781454124521,10.785206844999932,-10.92944121521668,1.7055223299800413,477.30831289912584,194.1114891219721,1.0,,,,,0.4307692307692308,0.345512225868857,0.008,0.0178885438199983,0.0,0.0,89.0,0.0,20.0,77.0,5,Naive source-calibrated cross CP,MATR -> HUST
cross_target_calibrated_cp,hust,matr,matr,catboost,100,none,,20.0,0.9026605504587156,0.0684296929622123,2074.833628925817,107.4862153542781,2074.833628925817,107.48621535427824,2175.483463404941,81.7784189899737,670.3333706851544,31.431150030765004,66.26859549405107,2.1245042976245583,-3.1043235681088763,0.5068313008322753,1037.4168144629084,53.74310767713912,1.0,,,,,0.7146657183499289,0.1987522596916256,0.9986111111111112,0.00825817208348,1.0,0.0,53.0,0.0,20.0,109.0,100,"Target-domain CP, no adapter",HUST -> MATR
cross_target_calibrated_cp,hust,matr,matr,random_forest,100,none,,20.0,0.9077064220183486,0.062805553411723,1904.372636764397,131.718175158244,1904.372636764397,131.7181751582439,1994.531371079406,112.44031586904973,609.6735989980966,52.96973924363488,62.57653864440157,3.419365984098119,-2.374339370164976,0.5969243211879158,952.1863183821988,65.85908757912205,1.0,,,,,0.7291963015647227,0.1816978552170472,0.9988888888888888,0.0087574456590168,1.0,0.0,53.0,0.0,20.0,109.0,100,"Target-domain CP, no adapter",HUST -> MATR
