dataset,experiment,model,n_cycles,MAE_mean,MAE_std,MAE_ci95_lower,MAE_ci95_upper,SMAPE_mean,SMAPE_std,SMAPE_ci95_lower,SMAPE_ci95_upper,R2_mean,R2_std,R2_ci95_lower,R2_ci95_upper,n_seeds
hust,matr_to_hust,elastic_net,50,911.9754207751972,46.13941488533642,838.8086227020518,984.2791014184144,88.94964767772544,3.9781195826486653,82.4780459518465,95.40297080754937,-11.635666427606413,0.5123597050712597,-16.687715510979697,-8.642273191566726,5
hust,matr_to_hust,pls,50,962.9027314477432,38.656213038403585,876.5105443269407,1047.2204144980037,98.9822479559239,3.370214564051088,89.36826365174836,108.61926890106952,-13.380385792466615,0.5231171234986568,-19.443402620315506,-9.77563984610347,5
hust,matr_to_hust,random_forest,50,989.2321624596992,64.88112436562137,927.024845189678,1051.5301680152947,97.95065313551676,9.650815869281093,94.17169644502874,101.54856141761434,-13.118915594760281,1.5872912007214532,-18.27609493674396,-10.027833934931818,5
hust,matr_to_hust,xgboost,50,921.2321684771921,111.83700373590548,858.7689257440794,983.1348213718045,88.77214449917105,14.95387251221544,84.85122953970581,92.55619584327137,-11.47537141890536,2.5724795567380023,-16.00559203782725,-8.74400178263989,5
hust,matr_to_hust,catboost,50,983.7551778975591,55.02490684322742,921.593182809781,1046.6129436941558,97.06487879151241,8.209857412105434,93.32626520531053,100.70994883199042,-12.949145627962292,1.332726397614086,-18.017771146028583,-9.873498866893602,5
hust,matr_to_hust,gaussian_process,50,783.1084923279071,8.417391461622586,721.8852578096111,843.9793604875864,69.23201058342153,1.0445086536502444,65.39133234519304,72.87560242207901,-8.158264213905241,0.17612019460210412,-11.54106965869116,-6.137437191961162,5
hust,matr_to_hust,stacking,50,985.7065620602676,96.67480008133742,924.5403926879535,1048.231724882222,97.83459288557287,13.813365556316691,94.08766054690007,101.4821979117294,-13.095455816045998,2.2977097351185707,-18.22097624861965,-10.050008989159846,5
hust,matr_to_hust,elastic_net,100,795.6722004778637,114.00043332793958,694.7904760204372,902.795290973418,72.23841840262315,9.207444592526587,62.863206511375076,81.60083594509653,-10.738655058931972,4.685322533675713,-16.284117337526578,-7.277072664167507,5
hust,matr_to_hust,pls,100,802.8973018020106,79.15161589598712,697.77530959175,908.4691801863119,77.56046948317686,7.9881610972851504,66.18028180095601,89.32556837623034,-10.73101662572436,2.102425001808916,-15.749048007470275,-7.618589279666757,5
hust,matr_to_hust,random_forest,100,875.4320385524368,81.72663478340466,805.252668560232,942.8349611376195,82.16416929299722,10.199869218254435,76.98229790365022,87.03775353860689,-10.538408033344698,1.6398507507966458,-14.949632126898374,-7.927265469674753,5
