dataset,experiment,model,n_cycles,MAE_mean,MAE_std,SMAPE_mean,SMAPE_std,R2_mean,R2_std,n_seeds,MAE_seed_boot_mean_ci95_lower,MAE_seed_boot_mean_ci95_upper,SMAPE_seed_boot_mean_ci95_lower,SMAPE_seed_boot_mean_ci95_upper,R2_seed_boot_mean_ci95_lower,R2_seed_boot_mean_ci95_upper,MAE_ci95_lower,MAE_ci95_upper,SMAPE_ci95_lower,SMAPE_ci95_upper,R2_ci95_lower,R2_ci95_upper,ci95_method
umich,hust_to_umich,elastic_net,100,1411703.6625548564,2801291.929391084,140.8352135304675,13.728605960148855,-182443740412.99615,364877550542.80927,5,4703.317418274712,4220109.795397708,129.5449815625435,151.08579654414342,-712662648094.4348,-273774.3010772982,4703.317418274712,4220109.795397708,129.5449815625435,151.08579654414342,-712662648094.4348,-273774.3010772982,mean_of_seed_bootstrap_intervals
umich,hust_to_umich,pls,100,3000.4868986154734,2369.3634001105147,132.87956611450647,6.293190372251589,-108856.62604741757,194932.70723623844,5,1416.4967536783288,5833.051015007002,123.91997915314923,141.2732686249065,-414656.9218072902,-1432.1573399754684,1416.4967536783288,5833.051015007002,123.91997915314923,141.2732686249065,-414656.9218072902,-1432.1573399754684,mean_of_seed_bootstrap_intervals
umich,hust_to_umich,random_forest,100,1068.5296793239202,48.11558604440035,123.4629322742715,2.290337999024456,-540.6273613376644,45.344892506710735,5,1038.8510503382877,1098.4357621333156,120.63091377427318,126.34388354485614,-895.6455910605094,-375.8010900212177,1038.8510503382877,1098.4357621333156,120.63091377427318,126.34388354485614,-895.6455910605094,-375.8010900212177,mean_of_seed_bootstrap_intervals
umich,hust_to_umich,xgboost,100,1075.4727934789964,95.74560051010589,123.58584430356257,4.0453310166762115,-551.2481003934271,100.45646177305373,5,1044.0993318875358,1107.2000889541473,120.73342753519655,126.58459626287052,-910.682547185644,-382.4004326437318,1044.0993318875358,1107.2000889541473,120.73342753519655,126.58459626287052,-910.682547185644,-382.4004326437318,mean_of_seed_bootstrap_intervals
umich,hust_to_umich,catboost,100,1130.0680784604297,23.568848808174483,126.27292134268016,1.0002247572864353,-600.75739223908,24.464495726084277,5,1108.9627454186138,1151.6819328843335,123.69287723723728,128.95353813133963,-992.1705429188494,-418.061807834623,1108.9627454186138,1151.6819328843335,123.69287723723728,128.95353813133963,-992.1705429188494,-418.061807834623,mean_of_seed_bootstrap_intervals
umich,hust_to_umich,gaussian_process,100,1131.4681017728024,10.281746216548026,126.40584386903507,0.41918095873215455,-600.7568853898692,10.955205559128586,5,1117.7556075127545,1145.4711110335052,123.88196280718452,128.9850730670749,-996.2417829144308,-414.65109819590026,1117.7556075127545,1145.4711110335052,123.88196280718452,128.9850730670749,-996.2417829144308,-414.65109819590026,mean_of_seed_bootstrap_intervals
umich,hust_to_umich,stacking,100,1092.1011152618737,42.199312382180075,124.58891024532913,1.8350361020834265,-562.9014768528448,42.969450109169294,5,1067.3464568232764,1117.6571914764147,121.93950410096195,127.37697951911483,-927.100456944598,-391.62560220210116,1067.3464568232764,1117.6571914764147,121.93950410096195,127.37697951911483,-927.100456944598,-391.62560220210116,mean_of_seed_bootstrap_intervals
hust,umich_to_hust,elastic_net,100,1128.1840641264764,66.02765784337092,120.8400629242374,10.311928208143756,-17.119787639020164,1.6534872962864775,5,1062.5637684164826,1192.45288645386,117.190959181999,124.36149140603825,-23.821897038058975,-13.159320596803559,1062.5637684164826,1192.45288645386,117.190959181999,124.36149140603825,-23.821897038058975,-13.159320596803559,mean_of_seed_bootstrap_intervals
hust,umich_to_hust,pls,100,1151.1220356764848,34.88177253630021,124.80835243285897,6.853976039142309,-17.805178596679617,1.2536629400451833,5,1086.166100320415,1216.9032848385868,120.35067409172373,129.22229373063715,-24.699715305766667,-13.709489820687045,1086.166100320415,1216.9032848385868,120.35067409172373,129.22229373063715,-24.699715305766667,-13.709489820687045,mean_of_seed_bootstrap_intervals
hust,umich_to_hust,random_forest,100,1154.3561588838725,19.032554472932414,124.75467037431697,3.424172483056495,-17.765875541614847,0.6054454174221412,5,1092.811551007993,1216.188366891456,121.82077778684399,127.57751970742925,-24.556074760110647,-13.718368910190339,1092.811551007993,1216.188366891456,121.82077778684399,127.57751970742925,-24.556074760110647,-13.718368910190339,mean_of_seed_bootstrap_intervals
