dataset,experiment,model,n_cycles,MAE_mean,MAE_std,SMAPE_mean,SMAPE_std,R2_mean,R2_std,n_seeds,MAE_seed_boot_mean_ci95_lower,MAE_seed_boot_mean_ci95_upper,SMAPE_seed_boot_mean_ci95_lower,SMAPE_seed_boot_mean_ci95_upper,R2_seed_boot_mean_ci95_lower,R2_seed_boot_mean_ci95_upper,MAE_ci95_lower,MAE_ci95_upper,SMAPE_ci95_lower,SMAPE_ci95_upper,R2_ci95_lower,R2_ci95_upper,ci95_method
umich,matr_to_umich,elastic_net,100,713.7512585979224,210.44252407788807,81.26251747571389,7.731612468871304,-551.1546564626949,394.49883798369046,5,509.2335197256974,950.2106254953003,67.00542795488431,95.56661055640294,-1217.980127056951,-246.04486106526747,509.2335197256974,950.2106254953003,67.00542795488431,95.56661055640294,-1217.980127056951,-246.04486106526747,mean_of_seed_bootstrap_intervals
umich,matr_to_umich,pls,100,850.3439890016314,385.5075387651238,84.0593227256315,7.076333390995857,-897.0988886115149,930.4530200145674,5,595.67549033725,1138.9166457196138,68.87998570192671,98.91244915773157,-1735.023969801378,-427.03085654209417,595.67549033725,1138.9166457196138,68.87998570192671,98.91244915773157,-1735.023969801378,-427.03085654209417,mean_of_seed_bootstrap_intervals
umich,matr_to_umich,random_forest,100,237.89690885695828,102.6368970844768,49.93541563169178,17.165437108211073,-35.539928238155106,24.182771073635777,5,207.33065972935998,270.89108133925504,44.29530687661075,55.742020077161854,-60.395135311893725,-22.800724904735574,207.33065972935998,270.89108133925504,44.29530687661075,55.742020077161854,-60.395135311893725,-22.800724904735574,mean_of_seed_bootstrap_intervals
umich,matr_to_umich,xgboost,100,227.23153215957262,76.06949436210247,48.04969280072826,12.568913960701236,-34.04508718647493,19.74304788282968,5,191.62275598130995,266.8247090543131,41.76154790223684,54.67175458439708,-58.774215426034274,-21.11209018719307,191.62275598130995,266.8247090543131,41.76154790223684,54.67175458439708,-58.774215426034274,-21.11209018719307,mean_of_seed_bootstrap_intervals
umich,matr_to_umich,catboost,100,243.31194960453195,60.95207694541593,52.48016018850298,9.94283784627193,-32.868804525531914,14.597582325362865,5,213.64009488155597,273.17475971595934,46.959707130699485,58.051831969045985,-54.640648173260864,-21.78245552242927,213.64009488155597,273.17475971595934,46.959707130699485,58.051831969045985,-54.640648173260864,-21.78245552242927,mean_of_seed_bootstrap_intervals
umich,matr_to_umich,gaussian_process,100,331.38963725536604,36.34058282737896,63.722760145345,3.9579775730217914,-63.31425217679053,18.67172705391223,5,281.8801588135867,377.1900539510079,55.19858732732911,71.54423095938361,-108.08213398560972,-41.22252982307912,281.8801588135867,377.1900539510079,55.19858732732911,71.54423095938361,-108.08213398560972,-41.22252982307912,mean_of_seed_bootstrap_intervals
umich,matr_to_umich,stacking,100,237.28985511966866,66.32684199321513,50.39692441187694,10.3851741353458,-34.50958172037376,17.349640649889142,5,199.87591417477748,275.37444727385184,43.718761577000166,57.07146662091541,-58.166411615961536,-22.285045383086498,199.87591417477748,275.37444727385184,43.718761577000166,57.07146662091541,-58.166411615961536,-22.285045383086498,mean_of_seed_bootstrap_intervals
matr,umich_to_matr,elastic_net,100,469.5411554865239,25.446773192224654,77.40377069792841,9.9041025723493,-1.6795469700645924,0.2642921003698291,5,410.26241192302206,532.7241191093124,70.97168712262366,83.79400056173435,-2.237288509085182,-1.315053921972578,410.26241192302206,532.7241191093124,70.97168712262366,83.79400056173435,-2.237288509085182,-1.315053921972578,mean_of_seed_bootstrap_intervals
matr,umich_to_matr,pls,100,481.35035095668644,51.16373820205448,82.2830794905457,15.264017232085857,-1.828700210841673,0.414982384731338,5,422.6936700303252,545.7173131680061,75.4680683070004,89.43236588067744,-2.4451317561174672,-1.4277382138921306,422.6936700303252,545.7173131680061,75.4680683070004,89.43236588067744,-2.4451317561174672,-1.4277382138921306,mean_of_seed_bootstrap_intervals
matr,umich_to_matr,random_forest,100,426.48391312119674,19.718604936703702,65.1612011493647,4.737425573019543,-1.330702207000373,0.13755250083033566,5,370.1778755652379,487.9981688804088,59.4577937717677,71.01444862265768,-1.7739740370982762,-1.036467253465518,370.1778755652379,487.9981688804088,59.4577937717677,71.01444862265768,-1.7739740370982762,-1.036467253465518,mean_of_seed_bootstrap_intervals
