dataset,experiment,model,n_cycles,MAE_mean,MAE_std,SMAPE_mean,SMAPE_std,R2_mean,R2_std,n_seeds,MAE_seed_boot_mean_ci95_lower,MAE_seed_boot_mean_ci95_upper,SMAPE_seed_boot_mean_ci95_lower,SMAPE_seed_boot_mean_ci95_upper,R2_seed_boot_mean_ci95_lower,R2_seed_boot_mean_ci95_upper,MAE_ci95_lower,MAE_ci95_upper,SMAPE_ci95_lower,SMAPE_ci95_upper,R2_ci95_lower,R2_ci95_upper,ci95_method
umich,sandia_to_umich,elastic_net,100,53657.77322284815,96448.96427773831,145.9675004859042,18.133568139548455,-197063206.28997633,394059551.94406474,5,4879.550701510937,147743.53991994192,130.20087509752005,160.74242911345385,-768754457.4516357,-54187.36753785775,4879.550701510937,147743.53991994192,130.20087509752005,160.74242911345385,-768754457.4516357,-54187.36753785775,mean_of_seed_bootstrap_intervals
umich,sandia_to_umich,pls,100,26128.32898366155,16360.04867428973,159.86067032917973,3.53154547784456,-9593598.839221885,15321962.539914919,5,7941.383572023469,59000.23825800807,145.1126430978583,173.09923367027176,-36935351.671482086,-121712.26354309544,7941.383572023469,59000.23825800807,145.1126430978583,173.09923367027176,-36935351.671482086,-121712.26354309544,mean_of_seed_bootstrap_intervals
umich,sandia_to_umich,random_forest,100,1867.8850260183985,243.27605040484892,146.64805455329065,5.647817153742911,-1697.5138683979535,403.7428814645888,5,1789.0503556844117,1944.818913876808,144.07721309333266,149.33162731794823,-2815.2276370363757,-1173.0157493310794,1789.0503556844117,1944.818913876808,144.07721309333266,149.33162731794823,-2815.2276370363757,-1173.0157493310794,mean_of_seed_bootstrap_intervals
umich,sandia_to_umich,xgboost,100,2197.9248214606587,149.61774463323889,151.70361331080943,3.095052372004585,-2406.1740140957527,283.1106412253627,5,2037.120018767118,2351.2178413515885,147.92857990055631,155.3319646802798,-3994.657237030354,-1610.307115532134,2037.120018767118,2351.2178413515885,147.92857990055631,155.3319646802798,-3994.657237030354,-1610.307115532134,mean_of_seed_bootstrap_intervals
umich,sandia_to_umich,catboost,100,441.6041710591535,171.8587703686706,72.96731439639123,13.997638927369437,-137.2274706731971,123.51137579916077,5,369.2208620550543,515.7816497279111,64.55977321582056,81.58883350754607,-238.75400871075712,-87.77203574742657,369.2208620550543,515.7816497279111,64.55977321582056,81.58883350754607,-238.75400871075712,-87.77203574742657,mean_of_seed_bootstrap_intervals
umich,sandia_to_umich,gaussian_process,100,367.68486083514,257.5827265233613,51.53573765237623,25.503457857381907,-173.9068512211855,168.66538344958963,5,270.7596355190923,471.99338735956263,40.8016572653125,62.675920084055655,-315.385791389204,-98.75507673088535,270.7596355190923,471.99338735956263,40.8016572653125,62.675920084055655,-315.385791389204,-98.75507673088535,mean_of_seed_bootstrap_intervals
umich,sandia_to_umich,stacking,100,2076.551165970949,230.9917253430264,150.4304494909541,4.396165621402657,-2112.6480224313827,446.51339564182547,5,1962.6197868069262,2186.5290094864936,147.6040170524914,153.2970235005236,-3484.4189033188195,-1446.2119535899633,1962.6197868069262,2186.5290094864936,147.6040170524914,153.2970235005236,-3484.4189033188195,-1446.2119535899633,mean_of_seed_bootstrap_intervals
sandia,umich_to_sandia,elastic_net,100,602.959282184396,31.937018634400747,77.52248976981394,26.758912751982336,-0.1777559883704008,0.03400106087922716,5,347.1476326546484,902.8992854913301,63.20076257566027,92.75629078366578,-0.3690796374179234,-0.0562080251149341,347.1476326546484,902.8992854913301,63.20076257566027,92.75629078366578,-0.3690796374179234,-0.0562080251149341,mean_of_seed_bootstrap_intervals
sandia,umich_to_sandia,pls,100,655.1972952257616,23.055652688478137,134.79708845443446,23.068790541946644,-0.20019109998342882,0.024369612879150314,5,405.3107404084376,947.0470185341228,124.40091858709495,145.1295209449338,-0.3912641807636322,-0.08831660868152828,405.3107404084376,947.0470185341228,124.40091858709495,145.1295209449338,-0.3912641807636322,-0.08831660868152828,mean_of_seed_bootstrap_intervals
sandia,umich_to_sandia,random_forest,100,581.7937376261075,1.06037736187184,62.32466882067913,0.2920825379627213,-0.16792078522732093,0.009413388470596327,5,325.1694235613807,882.1709433191511,46.72462920173237,78.74901398634941,-0.3579965027944206,-0.044351602749079365,325.1694235613807,882.1709433191511,46.72462920173237,78.74901398634941,-0.3579965027944206,-0.044351602749079365,mean_of_seed_bootstrap_intervals
