experiment,scenario,source,target,model,n_cycles,seed,train_cells,calibration_cells,test_cells,MAE,SMAPE,R2,best_epoch,epochs_run,best_val_loss,final_train_loss,prediction_log_lower,prediction_log_upper
matr_to_matr,within_split,matr,matr,numpy_1d_cnn,100,42,89,20,20,120.88522227185379,16.688334936217366,0.6984024343893103,68,148,0.23936746037844422,0.13338229891421627,5.5093883366279774,7.633369649679584
hust_to_hust,within_split,hust,hust,numpy_1d_cnn,100,42,53,12,12,301.86751710049475,20.782464669469977,-0.7630880780441858,64,144,1.0248537216155953,0.303408255480638,6.967909201801884,7.6128310304073565
sandia_to_sandia,within_split,sandia,sandia,numpy_1d_cnn,100,42,34,8,8,315.9413205685728,37.328470696906734,0.7827957149878512,145,225,0.19010396264656923,0.1853837604079021,3.8918202981106265,8.143807976771484
luh_to_luh,within_split,luh,luh,numpy_1d_cnn,100,42,74,16,16,97.84672827269483,12.985798220319525,0.792356845349648,412,492,0.043213152301975054,0.01774509984266988,4.127134385045092,7.387090235656757
matr_to_hust,naive_cross,matr,hust,numpy_1d_cnn,100,42,89,20,77,660.6222355933221,62.72092608325257,-7.7509032003914005,68,148,0.23936746037844422,0.13338229891421627,5.5093883366279774,7.633369649679584
matr_to_sandia,naive_cross,matr,sandia,numpy_1d_cnn,100,42,89,20,50,1355.9100512261016,122.24581660776049,-0.8705893872047277,68,148,0.23936746037844422,0.13338229891421627,5.5093883366279774,7.633369649679584
matr_to_luh,naive_cross,matr,luh,numpy_1d_cnn,100,42,89,20,106,1230.692023041705,109.44840866357579,-10.270345251849703,68,148,0.23936746037844422,0.13338229891421627,5.5093883366279774,7.633369649679584
hust_to_matr,naive_cross,hust,matr,numpy_1d_cnn,100,42,53,12,129,785.2988110448181,72.81408676425703,-4.493675781272832,64,144,1.0248537216155953,0.303408255480638,6.967909201801884,7.6128310304073565
hust_to_sandia,naive_cross,hust,sandia,numpy_1d_cnn,100,42,53,12,50,1144.351836233287,123.22375835978112,-0.22556745423934466,64,144,1.0248537216155953,0.303408255480638,6.967909201801884,7.6128310304073565
hust_to_luh,naive_cross,hust,luh,numpy_1d_cnn,100,42,53,12,106,572.1037735849056,83.08933941040746,-1.5317287940418645,64,144,1.0248537216155953,0.303408255480638,6.967909201801884,7.6128310304073565
sandia_to_matr,naive_cross,sandia,matr,numpy_1d_cnn,100,42,34,8,129,2515.1645369512366,125.82114647061992,-49.66660770041985,145,225,0.19010396264656923,0.1853837604079021,3.8918202981106265,8.143807976771484
sandia_to_hust,naive_cross,sandia,hust,numpy_1d_cnn,100,42,34,8,77,1367.8363768642582,61.90341372184606,-28.319455856508,145,225,0.19010396264656923,0.1853837604079021,3.8918202981106265,8.143807976771484
sandia_to_luh,naive_cross,sandia,luh,numpy_1d_cnn,100,42,34,8,106,251.28066526190935,53.54835286076028,0.30119193945746725,145,225,0.19010396264656923,0.1853837604079021,3.8918202981106265,8.143807976771484
luh_to_matr,naive_cross,luh,matr,numpy_1d_cnn,100,42,74,16,129,797.2632864320583,73.00759413127437,-4.723599013276764,412,492,0.043213152301975054,0.01774509984266988,4.127134385045092,7.387090235656757
