scenario,experiment,source,target,model,n_cycles,MAE_mean,MAE_std,SMAPE_mean,SMAPE_std,R2_mean,R2_std,train_cells_mean,calibration_cells_mean,test_cells_mean,best_epoch_mean,n_runs,MAE_pooled_ci95_lower,MAE_pooled_ci95_upper,SMAPE_pooled_ci95_lower,SMAPE_pooled_ci95_upper,R2_pooled_ci95_lower,R2_pooled_ci95_upper,pooled_prediction_rows,pooled_distinct_cells
naive_cross,hust_to_luh,hust,luh,numpy_1d_cnn,100,688.4941708283175,301.28334709841033,88.01037996481003,13.491466297495641,-3.034950227488265,3.7057498337475594,53.0,12.0,106.0,45.0,5,651.5098185041949,726.7478693837274,83.3852306293667,92.88490386563215,-3.7585019287780947,-2.46170844601854,530,106
naive_cross,hust_to_matr,hust,matr,numpy_1d_cnn,100,737.7853306909162,37.5810123630807,70.17063684737647,2.1139296333636324,-3.889995031464264,0.4839091983228732,53.0,12.0,129.0,45.0,5,713.2220167666045,759.9081739948966,67.43812269955421,72.73536661341777,-4.842507476426332,-3.178020867102982,645,129
naive_cross,hust_to_sandia,hust,sandia,numpy_1d_cnn,100,1152.0289875261592,285.9420163487616,121.63400525751817,11.44676384556296,-0.320132905448831,0.5358051794192601,53.0,12.0,50.0,45.0,5,1095.8352283933114,1206.7730691196575,116.70868152355753,126.19406208354468,-0.6243239732661947,-0.11977030012905515,250,50
naive_cross,luh_to_hust,luh,hust,numpy_1d_cnn,100,406.20535613579545,232.25097982251842,33.98870973793095,25.374811521673497,-2.9809658462874338,4.2492037402056555,74.0,16.0,77.0,341.2,5,369.99092267077634,443.30413704621844,30.24646526629068,37.7622029912644,-3.8212522646153686,-2.270376761127048,385,77
naive_cross,luh_to_matr,luh,matr,numpy_1d_cnn,100,694.0054462684768,250.60142375521426,66.19662733698264,18.52211681099357,-3.8647421505230497,2.148641467439245,74.0,16.0,129.0,341.2,5,664.2907975774328,723.0613917198723,63.429708169565316,68.8867180662973,-4.781387078907239,-3.139574941445031,645,129
naive_cross,luh_to_sandia,luh,sandia,numpy_1d_cnn,100,493.86606978096114,55.64424650251494,62.77226631157449,7.544223085244323,0.3516222407114455,0.19787825195923245,74.0,16.0,50.0,341.2,5,409.2044222231433,588.8890494594475,57.028915073925006,68.34391186352022,0.2502938044108585,0.44647202797103713,250,50
naive_cross,matr_to_hust,matr,hust,numpy_1d_cnn,100,758.38021996817,78.9185110121474,70.47615553107816,5.582481653864591,-9.153240365927251,1.3236568330781293,89.0,20.0,77.0,72.4,5,715.8661923917705,801.3464394489719,65.72807004625898,75.05139724750047,-10.74979141490688,-7.7006044285505135,385,77
naive_cross,matr_to_luh,matr,luh,numpy_1d_cnn,100,722.291510098097,550.473719406134,81.34527541298375,30.38190166339041,-4.600245168055193,6.206144809691375,89.0,20.0,106.0,72.4,5,669.2525140491612,775.5167689943711,77.31052031688978,85.81786123026832,-5.603493240045763,-3.771156941779483,530,106
naive_cross,matr_to_sandia,matr,sandia,numpy_1d_cnn,100,1066.9978098300471,314.1225572571241,103.99423024421928,19.23097761818821,-0.4076464051045637,0.5055300381316731,89.0,20.0,50.0,72.4,5,982.2770401747151,1153.3958635256786,98.0213518878366,110.08419028225187,-0.8200251884107645,-0.15908266938689727,250,50
naive_cross,sandia_to_hust,sandia,hust,numpy_1d_cnn,100,1778.3621648220214,235.82736555215817,74.93167298200812,7.421623282090884,-43.47847810786622,8.85930624102432,34.0,8.0,77.0,139.8,5,1735.0637055426917,1821.9233758736668,73.03553918098851,76.77735566683637,-49.269671214353195,-38.12797093880929,385,77
naive_cross,sandia_to_luh,sandia,luh,numpy_1d_cnn,100,241.94114532513845,10.445474279261378,47.673583647011924,6.2280807358042,0.2860849467630483,0.06094235811527461,34.0,8.0,106.0,139.8,5,221.64561650847352,261.4751632180652,44.99765705540917,50.25835198476768,0.20683867427649613,0.3547296352178666,530,106
naive_cross,sandia_to_matr,sandia,matr,numpy_1d_cnn,100,2538.895993945914,40.398761937881524,125.62367960338574,0.8078204477336097,-50.42457339727101,1.516965616105106,34.0,8.0,129.0,139.8,5,2498.1268040133136,2578.593829679426,123.54956660431525,127.6313280818087,-60.055397510706385,-43.1546229852541,645,129
within_split,hust_to_hust,hust,hust,numpy_1d_cnn,100,265.02429187187533,31.709121590495826,18.12854345878538,1.8964402629801334,-0.40684942976992505,0.3765429176915551,53.0,12.0,12.0,45.0,5,219.68253725763935,311.5261283705581,14.991530454914207,21.305825090984783,-0.7886999861638274,-0.12679860800362758,60,43
within_split,luh_to_luh,luh,luh,numpy_1d_cnn,100,91.4163621670518,13.489554474857297,13.069617802062425,1.3510318628977118,0.8139784814338634,0.04745987967344061,74.0,16.0,16.0,341.2,5,66.12850595539886,121.48325299776243,10.549128283427303,16.057160825232963,0.693761578452395,0.8951942295396705,80,53
within_split,matr_to_matr,matr,matr,numpy_1d_cnn,100,150.59807638905926,35.79294118476102,20.10465896114142,5.113324882238042,0.6125399614043844,0.14044232052937308,89.0,20.0,20.0,72.4,5,119.16317182962233,185.73685726294067,16.915629669090038,23.523704710437677,0.4587774247781762,0.747767820412962,100,75
within_split,sandia_to_sandia,sandia,sandia,numpy_1d_cnn,100,222.0484026344131,192.6351446812299,35.894658874704376,11.599315135418037,0.7323741634813212,0.4340996553132978,34.0,8.0,8.0,139.8,5,105.4124539312489,394.13103528143785,27.211021740119147,45.525384288511916,0.3364741939783152,0.9497070232675227,40,31
