experiment,scenario,source,target,model,n_cycles,seed,train_cells,calibration_cells,test_cells,MAE,SMAPE,R2,y_mean_log,y_std_log,log_lower,log_upper,best_filters,best_learning_rate,best_epoch,epochs_run,best_val_loss,final_train_loss
hust_to_luh,naive_cross,hust,luh,pytorch_1d_cnn,100,1011,53,12,106,587.2160627477793,85.32421454282574,-1.5242156564317062,7.291066646575928,0.1885673850774765,6.836259365081787,7.612831115722656,16,0.01,19,79,0.7851438522338867,0.37437403202056885
hust_to_luh,naive_cross,hust,luh,pytorch_1d_cnn,100,123,53,12,106,431.2358211088722,73.6037428075766,-0.4413542532054928,7.280747890472412,0.19897635281085968,6.72022008895874,7.612831115722656,32,0.01,35,95,0.6329073905944824,0.2555080056190491
hust_to_luh,naive_cross,hust,luh,pytorch_1d_cnn,100,42,53,12,106,659.3625710804064,89.3393785343916,-2.1642665644708807,7.299964904785156,0.18443509936332703,6.967909336090088,7.612831115722656,8,0.01,11,71,1.3238972425460815,0.7365113496780396
hust_to_luh,naive_cross,hust,luh,pytorch_1d_cnn,100,456,53,12,106,632.6464627438672,88.55098629006488,-1.8549453929927364,7.2845354080200195,0.19942925870418549,6.72022008895874,7.612831115722656,32,0.003,7,67,0.6022362112998962,0.8564230799674988
hust_to_luh,naive_cross,hust,luh,pytorch_1d_cnn,100,789,53,12,106,849.7606500627359,98.55511054624156,-4.150583475947025,7.282606601715088,0.19414253532886505,6.72022008895874,7.612831115722656,8,0.01,1,61,0.799713134765625,0.9698051810264587
hust_to_matr,naive_cross,hust,matr,pytorch_1d_cnn,100,1011,53,12,129,732.6665827367217,69.11619099769085,-4.078861576739194,7.291066646575928,0.1885673850774765,6.836259365081787,7.612831115722656,16,0.01,19,79,0.7851438522338867,0.37437403202056885
hust_to_matr,naive_cross,hust,matr,pytorch_1d_cnn,100,123,53,12,129,738.0470076659009,70.2389906392268,-3.854323042520943,7.280747890472412,0.19897635281085968,6.72022008895874,7.612831115722656,32,0.01,35,95,0.6329073905944824,0.2555080056190491
hust_to_matr,naive_cross,hust,matr,pytorch_1d_cnn,100,42,53,12,129,723.1692444395525,69.2405432857593,-3.7150591344800183,7.299964904785156,0.18443509936332703,6.967909336090088,7.612831115722656,8,0.01,11,71,1.3238972425460815,0.7365113496780396
hust_to_matr,naive_cross,hust,matr,pytorch_1d_cnn,100,456,53,12,129,727.7834809885686,69.9024390956223,-3.665340460187421,7.2845354080200195,0.19942925870418549,6.72022008895874,7.612831115722656,32,0.003,7,67,0.6022362112998962,0.8564230799674988
hust_to_matr,naive_cross,hust,matr,pytorch_1d_cnn,100,789,53,12,129,721.6623077951999,69.49938549853417,-3.612428354068914,7.282606601715088,0.19414253532886505,6.72022008895874,7.612831115722656,8,0.01,1,61,0.799713134765625,0.9698051810264587
hust_to_sandia,naive_cross,hust,sandia,pytorch_1d_cnn,100,1011,53,12,50,1257.884189059889,125.87207019203322,-0.5355997204725935,7.291066646575928,0.1885673850774765,6.836259365081787,7.612831115722656,16,0.01,19,79,0.7851438522338867,0.37437403202056885
hust_to_sandia,naive_cross,hust,sandia,pytorch_1d_cnn,100,123,53,12,50,1096.9747009797418,116.74954919557948,-0.24995074425808328,7.280747890472412,0.19897635281085968,6.72022008895874,7.612831115722656,32,0.01,35,95,0.6329073905944824,0.2555080056190491
hust_to_sandia,naive_cross,hust,sandia,pytorch_1d_cnn,100,42,53,12,50,1176.0546384808126,124.35692827252574,-0.32382114775725923,7.299964904785156,0.18443509936332703,6.967909336090088,7.612831115722656,8,0.01,11,71,1.3238972425460815,0.7365113496780396
hust_to_sandia,naive_cross,hust,sandia,pytorch_1d_cnn,100,456,53,12,50,1030.3209826512507,119.91123506564007,-0.009575373478367899,7.2845354080200195,0.19942925870418549,6.72022008895874,7.612831115722656,32,0.003,7,67,0.6022362112998962,0.8564230799674988
hust_to_sandia,naive_cross,hust,sandia,pytorch_1d_cnn,100,789,53,12,50,1213.6543513041731,127.08613824203634,-0.32480919422821386,7.282606601715088,0.19414253532886505,6.72022008895874,7.612831115722656,8,0.01,1,61,0.799713134765625,0.9698051810264587
luh_to_hust,naive_cross,luh,hust,pytorch_1d_cnn,100,1011,74,16,77,246.18635094360718,16.672353883748364,-0.2060232013970058,6.0122599601745605,0.8932117819786072,4.094344615936279,7.38709020614624,32,0.01,65,125,0.045805007219314575,0.07005387544631958
luh_to_hust,naive_cross,luh,hust,pytorch_1d_cnn,100,123,74,16,77,246.35063387679097,16.681521538846365,-0.20943275992758714,5.986907005310059,0.9334043264389038,4.094344615936279,7.38709020614624,32,0.003,117,177,0.020940396934747696,0.0627560019493103
luh_to_hust,naive_cross,luh,hust,pytorch_1d_cnn,100,42,74,16,77,244.08042787266453,16.768132491244234,-0.40638692512021946,6.007865905761719,0.9053627848625183,4.127134323120117,7.38709020614624,8,0.01,11,71,0.09430023282766342,0.16118484735488892
luh_to_hust,naive_cross,luh,hust,pytorch_1d_cnn,100,456,74,16,77,225.2136159607241,15.269998574212462,-0.00871153624183596,5.982973098754883,0.909216582775116,4.094344615936279,7.38709020614624,32,0.01,167,227,0.033145517110824585,0.04063117876648903
luh_to_hust,naive_cross,luh,hust,pytorch_1d_cnn,100,789,74,16,77,229.9013311783841,15.631282862546714,-0.0062663168851733175,6.005956172943115,0.9016876220703125,4.127134323120117,7.38709020614624,32,0.01,373,400,0.04714612662792206,0.020293103531003
luh_to_matr,naive_cross,luh,matr,pytorch_1d_cnn,100,1011,74,16,129,844.478439905823,75.85810738287626,-5.252042679678183,6.0122599601745605,0.8932117819786072,4.094344615936279,7.38709020614624,32,0.01,65,125,0.045805007219314575,0.07005387544631958
luh_to_matr,naive_cross,luh,matr,pytorch_1d_cnn,100,123,74,16,129,840.9810405985821,75.63198033860596,-5.196665993155252,5.986907005310059,0.9334043264389038,4.094344615936279,7.38709020614624,32,0.003,117,177,0.020940396934747696,0.0627560019493103
luh_to_matr,naive_cross,luh,matr,pytorch_1d_cnn,100,42,74,16,129,766.4019713325907,71.67821744487021,-4.252696167264518,6.007865905761719,0.9053627848625183,4.127134323120117,7.38709020614624,8,0.01,11,71,0.09430023282766342,0.16118484735488892
luh_to_matr,naive_cross,luh,matr,pytorch_1d_cnn,100,456,74,16,129,811.1667288964891,73.88906879813698,-4.9583805233637275,5.982973098754883,0.909216582775116,4.094344615936279,7.38709020614624,32,0.01,167,227,0.033145517110824585,0.04063117876648903
