scenario,experiment,source,target,model,n_cycles,MAE_mean,MAE_std,SMAPE_mean,SMAPE_std,R2_mean,R2_std,train_cells_mean,calibration_cells_mean,test_cells_mean,best_epoch_mean,n_runs,MAE_cluster_ci95_lower,MAE_cluster_ci95_upper,SMAPE_cluster_ci95_lower,SMAPE_cluster_ci95_upper,R2_cluster_ci95_lower,R2_cluster_ci95_upper,bootstrap_prediction_rows,bootstrap_distinct_cells
naive_cross,hust_to_luh,hust,luh,pytorch_1d_cnn,100,632.0443135487322,150.40002964522765,87.07468654422007,8.99498337129646,-2.0270730686095684,1.3532475919615665,53.0,12.0,106.0,14.6,5,578.9787267710021,680.0300710727124,77.26251938054757,96.78086437467466,-3.1928326693054143,-1.3173578354762534,530,106
naive_cross,hust_to_matr,hust,matr,pytorch_1d_cnn,100,728.6657247251887,6.783303632423356,69.59950990336668,0.46722071888992395,-3.785202513599298,0.18718387254677057,53.0,12.0,129.0,14.6,5,678.0361197390775,777.1857427143547,63.66505539372115,75.39045569756308,-6.1684917081906585,-2.4866115962391993,645,129
naive_cross,hust_to_sandia,hust,sandia,pytorch_1d_cnn,100,1154.9777724951734,91.35176149110687,122.79518419356297,4.335476437577468,-0.28875123603890357,0.18901646074004877,53.0,12.0,50.0,14.6,5,1065.453678104022,1247.1266533985113,111.05211603766249,132.9578738563188,-1.3245982376220962,0.012456444618909237,250,50
naive_cross,luh_to_hust,luh,hust,pytorch_1d_cnn,100,238.3464719664342,10.027473141265721,16.204657870119625,0.7010686605287267,-0.16736414791436433,0.1669725583059358,74.0,16.0,77.0,146.6,5,207.56476185866285,272.9119640222871,13.944075115349222,18.55586709044433,-0.36743805768177706,-0.0570663430006959,385,77
naive_cross,luh_to_matr,luh,matr,pytorch_1d_cnn,100,739.590359292805,173.1657035681306,69.28094816360992,11.268584346724802,-4.186129226100862,1.6775688853401605,74.0,16.0,129.0,146.6,5,691.5048305144375,788.0243171012047,64.00616989355255,74.82007143953372,-6.849569189879176,-2.8309577335658296,645,129
naive_cross,luh_to_sandia,luh,sandia,pytorch_1d_cnn,100,587.197879873461,152.3242096207766,64.20610657286302,16.256657050409633,0.3142310001944962,0.19338648945854503,74.0,16.0,50.0,146.6,5,425.9768777729412,759.206218314942,54.59478217856241,74.79984780644332,0.003839721890361999,0.4223027732918857,250,50
naive_cross,matr_to_hust,matr,hust,pytorch_1d_cnn,100,642.6774390088783,267.07780593068685,55.20194137889244,29.176563607156673,-6.208953750387446,4.485367731560104,89.0,20.0,77.0,228.8,5,602.75165974449,684.5337147175675,52.593832951044774,57.773885767031814,-8.981299140706138,-4.649891915869197,385,77
naive_cross,matr_to_luh,matr,luh,pytorch_1d_cnn,100,464.8608668638153,439.44182730484596,66.21277313421088,25.74632386784447,-1.8309724640127878,4.768256748795193,89.0,20.0,106.0,228.8,5,435.36309889348394,497.22690581294455,59.791609084227055,73.1220930906222,-2.755947001435648,-1.244387732678175,530,106
naive_cross,matr_to_sandia,matr,sandia,pytorch_1d_cnn,100,800.6092843708036,267.63229651007026,95.29168663901466,13.326809449459608,0.00156353151314772,0.48089862492860325,89.0,20.0,50.0,228.8,5,667.7809749043179,952.5871652495376,90.29448904317438,101.04353291954085,-0.4404868449051893,0.1084959075362247,250,50
naive_cross,sandia_to_hust,sandia,hust,pytorch_1d_cnn,100,1624.8468659717473,238.37629341884534,70.66680228916431,7.114843472012088,-36.815940516305986,9.558840972434751,34.0,8.0,77.0,79.4,5,1544.4108941638867,1705.1931110028036,66.81710639740388,74.43289634323018,-52.00948375092151,-28.018872315820026,385,77
naive_cross,sandia_to_luh,sandia,luh,pytorch_1d_cnn,100,228.6062911593856,49.59285707857295,44.29446294957754,10.347747343042721,0.3434104747393715,0.29106242164442814,34.0,8.0,106.0,79.4,5,189.88917682316048,269.39886377437915,39.49562199201452,49.10300574987439,0.15593331478893951,0.4849957200755809,530,106
naive_cross,sandia_to_matr,sandia,matr,pytorch_1d_cnn,100,2474.56737387001,149.87861855350346,124.3210915539859,2.932344887114153,-47.80554226464189,5.638554705336321,34.0,8.0,129.0,79.4,5,2398.926514854588,2545.6692711349774,119.75228485397551,128.7044580318086,-72.88950909693465,-34.510900520633875,645,129
within_split,hust_to_hust,hust,hust,pytorch_1d_cnn,100,246.8979872636055,17.647622079661357,16.91618982796046,1.2361185773336245,-0.1743987459542881,0.11890328803583834,53.0,12.0,12.0,14.6,5,203.59793424913545,298.3478189402924,13.616125394607245,20.881664239801196,-0.43971187067759604,-0.0280717536491729,60,43
within_split,luh_to_luh,luh,luh,pytorch_1d_cnn,100,117.59812430830398,9.112423571942623,18.83527823093696,2.767735613062889,0.7609938488252219,0.04605451251209334,74.0,16.0,16.0,146.6,5,86.10191893735718,155.54194958618598,14.903856768232218,22.87151558456211,0.6242485147967027,0.8567624711443144,80,53
within_split,matr_to_matr,matr,matr,pytorch_1d_cnn,100,196.32075222206808,39.07591164910035,25.01899087202836,3.555083509614264,0.30456534746942243,0.2904114939466245,89.0,20.0,20.0,228.8,5,145.88230610194847,250.11125193047297,19.27874767840901,30.885415657441328,-0.24975935299406601,0.5870621386582909,100,75
within_split,sandia_to_sandia,sandia,sandia,pytorch_1d_cnn,100,164.64976349714863,75.85438432925098,23.915193420491317,5.385718933176069,0.8808726629533584,0.08599667206792184,34.0,8.0,8.0,79.4,5,83.36506245901053,277.5215403045033,18.6229517621865,30.092818115262137,0.7544398185944939,0.9501142701126835,40,31
