direction,model,confidence_level,adapter_type,coverage_no_adapter,coverage_adapted,median_width_no_adapter,median_width_adapted,median_width_reduction_pct,finite_interval_fraction_no_adapter,finite_interval_fraction_adapted,MAE_no_adapter,MAE_adapted,MAE_reduction_pct,R2_no_adapter,R2_adapted,R2_mean_no_adapter,R2_mean_adapted,winkler_no_adapter,winkler_adapted,winkler_reduction_pct,short_life_coverage_adapted,long_life_coverage_adapted,short_long_coverage_gap_adapted
HUST -> LUH,random_forest,0.9,linear,0.9137209302325582,0.8957575757575758,2762.952085681918,1393.278517560001,49.572831002745055,1.0,1.0,803.3907291025347,353.20821916150567,56.03531303428488,-3.845473134455787,-0.0559159702390013,-3.948493736632056,-0.0884689270968644,2948.4811914415836,1736.0128570484137,41.12179307477165,0.9478787878787878,0.8436363636363636,0.1375757575757575
HUST -> LUH,random_forest,0.9,residual_mean,0.9137209302325582,0.9157575757575758,2762.952085681918,1470.6785251471642,46.771479217158074,1.0,1.0,803.3907291025347,368.1621861924656,54.17395635076117,-3.845473134455787,-0.1418857981171318,-3.948493736632056,-0.1593852639384281,2948.4811914415836,1691.213872255168,42.641184988251766,0.9475757575757576,0.8839393939393939,0.1012121212121211
HUST -> LUH,random_forest,0.95,linear,0.9531395348837208,0.9543939393939394,2894.806624604269,1737.7730562872405,39.969287014990144,1.0,1.0,803.3907291025348,353.20821916150567,56.0353130342849,-3.8454731344557778,-0.0559159702390002,-3.9484937366320567,-0.0884689270968644,3033.379607514093,2026.4621952797352,33.19457313354671,0.9851515151515152,0.9236363636363636,0.0699999999999999
HUST -> LUH,random_forest,0.95,residual_mean,0.9531395348837208,0.9574242424242424,2894.806624604269,1761.1153534917198,39.16293618636889,1.0,1.0,803.3907291025348,368.1621861924656,54.17395635076119,-3.8454731344557778,-0.1418857981171333,-3.9484937366320567,-0.1593852639384282,3033.379607514093,1989.4399596439716,34.41506777734449,0.98,0.9348484848484848,0.0639393939393939
HUST -> MATR,random_forest,0.9,linear,0.9138532110091744,0.8964044943820224,2314.852573013578,1320.8672171724063,42.93946696342555,1.0,1.0,794.1355789290967,277.16164661057087,65.09895111558566,-4.437777239585735,0.0193127860459869,-4.503147894858091,-0.0173069861350611,2402.445911487489,1818.25989658897,24.31630248594512,0.9506818181818182,0.8433333333333333,0.1211363636363636
HUST -> MATR,random_forest,0.9,residual_mean,0.9138532110091744,0.9146067415730336,2314.852573013578,1302.6913860536088,43.72465006021065,1.0,1.0,794.1355789290967,271.5874161039103,65.80087540339777,-4.437777239585735,0.0494449826193403,-4.503147894858091,-0.0018508794966052,2402.445911487489,1688.984056606848,29.697311871587427,0.9627272727272728,0.8675555555555556,0.1192121212121211
HUST -> MATR,random_forest,0.95,linear,0.950091743119266,0.9425842696629212,2407.087984832755,1732.5682417434584,28.02223048511301,1.0,1.0,794.1355789290965,277.16164661057087,65.09895111558566,-4.437777239585726,0.0193127860459872,-4.50314789485809,-0.0173069861350613,2515.0333198448584,2271.975557517062,9.664196510239053,0.985909090909091,0.9002222222222223,0.0856868686868686
HUST -> MATR,random_forest,0.95,residual_mean,0.950091743119266,0.962134831460674,2407.087984832755,1821.7504635177456,24.317246606823918,1.0,1.0,794.1355789290965,271.58741610391024,65.80087540339777,-4.437777239585726,0.0494449826193407,-4.50314789485809,-0.001850879496605,2515.0333198448584,2134.331558275313,15.137046438535029,0.9861363636363636,0.9386666666666666,0.0568030303030302
HUST -> SANDIA,random_forest,0.9,linear,0.902,0.91,3181.449607380847,4280.760707696726,-34.55378006822794,1.0,1.0,1230.908369008412,800.8224086980674,34.940534254130604,-0.3375452450757502,0.0063876949713818,-0.4095598297542665,-4.408489618290968,3419.769939616484,4906.215598393741,-43.4662472921777,0.988,0.8320000000000001,0.1639999999999999
HUST -> SANDIA,random_forest,0.9,residual_mean,0.902,0.892,3181.449607380847,4184.746355549964,-31.53583655203922,1.0,1.0,1230.908369008412,785.8692667909198,36.1553397005501,-0.3375452450757502,0.0040796456469767,-0.4095598297542665,-6.385622522691133,3419.769939616484,5286.539494350104,-54.58757716733928,0.988,0.7959999999999999,0.1999999999999999
