scenario_label,protocol,direction,model,confidence_level,k_target,k_adapter,adapter_type,coverage_mean,coverage_wilson95_lower_mean,coverage_wilson95_upper_mean,finite_interval_fraction_mean,coverage_short_life_mean,coverage_long_life_mean,short_long_coverage_gap_mean,median_width_mean,winkler_mean_mean,MAE_median,MAE_mean,SMAPE_median,SMAPE_mean,R2_median,R2_mean,finite_q_mean,n_runs
Linear target-adapted CP,Linear-adapted CP,HUST -> LUH,random_forest,0.9,5.0,5.0,linear,0.7894791666666667,0.7069459044671637,0.8497366666460696,1.0,0.838125,0.7408333333333332,0.2306249999999999,1766.3869464674149,2781.4933885209925,375.5688774268363,477.8144201890487,73.05571335984078,75.99692360082246,-0.3768726204369271,-8.794110021713847,0.0,100
Linear target-adapted CP,Linear-adapted CP,HUST -> LUH,random_forest,0.9,10.0,10.0,linear,0.9122093023255816,0.8404789791325389,0.9486889721749132,1.0,0.9493023255813954,0.8751162790697674,0.1267441860465116,1651.26516246937,1957.8699265173725,354.9056966227452,364.8369621220885,70.12102403424828,71.04351282292528,-0.1503242462001799,-0.2335753676724525,1.0,100
Linear target-adapted CP,Linear-adapted CP,HUST -> LUH,random_forest,0.9,15.0,15.0,linear,0.9306578947368422,0.8581823052784019,0.9616924936904944,1.0,0.9589473684210524,0.9023684210526316,0.1092105263157894,1701.4885983237973,1931.060744890554,352.5609711736764,357.9046827185843,68.27636322898815,69.50534679459379,-0.0722893458628793,-0.1399620709946354,1.0,100
Linear target-adapted CP,Linear-adapted CP,HUST -> LUH,random_forest,0.9,20.0,20.0,linear,0.8957575757575758,0.8040029116530483,0.9439768826138096,1.0,0.9478787878787878,0.8436363636363636,0.1375757575757575,1393.278517560001,1736.0128570484137,352.2541980275414,353.20821916150567,68.24742585936926,68.76443599446607,-0.0559159702390013,-0.0884689270968644,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,HUST -> LUH,random_forest,0.9,5.0,5.0,residual_mean,0.836875,0.7601014233421829,0.8877256493387082,1.0,0.88,0.79375,0.2066666666666666,1431.1938863613857,2047.9036243478972,372.15459742922167,386.4568154432888,73.36276534749172,77.93345702579045,-0.2111350773110495,-0.3411798125525355,0.0,100
Residual-mean target-adapted CP,Residual-adapted CP,HUST -> LUH,random_forest,0.9,10.0,10.0,residual_mean,0.916860465116279,0.8445861869075522,0.9534863393088696,1.0,0.9234883720930231,0.9102325581395349,0.105813953488372,1579.8947020697087,1802.9474564296384,372.41950026503537,375.220468708901,72.58118500705929,73.71243854210142,-0.1560620557895178,-0.2112798451860374,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,HUST -> LUH,random_forest,0.9,15.0,15.0,residual_mean,0.9409210526315788,0.8702013720624593,0.9692121480551,1.0,0.9615789473684212,0.9202631578947368,0.0692105263157894,1643.7625576397988,1808.4753354120112,364.3777630704881,367.1035509333997,72.0413048145954,71.88014393904263,-0.1379882682143932,-0.1562538047738803,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,HUST -> LUH,random_forest,0.9,20.0,20.0,residual_mean,0.9157575757575758,0.8281629962696901,0.957616695716626,1.0,0.9475757575757576,0.8839393939393939,0.1012121212121211,1470.6785251471642,1691.213872255168,370.1522782808596,368.1621861924656,72.23664763143535,72.58422502210378,-0.1418857981171318,-0.1593852639384281,1.0,100
"Target-domain CP, no adapter",Target CP,HUST -> LUH,random_forest,0.9,5.0,,none,0.8268316831683168,0.7504548669814786,0.8792578510846751,1.0,0.66,0.9903921568627452,0.3303921568627451,2496.5267948350524,3179.315671241327,778.7110296494319,803.8675590938261,94.59847626162376,95.21613073721842,-3.750150693774389,-3.9393302574356097,0.0,100
"Target-domain CP, no adapter",Target CP,HUST -> LUH,random_forest,0.9,10.0,,none,0.8966666666666667,0.8272427506182178,0.9355666163480262,1.0,0.7941666666666667,0.9991666666666668,0.2049999999999999,2704.8543269908864,3016.0817502763252,782.9031799347749,804.8501406528052,94.76065036421991,95.42110328170128,-3.8342898477012497,-3.978612560959492,1.0,100
"Target-domain CP, no adapter",Target CP,HUST -> LUH,random_forest,0.9,15.0,,none,0.9484615384615384,0.8858011617673158,0.9747929393241656,1.0,0.8957777777777778,1.0,0.1042222222222221,2871.28588155698,2951.8945172381123,787.1112725710456,804.7167473671316,95.14395699015928,95.48453325171457,-3.7753441747501624,-3.928720760356285,1.0,100
"Target-domain CP, no adapter",Target CP,HUST -> LUH,random_forest,0.9,20.0,,none,0.9137209302325582,0.8400178411672456,0.9520440969856214,1.0,0.8274418604651163,1.0,0.1725581395348837,2762.952085681918,2948.4811914415836,784.4405922888681,803.3907291025347,94.92837306822652,95.34875584436551,-3.845473134455787,-3.948493736632056,1.0,100
Linear target-adapted CP,Linear-adapted CP,HUST -> MATR,random_forest,0.9,5.0,5.0,linear,0.8015126050420168,0.7297287178614654,0.8544388806749919,1.0,0.8416949152542372,0.762,0.2010451977401129,1328.5478833599068,2464.4284068211764,314.4648667034411,344.8952857090029,42.73396287740416,47.61481747672426,-0.3166711030759723,-0.8530875720282477,0.0,100
Linear target-adapted CP,Linear-adapted CP,HUST -> MATR,random_forest,0.9,10.0,10.0,linear,0.9006422018348624,0.8370664875619379,0.9369398121863124,1.0,0.9333333333333332,0.8685454545454546,0.1161683501683501,1535.8763674999077,2001.1352036736616,295.7221870022923,309.2751640717681,39.79220257844436,42.12462873904304,-0.1245168601083337,-0.2594179543345455,1.0,100
Linear target-adapted CP,Linear-adapted CP,HUST -> MATR,random_forest,0.9,15.0,15.0,linear,0.9424242424242424,0.8819438801050268,0.969852671641017,1.0,0.979591836734694,0.906,0.0833142857142856,1638.8717251035769,1927.5722581326925,278.2878640416286,288.9263759804341,37.24470544770741,38.52560857391009,-0.0122528393350792,-0.1229122861724102,1.0,100
Linear target-adapted CP,Linear-adapted CP,HUST -> MATR,random_forest,0.9,20.0,20.0,linear,0.8964044943820224,0.8209594430826972,0.9390458486940446,1.0,0.9506818181818182,0.8433333333333333,0.1211363636363636,1320.8672171724063,1818.25989658897,277.025758425229,277.16164661057087,36.63765558007983,37.44297270713256,0.0193127860459869,-0.0173069861350611,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,HUST -> MATR,random_forest,0.9,5.0,5.0,residual_mean,0.8481512605042016,0.7802446085833747,0.8942833626363975,1.0,0.8928813559322033,0.8041666666666667,0.1615451977401129,1177.6076557685035,1875.6771395483345,276.25290751433295,292.2674500167952,35.72564903692046,37.87068052173024,0.0024247867607562,-0.1087119612315097,0.0,100
