scenario,source,target,calibration_domain,model,n_cycles,confidence_level,adapter_type,k_adapter,k_target,coverage_mean,coverage_std,coverage_gap_mean,coverage_gap_std,coverage_wilson95_lower_mean,coverage_wilson95_lower_std,coverage_wilson95_upper_mean,coverage_wilson95_upper_std,finite_interval_fraction_mean,finite_interval_fraction_std,mean_width_mean,mean_width_std,median_width_mean,median_width_std,winkler_mean_mean,winkler_mean_std,MAE_mean,MAE_std,SMAPE_mean,SMAPE_std,R2_mean,R2_std,q_hat_mean,q_hat_std,finite_q_mean,adapter_slope_mean,adapter_slope_std,adapter_intercept_mean,adapter_intercept_std,coverage_short_mean,coverage_short_std,coverage_mid_mean,coverage_mid_std,coverage_long_mean,coverage_long_std,coverage_short_life_mean,coverage_short_life_std,coverage_long_life_mean,coverage_long_life_std,coverage_short_life_wilson95_lower_mean,coverage_short_life_wilson95_lower_std,coverage_short_life_wilson95_upper_mean,coverage_short_life_wilson95_upper_std,coverage_long_life_wilson95_lower_mean,coverage_long_life_wilson95_lower_std,coverage_long_life_wilson95_upper_mean,coverage_long_life_wilson95_upper_std,short_long_coverage_gap_mean,short_long_coverage_gap_std,lifetime_split_threshold_mean,lifetime_split_threshold_std,n_train_mean,n_adapter_mean,n_calibration_mean,n_test_mean,n_short_life_mean,n_short_life_std,n_long_life_mean,n_long_life_std,n_runs,scenario_label,direction,rank_signal_class,adapter_class,raw_R2,pearson_r,linear_R2,scenario_short,regime_short,regime_order,source_cp_MAE,source_cp_coverage,scenario_order
cross_source_calibrated_cp,sandia,luh,sandia,xgboost,100,0.9,none,,,0.630188679245283,0.1537764787318865,0.269811320754717,0.1537764787318865,0.5393064305289774,0.1580807604318685,0.7119648134650995,0.1387609901428041,1.0,0.0,762.3934137543189,435.22758029961784,762.3934137543189,435.2275802996179,3333.3882202841405,887.0423649557453,323.09813839815314,36.92154567862961,61.21358841099702,8.41769499948991,-0.3258436922844231,0.3128300246686072,inf,,0.0,,,,,1.0,0.0,0.7314285714285714,0.2631054727593448,0.1485714285714285,0.218902643535748,0.9849056603773584,0.0246007637932175,0.2754716981132075,0.2906517883759734,0.9088245661287108,0.037575448067864,0.9954449770253602,0.0084437537447527,0.1997372216993117,0.2372461392283335,0.3815543127935504,0.3059332704814925,0.709433962264151,0.274915437336664,451.0,0.0,34.0,0.0,8.0,106.0,53.0,0.0,53.0,0.0,5,Naive source-calibrated cross CP,SANDIA -> LUH,strong_rank_signal,linear_recovers_predictive_transfer,0.4944713375776242,0.8621160025989422,0.7502426298028618,Source-calibrated,strong,0,323.09813839815314,0.630188679245283,0
cross_target_calibrated_cp,sandia,luh,luh,xgboost,100,0.9,none,,20.0,0.9132558139534884,0.0620467680178571,0.0490697674418604,0.0399390689210602,0.8383936528361008,0.0754153211776043,0.9527778278258694,0.0438001306324061,1.0,0.0,1871.528024013893,373.2684216852136,1871.528024013893,373.26842168521347,2260.032440888061,249.09468325199663,322.9864767668636,37.850892934218344,61.19276871383805,7.96868309786703,-0.3291621887918339,0.2825533350295123,935.7640120069464,186.63421084260673,1.0,,,,,1.0,0.0,1.0,0.0,0.7427586206896553,0.1840007603288176,1.0,0.0,0.8265116279069766,0.1240935360357142,0.9179901967742088,0.0,1.0,0.0,0.6964090839897351,0.1373599631127294,0.9030598631130506,0.0916762733717756,0.1734883720930232,0.1240935360357142,482.41,39.91938720405757,34.0,0.0,20.0,86.0,43.0,0.0,43.0,0.0,100,"Target-domain CP, no adapter",SANDIA -> LUH,strong_rank_signal,linear_recovers_predictive_transfer,0.4944713375776242,0.8621160025989422,0.7502426298028618,Target-domain,strong,0,323.09813839815314,0.630188679245283,1
cross_target_adapted_cp,sandia,luh,luh,xgboost,100,0.9,residual_mean,20.0,20.0,0.9048484848484848,0.0715572655670162,0.0570909090909091,0.0430336224830524,0.8149935073428438,0.0871016065360252,0.9501680586146768,0.048647143707832,1.0,0.0,1314.4011880205735,337.32426002778533,1314.4011880205735,337.3242600277854,1686.7082134085797,271.291002184801,298.25655380426105,42.085815527695274,60.471474114215646,6.955492267195497,0.1537379555558825,0.2171963193425909,657.2005940102869,168.6621300138927,1.0,1.0,0.0,282.1262258013528,87.61005140238859,0.981818181818182,0.0710669054518701,1.0,0.0,0.7327272727272727,0.1869433747449973,0.9878787878787878,0.0473779369679134,0.8218181818181819,0.1246289164966648,0.8792313984305133,0.058852782360802,0.9947839373007912,0.0269393538641956,0.6695479666073244,0.1399495833435403,0.9069764349744428,0.0841812800106169,0.1684848484848485,0.1193863101762457,476.89,58.21657492466896,34.0,20.0,20.0,66.0,33.0,0.0,33.0,0.0,100,Residual-mean target-adapted CP,SANDIA -> LUH,strong_rank_signal,linear_recovers_predictive_transfer,0.4944713375776242,0.8621160025989422,0.7502426298028618,Residual-adapted,strong,0,323.09813839815314,0.630188679245283,2
cross_source_calibrated_cp,luh,sandia,luh,gaussian_process,100,0.9,none,,,0.732,0.0975704873412037,0.1679999999999999,0.0975704873412037,0.598404009984584,0.099682300337556,0.8324907040175378,0.0815520594720284,1.0,0.0,622.8405289996994,100.38293395144753,622.8405289996994,100.3829339514474,9270.608411676383,172.49643003287864,625.4088106825964,2.6210552977761163,75.4684071953116,0.6790120096402514,-0.1102150929780295,0.0033887699720138,311.4202644998497,50.19146697572371,1.0,,,,,0.8111111111111111,0.2710291315033438,1.0,0.0,0.4117647058823529,0.0,0.8640000000000001,0.1951409746824074,0.6,0.0,0.7014060204389352,0.2103874041482064,0.9296300208774376,0.1289049967938161,0.40739457358967,0.0,0.7659669762225203,0.0,0.296,0.1252198067399882,282.0,0.0,74.0,0.0,16.0,50.0,25.0,0.0,25.0,0.0,5,Naive source-calibrated cross CP,LUH -> SANDIA,strong_rank_signal,linear_recovers_predictive_transfer,0.498719236814331,0.9131253584230612,0.8417995407093845,Source-calibrated,strong,0,625.4088106825964,0.732,0
cross_target_calibrated_cp,luh,sandia,sandia,gaussian_process,100,0.9,none,,20.0,0.9106666666666666,0.0718334524673443,0.0559999999999999,0.0459052848151696,0.7631101611401203,0.0894390834087466,0.9649908385996602,0.0391717495299428,1.0,0.0,5328.517658839537,818.6040308319875,5328.517658839535,818.6040308319874,6119.730722824697,1269.9863241681703,612.4293502495884,117.6889925968506,75.22968463627653,5.768146722299926,-0.1099169786674599,0.0564033734299128,2664.2588294197676,409.3020154159937,1.0,,,,,0.997090909090909,0.021885418285173,1.0,0.0,0.7338888888888888,0.2046983674181205,0.998,0.0148467668902409,0.8233333333333333,0.1361239944428431,0.7934245137142583,0.0197885533508088,0.9995077184540366,0.0039086187830952,0.5855198994613313,0.1443425027026865,0.9293022325354868,0.075090396263929,0.1746666666666666,0.1298466677540236,282.06,16.3638058352616,74.0,0.0,20.0,30.0,15.0,0.0,15.0,0.0,100,"Target-domain CP, no adapter",LUH -> SANDIA,strong_rank_signal,linear_recovers_predictive_transfer,0.498719236814331,0.9131253584230612,0.8417995407093845,Target-domain,strong,0,625.4088106825964,0.732,1
cross_target_adapted_cp,luh,sandia,sandia,gaussian_process,100,0.9,residual_mean,20.0,20.0,0.928,0.0964836302648843,0.0779999999999999,0.062893207547044,0.6377550858688646,0.1063147296938896,0.9806768374485024,0.0354491678023853,1.0,0.0,4510.97381013701,1074.739630042381,4510.97381013701,1074.739630042381,5378.979837966759,1535.3399137090485,814.672979116315,184.05131978313696,107.753193308913,14.96365026933564,-10.347295120845455,28.65948532866017,2255.486905068505,537.3698150211904,1.0,1.0,0.0,379.9599428126153,197.56154901384224,0.9975,0.025,0.9933333333333332,0.0666666666666666,0.7683333333333333,0.2880864924992038,0.998,0.0199999999999999,0.858,0.1870450710012391,0.5636177061622825,0.01899829054543,0.9996377589136758,0.003622410863243,0.4444593589016711,0.1446716711124254,0.9604511963135758,0.0748627582037482,0.1399999999999999,0.183126605208947,298.86,136.72445341494756,74.0,20.0,20.0,10.0,5.0,0.0,5.0,0.0,100,Residual-mean target-adapted CP,LUH -> SANDIA,strong_rank_signal,linear_recovers_predictive_transfer,0.498719236814331,0.9131253584230612,0.8417995407093845,Residual-adapted,strong,0,625.4088106825964,0.732,2
cross_source_calibrated_cp,hust,luh,hust,random_forest,100,0.9,none,,,0.2924528301886792,0.0739829582139534,0.6075471698113207,0.0739829582139534,0.2153536622030979,0.0657707134042145,0.3840689922990979,0.0770218159378289,1.0,0.0,1056.0512354377618,261.3987285165256,1056.0512354377618,261.3987285165255,7974.917593591579,1144.872322315157,802.9438098035313,61.7917043441132,95.12993767423548,3.1385466446595314,-3.921429707230151,0.6342152871893137,528.0256177188801,130.69936425826293,1.0,,,,,0.0,0.0,0.1257142857142857,0.1238827622210217,0.76,0.1041976144503454,0.0,0.0,0.5849056603773585,0.1479659164279068,0.0,0.0,0.0675819885765418,0.0,0.455584360272715,0.1468227290944387,0.7027507737425892,0.1291283697278937,0.5849056603773585,0.1479659164279068,451.0,0.0,53.0,0.0,12.0,106.0,53.0,0.0,53.0,0.0,5,Naive source-calibrated cross CP,HUST -> LUH,strong_rank_signal,linear_recovers_predictive_transfer,-0.5620604259849377,0.7716731043125821,0.6103797741346866,Source-calibrated,strong,0,802.9438098035313,0.2924528301886792,0
cross_target_calibrated_cp,hust,luh,luh,random_forest,100,0.9,none,,20.0,0.9137209302325582,0.0684269466223169,0.0571162790697674,0.0397138647835298,0.8400178411672456,0.0837718448843681,0.9520440969856214,0.0477853130624328,1.0,0.0,2762.952085681918,211.36041136178105,2762.952085681918,211.36041136178096,2948.4811914415836,159.62751749534056,803.3957867866131,57.17014103446887,95.34907158885342,3.5802853310374845,-3.9485309317563497,0.6956603939428765,1381.476042840959,105.68020568089057,1.0,,,,,0.79,0.1304202914870571,0.9525,0.097120864796865,1.0,0.0,0.8274418604651163,0.1368538932446338,1.0,0.0,0.6997981177745518,0.1527743776898406,0.9013787180664182,0.0999790961587566,0.9179901967742088,0.0,1.0,0.0,0.1725581395348837,0.1368538932446338,474.64,38.675683379204635,53.0,0.0,20.0,86.0,43.0,0.0,43.0,0.0,100,"Target-domain CP, no adapter",HUST -> LUH,strong_rank_signal,linear_recovers_predictive_transfer,-0.5620604259849377,0.7716731043125821,0.6103797741346866,Target-domain,strong,0,802.9438098035313,0.2924528301886792,1
cross_target_adapted_cp,hust,luh,luh,random_forest,100,0.9,residual_mean,20.0,20.0,0.9157575757575758,0.0637142962970203,0.0541818181818181,0.0366742169824957,0.8281629962696901,0.0789384620358848,0.957616695716626,0.0419757617306357,1.0,0.0,1470.6564476446465,197.02987904811584,1470.6564476446465,197.02987904811584,1691.1950202051005,153.30025873423355,368.1588837136442,19.802315429136044,72.58382037528935,4.462810093674061,-0.159366325985625,0.1427759891526853,735.328223822323,98.51493952405808,1.0,1.0,0.0,-803.6508866416755,101.45798305741285,0.9259090909090908,0.1012599068995438,0.995,0.0213249654888644,0.8263636363636364,0.1426292411314911,0.9475757575757576,0.0742088403142185,0.8839393939393939,0.0958319193145704,0.823883155888294,0.0962752710473171,0.9779309129782504,0.0376563480047027,0.7412595201118125,0.115192079051489,0.9465525484419532,0.0575737037594892,0.1012121212121212,0.082984913159656,489.52,54.80000000000001,53.0,20.0,20.0,66.0,33.0,0.0,33.0,0.0,100,Residual-mean target-adapted CP,HUST -> LUH,strong_rank_signal,linear_recovers_predictive_transfer,-0.5620604259849377,0.7716731043125821,0.6103797741346866,Residual-adapted,strong,0,802.9438098035313,0.2924528301886792,2
cross_source_calibrated_cp,hust,sandia,hust,random_forest,100,0.9,none,,,0.028,0.0178885438199983,0.8720000000000001,0.0178885438199982,0.0069544014871117,0.0076364901466101,0.1163977320947788,0.0255879881862889,1.0,0.0,1056.051235437761,261.3987285165285,1056.051235437761,261.3987285165285,15231.186657308586,1720.7477055359896,1227.7132756099,29.16020564572137,126.32792717799266,1.0799844606155296,-0.3723519243756574,0.0580357877856296,528.0256177188801,130.69936425826356,1.0,,,,,0.0,0.0,0.0,0.0,0.0823529411764705,0.0526133641764656,0.0,0.0,0.056,0.0357770876399966,0.0,0.0,0.1331922509390484,0.0,0.0140106211024705,0.0154610406974622,0.2162640977314044,0.0465626729129015,0.056,0.0357770876399966,282.0,0.0,53.0,0.0,12.0,50.0,25.0,0.0,25.0,0.0,5,Naive source-calibrated cross CP,HUST -> SANDIA,strong_rank_signal,linear_recovers_predictive_transfer,-0.2314739418959273,0.5774316832047887,0.3661141417219493,Source-calibrated,strong,0,1227.7132756099,0.028,0
