scenario_label,confidence_level,direction,model,coverage_mean,coverage_short_life_mean,coverage_long_life_mean,short_long_coverage_gap_mean,coverage_wilson95_lower_mean,coverage_wilson95_upper_mean,finite_interval_fraction_mean,n_runs
Within-dataset CP,0.9,HUST,random_forest,0.9666666666666666,0.9666666666666666,0.9666666666666666,0.0,0.7163986222252128,0.9906069715632292,1.0,5
Within-dataset CP,0.95,HUST,random_forest,0.9666666666666666,0.9666666666666666,0.9666666666666666,0.0,0.7163986222252128,0.9906069715632292,1.0,5
Within-dataset CP,0.9,LUH,gaussian_process,0.9,1.0,0.8,0.2,0.6719641581227409,0.97314969744971,1.0,5
Within-dataset CP,0.95,LUH,gaussian_process,0.9,1.0,0.8,0.2,0.6719641581227409,0.97314969744971,1.0,5
Within-dataset CP,0.9,MATR,catboost,0.91,0.96,0.86,0.0999999999999999,0.7200559483346448,0.9678214220620436,1.0,5
Within-dataset CP,0.95,MATR,catboost,0.95,0.98,0.92,0.0599999999999999,0.7710344031744596,0.9839529545780032,1.0,5
Within-dataset CP,0.9,SANDIA,xgboost,0.875,1.0,0.75,0.25,0.5344406637575457,0.9722536625795442,1.0,5
Within-dataset CP,0.95,SANDIA,xgboost,0.875,1.0,0.75,0.25,0.5344406637575457,0.9722536625795442,1.0,5
Naive source-calibrated cross CP,0.9,HUST -> LUH,random_forest,0.2924528301886792,0.0,0.5849056603773585,0.5849056603773585,0.2153536622030979,0.3840689922990979,1.0,5
Naive source-calibrated cross CP,0.95,HUST -> LUH,random_forest,0.2924528301886792,0.0,0.5849056603773585,0.5849056603773585,0.2153536622030979,0.3840689922990979,1.0,5
Naive source-calibrated cross CP,0.9,HUST -> MATR,random_forest,0.2031007751937984,0.01875,0.3846153846153846,0.3658653846153846,0.1447976166112082,0.2785751716732635,1.0,5
Naive source-calibrated cross CP,0.95,HUST -> MATR,random_forest,0.2031007751937984,0.01875,0.3846153846153846,0.3658653846153846,0.1447976166112082,0.2785751716732635,1.0,5
Naive source-calibrated cross CP,0.9,HUST -> SANDIA,random_forest,0.028,0.0,0.056,0.056,0.0069544014871117,0.1163977320947788,1.0,5
Naive source-calibrated cross CP,0.95,HUST -> SANDIA,random_forest,0.028,0.0,0.056,0.056,0.0069544014871117,0.1163977320947788,1.0,5
Naive source-calibrated cross CP,0.9,LUH -> HUST,gaussian_process,0.0,0.0,0.0,0.0,0.0,0.047518425282434,1.0,5
Naive source-calibrated cross CP,0.95,LUH -> HUST,gaussian_process,0.0,0.0,0.0,0.0,0.0,0.047518425282434,1.0,5
Naive source-calibrated cross CP,0.9,LUH -> MATR,gaussian_process,0.4790697674418604,0.95625,0.0092307692307692,0.9470192307692308,0.3949879066515174,0.5643621332536541,1.0,5
Naive source-calibrated cross CP,0.95,LUH -> MATR,gaussian_process,0.4790697674418604,0.95625,0.0092307692307692,0.9470192307692308,0.3949879066515174,0.5643621332536541,1.0,5
Naive source-calibrated cross CP,0.9,LUH -> SANDIA,gaussian_process,0.732,0.8640000000000001,0.6,0.296,0.598404009984584,0.8324907040175378,1.0,5
Naive source-calibrated cross CP,0.95,LUH -> SANDIA,gaussian_process,0.732,0.8640000000000001,0.6,0.296,0.598404009984584,0.8324907040175378,1.0,5
Naive source-calibrated cross CP,0.9,MATR -> HUST,catboost,0.1766233766233765,0.3578947368421052,0.0,0.3578947368421052,0.1182013615355734,0.2657780875431955,1.0,5
