dataset,experiment,model,n_cycles,MAE_mean,MAE_std,MAE_ci95_lower,MAE_ci95_upper,SMAPE_mean,SMAPE_std,SMAPE_ci95_lower,SMAPE_ci95_upper,R2_mean,R2_std,R2_ci95_lower,R2_ci95_upper,n_seeds
hust,matr_to_hust,elastic_net,50,911.975419499265,46.13941709559195,838.808621385892,984.2790998682713,88.94964746766047,3.9781198419877017,82.47804576232211,95.40297051994551,-11.635666392097614,0.5123597250812433,-16.68771545758543,-8.642273161129303,5
hust,matr_to_hust,pls,50,962.9022387446985,38.65897630190383,876.5101709332312,1047.2200426862494,98.98216699652383,3.3705475561674243,89.36820247661521,108.61916822755161,-13.380372729022938,0.5231503225979939,-19.44337994355911,-9.775630978727294,5
hust,matr_to_hust,random_forest,50,989.1605201594015,65.2690646587848,926.9035012543669,1051.4834106335725,97.94184446411568,9.703161482597217,94.15356397674309,101.53684938846165,-13.118261234560094,1.595649150545557,-18.275893861340798,-10.027508075452989,5
hust,matr_to_hust,xgboost,50,919.8559062214641,115.52172760612626,857.050978163682,981.714244965392,88.6123229395685,15.425630798318593,84.72803978509857,92.37569606780309,-11.44723363703131,2.651305926627987,-15.948191946696308,-8.72560772439191,5
hust,matr_to_hust,catboost,50,991.1623159785125,52.35890577272945,928.6987184014575,1053.438340068775,98.10867684683585,7.935436086814013,94.40959695908884,101.7438351894283,-13.142655977183413,1.2898523491347733,-18.28853915546284,-10.045625525420737,5
hust,matr_to_hust,gaussian_process,50,783.1084923446398,8.41739146321328,721.8852578931809,843.9793605227029,69.23201058534372,1.044508653818143,65.39133234196501,72.87560244070339,-8.158264214251394,0.17612019464396614,-11.541069667222665,-6.137437191382583,5
hust,matr_to_hust,stacking,50,978.9707101332236,92.62987101649499,918.2082668347097,1039.9707704246089,96.69685688421198,13.091974048635874,93.22476300602756,100.1188971807396,-12.87375004102137,2.1899290286298583,-17.932493677108944,-9.860365370905896,5
hust,matr_to_hust,elastic_net,100,795.6722005940848,114.000433576879,694.7904761137204,902.7952911480879,72.23841840762097,9.207444605442522,62.863206517284084,81.60083594885205,-10.738655065396356,4.685322546981398,-16.284117348660637,-7.277072666382002,5
hust,matr_to_hust,pls,100,802.8941287836452,79.15579076722295,697.7733881423312,908.461310704175,77.56055886841216,7.988255769173407,66.18050916446744,89.32594055716939,-10.730996531477,2.1024762167438937,-15.749139836724504,-7.618548253651417,5
hust,matr_to_hust,random_forest,100,874.922751217694,82.27095880497716,804.7131049708421,942.3884900055824,82.10746314876366,10.264156206323559,76.9156615399298,86.99314225309575,-10.52964604469337,1.650302401019459,-14.942623326712313,-7.919547990238753,5
hust,matr_to_hust,xgboost,100,844.9529963505732,78.4029889110405,778.9044788608304,910.6497198347612,77.88532340376757,10.380080280155187,73.15808999965164,82.50657811627872,-9.735856184388128,1.7645383478052423,-13.819397834575256,-7.337257598346776,5
hust,matr_to_hust,catboost,100,879.2978629558423,42.30647012887234,813.836912032497,942.8458014347143,82.04327789633547,5.625951553807971,77.33890461685766,86.36843901017262,-10.434072655148565,0.9624884888552522,-14.75532510553727,-7.873950140441761,5
hust,matr_to_hust,gaussian_process,100,763.0081350735302,23.113667198613527,696.2497707430366,828.2482460370638,67.09447480072613,2.5070732254053993,62.43296058122039,71.57146848835735,-7.936750468760522,0.32988458374361057,-11.359287208308357,-5.929570080052389,5
hust,matr_to_hust,stacking,100,876.0130621612464,62.17539601708091,811.2495103494216,939.7812211866852,81.76882837350104,8.300503885536056,77.27390983889573,86.08489184124211,-10.367535563734023,1.378254539461173,-14.645805251333712,-7.847319312454262,5
sandia,matr_to_sandia,elastic_net,50,4001984.114837418,8002729.133264046,846.0995700716346,12003150.938735563,88.08995744817844,19.51758373247269,75.24611062243103,100.80314973226547,-3419915952.3058195,6839831904.825016,-13747058641.90517,-2.6523911755284297,5
sandia,matr_to_sandia,pls,50,121920.61180444942,237066.9091665754,5377.444788607885,266965.88379901496,118.82153731998442,13.3707101193733,103.93298095157607,132.7620544776684,-1048268.8594608305,2096338.1731642575,-3620949.318399164,-1317.043775481883,5
sandia,matr_to_sandia,random_forest,50,731.2167782302155,41.472852066103684,519.4282177993848,975.5828707555245,95.29380493948123,6.107829896560533,85.90033322021108,104.9292218114808,-0.04488334568633232,0.03204758000268735,-0.17974409594934465,-0.004378051169488413,5
sandia,matr_to_sandia,xgboost,50,745.9005221557617,82.30672617071117,536.6674446166993,989.2576649017334,94.97014629200609,14.983525063882428,85.36322463399696,104.90248549265763,-0.0715494443931937,0.060418735565269645,-0.20915554410174528,-0.02598307101276074,5
sandia,matr_to_sandia,catboost,50,721.8998163071672,54.60730138388592,507.31520855109267,970.2654952579393,93.47501321332842,8.33295666239569,83.90725830034015,103.49497367548736,-0.06139829594860573,0.03364598580251939,-0.2020959217819093,-0.007767405616308366,5
sandia,matr_to_sandia,gaussian_process,50,807.7921008767684,5.268591604794737,625.2111113839833,1019.1855251939836,105.56160858633238,0.55885135889854,97.95610748456633,113.4402021260637,-0.0025858112567806123,0.000883137070663609,-0.1192197557546613,-3.4452573385888054e-05,5
sandia,matr_to_sandia,stacking,50,712.8922640746152,73.18545248459482,501.15832044543015,957.3353818034509,91.70161632866893,11.943979519049263,81.90614932735897,101.78219195299133,-0.03220379262917572,0.023945523619606692,-0.16998135670812214,0.018772559505467308,5
sandia,matr_to_sandia,elastic_net,100,4116710.133532904,4833000.751000322,6231.921719795086,12447290.406278381,136.26207698524132,20.27372354963947,122.81503986800382,148.95086720082782,-1716822502.7653012,2177141081.5879188,-7188541022.874283,-141.0595090168306,5
sandia,matr_to_sandia,pls,100,8232176.223105481,9666015.842549454,16628.022170817734,24681993.202427324,134.78496793628523,17.873305198039525,118.82830463446821,149.74813027215234,-6846433089.37058,8371698667.284172,-28262986867.35398,-1675.5208724986544,5
sandia,matr_to_sandia,random_forest,100,775.2857969433481,100.0158795392829,590.5028590160448,991.3804449462514,99.25963160413627,12.220223625634388,90.97669818279896,107.72854212398333,0.01365353804009426,0.022196353944454583,-0.14192260592928524,0.053520375297308985,5
sandia,matr_to_sandia,xgboost,100,744.8194544677733,80.09541692906224,555.082054650879,966.4914549865722,96.39595022669114,11.976369429127084,87.92303766743377,105.05035665209638,0.03998853205214874,0.015584367252516025,-0.08106407497698993,0.07872348700615447,5
sandia,matr_to_sandia,catboost,100,714.9501520280797,66.00588406168391,517.5882313354007,944.6917149487069,93.37060928149016,9.00417535859427,84.59400091315165,102.28090253302193,0.04087617034798696,0.030867502209064934,-0.07909131529521389,0.08241839325570424,5
sandia,matr_to_sandia,gaussian_process,100,807.1276608644721,5.818893311990293,624.64688008196,1018.3606980450295,105.50637672816853,0.6040395694570005,97.91612310692894,113.37819871552308,-0.0002936761655026876,0.0025012793162014547,-0.1166882279713772,0.004765107642075116,5
sandia,matr_to_sandia,stacking,100,724.1998076340491,79.2798863187208,528.4777329055024,952.855589424587,93.65232291315333,11.969522341465053,84.79304992256863,102.8448435686641,0.03012078688175699,0.021675359373400652,-0.09474976704585912,0.07236719249751318,5
