dataset,experiment,model,n_cycles,MAE_mean,MAE_std,MAE_ci95_lower,MAE_ci95_upper,SMAPE_mean,SMAPE_std,SMAPE_ci95_lower,SMAPE_ci95_upper,R2_mean,R2_std,R2_ci95_lower,R2_ci95_upper,n_seeds
hust,matr_to_hust,elastic_net,50,911.975419499265,46.13941709559195,838.808621385892,984.2790998682713,88.94964746766047,3.9781198419877017,82.47804576232211,95.40297051994551,-11.635666392097614,0.5123597250812433,-16.68771545758543,-8.642273161129303,5
hust,matr_to_hust,pls,50,962.9022387446985,38.65897630190383,876.5101709332312,1047.2200426862494,98.98216699652383,3.3705475561674243,89.36820247661521,108.61916822755161,-13.380372729022938,0.5231503225979939,-19.44337994355911,-9.775630978727294,5
hust,matr_to_hust,elastic_net,100,795.6722005940848,114.000433576879,694.7904761137204,902.7952911480879,72.23841840762097,9.207444605442522,62.863206517284084,81.60083594885205,-10.738655065396356,4.685322546981398,-16.284117348660637,-7.277072666382002,5
hust,matr_to_hust,pls,100,802.8941287836452,79.15579076722295,697.7733881423312,908.461310704175,77.56055886841216,7.988255769173407,66.18050916446744,89.32594055716939,-10.730996531477,2.1024762167438937,-15.749139836724504,-7.618548253651417,5
sandia,matr_to_sandia,elastic_net,50,4001984.114837418,8002729.133264046,846.0995700716346,12003150.938735563,88.08995744817844,19.51758373247269,75.24611062243103,100.80314973226547,-3419915952.3058195,6839831904.825016,-13747058641.90517,-2.6523911755284297,5
sandia,matr_to_sandia,pls,50,121920.61180444942,237066.9091665754,5377.444788607885,266965.88379901496,118.82153731998442,13.3707101193733,103.93298095157607,132.7620544776684,-1048268.8594608305,2096338.1731642575,-3620949.318399164,-1317.043775481883,5
sandia,matr_to_sandia,elastic_net,100,4116710.133532904,4833000.751000322,6231.921719795086,12447290.406278381,136.26207698524132,20.27372354963947,122.81503986800382,148.95086720082782,-1716822502.7653012,2177141081.5879188,-7188541022.874283,-141.0595090168306,5
sandia,matr_to_sandia,pls,100,8232176.223105481,9666015.842549454,16628.022170817734,24681993.202427324,134.78496793628523,17.873305198039525,118.82830463446821,149.74813027215234,-6846433089.37058,8371698667.284172,-28262986867.35398,-1675.5208724986544,5
luh,matr_to_luh,elastic_net,50,345.9492801385793,65.82950039723441,276.5332135263776,422.07612024463816,71.28899742273413,11.712693402049023,63.129488376534006,79.23168872691659,-0.7623435907366671,1.1444888919948604,-1.7320643642099776,-0.13669442098519574,5
luh,matr_to_luh,pls,50,433.1454052877315,117.0005591803889,353.9536386491574,512.9308611826614,92.07265315707757,26.49750675799882,83.69018161709049,100.3603481614551,-1.4161543757890924,1.8139837155619982,-2.518108932961444,-0.685040595273445,5
luh,matr_to_luh,elastic_net,100,1633.2751294768846,1452.5131217173457,1371.8998797118172,1928.8752334654698,99.36589157286376,33.60970261562124,90.86218265180518,108.24341499208654,-54.672054793774656,80.65289295320669,-94.2188467173562,-29.19803591037127,5
luh,matr_to_luh,pls,100,1232.3039365524944,1079.4034018741886,1006.3660361755043,1463.6986569529417,90.62717554791338,33.41204936965057,81.62424484781563,99.46396757657108,-31.591707710355784,39.24715609844828,-51.24913473617302,-17.675603406541114,5
matr,hust_to_matr,elastic_net,50,9415070.404852275,7461107.286280895,1157.357192534982,23591651.492231257,88.24832851167422,15.207076951456857,82.10028090722767,94.35977887807402,-71422385705.2889,58190632235.85979,-187874328613.24234,-14.764385158505315,5
matr,hust_to_matr,pls,50,8320525.979760379,4961789.561732299,1269.8287046070193,23026248.426321726,90.67302221576628,12.890112280651339,84.30558518389576,96.97527744308688,-60359355090.45305,37636516403.108376,-188650068108.27493,-26.37090700719737,5
matr,hust_to_matr,elastic_net,100,7615541.776279253,6938877.6917136125,1034.90477791267,19743492.212842215,83.10361203698807,12.598499711162795,76.1859115423261,89.96900070744316,-57449249162.65476,53342173541.40444,-154514894133.69418,-13.205427023341219,5
matr,hust_to_matr,pls,100,7097449.058572806,5130178.58296354,839.4481721148195,19709968.187932294,76.88043946446831,7.352970545690363,70.12370448344589,83.8002381852531,-50876956046.78639,41365806665.095726,-158932315027.1125,-6.27431851289232,5
sandia,hust_to_sandia,elastic_net,50,214210.3351177574,416310.649824413,1839.7815299049903,778956.051575434,117.68510404432907,22.962005377092208,104.87741482207669,129.7343985895845,-7911471.878474824,15819773.378795676,-32861957.87992233,-14.555751716611619,5
sandia,hust_to_sandia,pls,50,8096011.617485734,15981496.142785868,26536.728418969036,20220211.691940658,128.29488848259774,36.139041003077224,114.07300203081859,141.02466027886334,-6840604383.502668,13679290637.123236,-23745810013.476818,-6231.0867568154545,5
sandia,hust_to_sandia,elastic_net,100,4593236.523860431,7791064.13427657,2831.637017439177,14262059.722713616,137.6683003190882,28.472408171034182,121.7498707975761,152.7496132879302,-3487746098.9359426,6807187318.249837,-14613763756.125916,-660.7720468267953,5
sandia,hust_to_sandia,pls,100,9679518.866980601,12147722.829585066,24346.42033984134,28072232.53229611,115.28142180111641,36.743013666326526,99.84112064613865,129.90718578940312,-7340862943.648343,9025518184.69909,-29390994123.533466,-131455.12467807563,5
luh,hust_to_luh,elastic_net,50,508.33673995807385,259.08577805920316,459.66237687265755,557.9799648967531,75.930285312099,15.467528851546282,66.52374691483666,85.59785485933791,-1.441533163505481,2.4904144457225126,-2.34293972683687,-0.9241577484626957,5
luh,hust_to_luh,pls,50,72446.02898145573,143728.495638423,27968.18822628341,135507.14057046268,101.72583925961044,39.186826638895205,93.23752305618692,110.5902686937914,-2500434.164625141,5000864.3978497265,-5795082.249209596,-182751.70008115607,5
luh,hust_to_luh,elastic_net,100,633.38146636495,162.83626420632928,561.5833744234892,703.6642716533347,144.6604412753615,44.174051916473026,138.72007321792142,150.56863042530338,-2.452179431595808,1.4092928516373868,-3.5549377351730675,-1.7678774683826126,5
luh,hust_to_luh,pls,100,352.7538064344207,157.68162638813766,304.1422309226855,400.66115439469326,104.97522795150546,66.9638248068388,99.43464730880845,111.00713219753773,-0.3730093795318615,1.0371219798428477,-0.7115474178593159,-0.1403059251897915,5
matr,sandia_to_matr,elastic_net,50,1028.6101197718583,200.3712497356138,734.7104227962283,1442.8821602279877,154.73327032735446,6.941930385397433,144.19270112539726,165.08230709859976,-49.3335175387724,39.79714626523161,-129.77350356602489,-6.232893654403648,5
matr,sandia_to_matr,pls,50,1646.0003069040733,1256.5511169839222,1148.4084102132206,2289.422338023222,116.74786853323194,18.837409592824926,106.7034444171647,127.62056109447158,-167.47049058158848,228.12639282148066,-374.8083378737479,-47.84096109460799,5
matr,sandia_to_matr,elastic_net,100,1916.9755410289217,885.2381823277759,1483.0772549771407,2510.397294335761,98.76715941961429,12.002477713209947,91.0664376569067,106.30350752167651,-119.84523212873026,88.67836144131122,-301.79796629955456,-34.3688530263094,5
matr,sandia_to_matr,pls,100,5309.675328764882,6309.046975464477,3930.798046274581,7191.999282468717,116.61680184662143,28.00436209891742,110.3350713259019,122.68892682061376,-3089.3031750714763,6046.009991365512,-8397.638351733245,-600.1573109010293,5
