protocol,target,source,source_set,model,n_cycles,seed,k,repeat,adapter_type,n_test,MAE,SMAPE,R2,weight_hust,weight_sandia,weight_luh,adapter_slope,adapter_intercept,selected_source,calibration_MAE,selected_model,weight_matr
pooled_erm,matr,,hust+sandia+luh,elastic_net,100,42,0,-1,none,129,1702.8290910879791,93.49168296235099,-116.0981382962015,,,,,,,,,
pooled_erm,matr,,hust+sandia+luh,pls,100,42,0,-1,none,129,4192.984865265217,95.79268438159151,-4209.872234999506,,,,,,,,,
pooled_erm,matr,,hust+sandia+luh,random_forest,100,42,0,-1,none,129,908.5300909163992,78.01010801783691,-6.304547172180049,,,,,,,,,
pooled_erm,matr,,hust+sandia+luh,xgboost,100,42,0,-1,none,129,960.8772044321879,80.39609975263093,-7.068850609130822,,,,,,,,,
pooled_erm,matr,,hust+sandia+luh,catboost,100,42,0,-1,none,129,804.310517692256,73.29409919826374,-4.721497459499619,,,,,,,,,
pooled_erm,matr,,hust+sandia+luh,gaussian_process,100,42,0,-1,none,129,906.6812844349294,71.56559561889713,-7.991639114360579,,,,,,,,,
pooled_erm,matr,,hust+sandia+luh,stacking,100,42,0,-1,none,129,886.8851782996812,77.34177861221927,-5.841081860203728,,,,,,,,,
source_expert_single,matr,hust,hust,random_forest,100,42,0,-1,none,129,789.1878834417909,73.09562223518284,-4.487188106916133,,,,,,,,,
source_expert_single,matr,sandia,sandia,xgboost,100,42,0,-1,none,129,1026.656988298312,81.16705603896736,-9.169131946100517,,,,,,,,,
source_expert_single,matr,luh,luh,gaussian_process,100,42,0,-1,none,129,385.9077465197015,55.786379894495774,-1.0554337522164787,,,,,,,,,
source_expert_uniform,matr,,hust+sandia+luh,source_primary_experts,100,42,0,-1,none,129,540.6020472941203,57.783537013941775,-1.757495655683682,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,elastic_net,100,42,5,0,none,124,1710.7177190454886,93.26525928489687,-119.21369443388241,,,,1.0,0.0,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,elastic_net,100,42,5,0,residual_mean,124,787.9883130156271,67.63376773078184,-96.33639106004549,,,,1.0,-1507.19111774174,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,elastic_net,100,42,5,0,linear,124,429.0649146954195,41.62692655798631,-15.529079720572348,,,,0.40375766691442816,-134.1695690906735,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,pls,100,42,5,0,none,124,4272.263493910304,95.6034325498039,-4345.6720293897115,,,,1.0,0.0,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,pls,100,42,5,0,residual_mean,124,3583.352037353746,160.32055158374223,-4232.712841966656,,,,1.0,-2226.8748748670646,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,pls,100,42,5,0,linear,124,584.1009242161965,36.24699218293259,-60.253705940505675,,,,0.11957568348615881,434.18550101802833,,,,
