experiment,scenario,source,target,model,n_cycles,seed,train_cells,calibration_cells,test_cells,MAE,SMAPE,R2,y_mean_log,y_std_log,log_lower,log_upper,best_filters,best_learning_rate,best_epoch,epochs_run,best_val_loss,final_train_loss
hust_to_luh,naive_cross,hust,luh,pytorch_mamba_library,100,1011,53,12,106,934.7022529332969,100.43880779842804,-5.526767502423085,7.291066646575928,0.1885673850774765,6.836259365081787,7.612831115722656,32,0.01,21,81,0.7496427297592163,0.55088871717453
hust_to_luh,naive_cross,hust,luh,pytorch_mamba_library,100,123,53,12,106,987.8037935187774,102.74622396517448,-6.225575406273488,7.280747890472412,0.19897635281085968,6.72022008895874,7.612831115722656,32,0.01,160,220,0.5255033373832703,0.05530460178852081
hust_to_luh,naive_cross,hust,luh,pytorch_mamba_library,100,42,53,12,106,853.39666808126,97.82451138292569,-4.361326122947793,7.299964904785156,0.18443509936332703,6.967909336090088,7.612831115722656,16,0.003,12,72,1.3502130508422852,0.8781353831291199
hust_to_luh,naive_cross,hust,luh,pytorch_mamba_library,100,456,53,12,106,745.2020067236413,92.39100400128409,-3.220574630078085,7.2845354080200195,0.19942925870418549,6.72022008895874,7.612831115722656,32,0.003,14,74,0.5306029915809631,0.8789363503456116
hust_to_luh,naive_cross,hust,luh,pytorch_mamba_library,100,789,53,12,106,826.8231004256997,93.53180988398,-4.6676946119672875,7.282606601715088,0.19414253532886505,6.72022008895874,7.612831115722656,16,0.003,46,106,0.7878303527832031,0.4962204396724701
hust_to_matr,naive_cross,hust,matr,pytorch_mamba_library,100,1011,53,12,129,684.8558561969156,66.62771375879852,-3.413780975328253,7.291066646575928,0.1885673850774765,6.836259365081787,7.612831115722656,64,0.01,32,92,0.6832920908927917,0.2573675513267517
hust_to_matr,naive_cross,hust,matr,pytorch_mamba_library,100,123,53,12,129,788.6742130390805,82.38577335037647,-4.538781220835568,7.280747890472412,0.19897635281085968,6.72022008895874,7.612831115722656,64,0.01,25,85,0.7255889773368835,0.7995762228965759
hust_to_matr,naive_cross,hust,matr,pytorch_mamba_library,100,42,53,12,129,715.6192275165641,69.09121532936251,-3.573278749931701,7.299964904785156,0.18443509936332703,6.967909336090088,7.612831115722656,16,0.003,12,72,1.3502130508422852,0.8781353831291199
hust_to_matr,naive_cross,hust,matr,pytorch_mamba_library,100,456,53,12,129,715.7228460771794,69.0811577914476,-3.5744823835379993,7.2845354080200195,0.19942925870418549,6.72022008895874,7.612831115722656,32,0.003,14,74,0.5306029319763184,0.8789364099502563
hust_to_matr,naive_cross,hust,matr,pytorch_mamba_library,100,789,53,12,129,807.965450082999,73.72706774705074,-4.88595491016677,7.282606601715088,0.19414253532886505,6.72022008895874,7.612831115722656,16,0.003,46,106,0.7878300547599792,0.4962163269519806
