dataset,experiment,model,n_cycles,MAE_mean,MAE_std,MAE_ci95_lower,MAE_ci95_upper,SMAPE_mean,SMAPE_std,SMAPE_ci95_lower,SMAPE_ci95_upper,R2_mean,R2_std,R2_ci95_lower,R2_ci95_upper,n_seeds
matr,matr_to_matr,elastic_net,50,1584.7802449037008,2780.0115960830462,129.442707487631,4441.152905251847,30.275592646219433,7.301467772514092,19.20121661677252,43.998593872207664,-1286.8123939157967,2574.428558289298,-3288.5026969656137,0.6399482083219714,5
matr,matr_to_matr,pls,50,206.08237342159333,58.21134818483772,137.44827519171696,292.0879378417791,28.820348425853474,9.0271680015258,20.03221468130685,39.6692279674031,0.4023106425897017,0.23348823670861427,-0.08183498988468531,0.6403207034731981,5
matr,matr_to_matr,elastic_net,100,214.06589032995407,54.957926079133365,135.5673187402208,309.2458439630402,31.69657699009731,9.174172620111522,20.04833917176159,46.27864339761411,0.30106721298409367,0.2420230772582207,-0.3438070952291751,0.6082273782999168,5
matr,matr_to_matr,pls,100,200.0245899267341,49.660698059803245,132.59780635077604,283.4921907955748,30.22051983734943,8.420092467601194,19.77481630423812,43.142338371905836,0.43447513871257915,0.2215691939584625,-0.021701919821237498,0.6417916386247151,5
hust,hust_to_hust,elastic_net,50,231.88721901912658,19.654582765386778,158.14416414590892,310.7433252903839,15.52270831134837,1.3850489772569599,10.603785828182302,20.777007595514473,0.022634973978951756,0.09256099898942186,-1.5796144889348145,0.4693621126373964,5
hust,hust_to_hust,pls,50,220.48266765494276,23.607755755475925,145.65180961408177,304.919379732062,14.708017434443173,1.4580868504812141,9.728211025823478,20.330488046944936,0.05150849115420817,0.15402807694756332,-1.4770784878283512,0.5397297196575896,5
hust,hust_to_hust,elastic_net,100,186.59216008330407,35.560698058300474,113.25138684212723,282.13455181653796,12.277802902330382,2.5196324644236685,7.808881694576257,17.99030664393988,0.20428453851550987,0.18317701161594616,-1.586596010478798,0.731938989563433,5
hust,hust_to_hust,pls,100,190.67483036024063,24.54484103326914,114.27275482342095,283.32371449861546,12.574083869563326,1.413541239094192,7.889932515178524,17.941315917700074,0.1907573958482683,0.2234322251608865,-1.652084115178172,0.7230242781187083,5
sandia,sandia_to_sandia,elastic_net,50,202.52298121595945,85.9094298687109,52.30256099475018,427.55357740776105,39.11981513717281,7.561903865381519,19.13974792131211,67.26436245599277,0.7903155145657199,0.2097513095925324,-40.61971663264127,0.9220256844542802,5
sandia,sandia_to_sandia,pls,50,184.0528008540072,57.92826829503634,56.92854104060391,359.6291263993427,38.54053493142651,5.861126563022734,20.058368428141463,61.06100646716432,0.8701171513200304,0.10995288666545004,-21.195055285443065,0.95852140377213,5
sandia,sandia_to_sandia,elastic_net,100,193.1817377395288,62.988755851861356,48.963215732323135,392.8385286545782,33.47785426297058,6.6361206506915735,15.247898739199746,59.29068202801172,0.8719083320294084,0.08647996375228961,-5.520260218902542,0.9583798222639869,5
sandia,sandia_to_sandia,pls,100,216.3840078127776,88.62636853674586,44.48543621183579,452.9136006203588,33.76492423519372,8.133784959873523,14.127082563316637,62.13633473554249,0.8092143095061891,0.15114190682312034,-11.845248533196662,0.9644116490695689,5
luh,luh_to_luh,elastic_net,50,152.96270544019617,25.325958721735034,80.49327843645663,232.19775480177117,23.864301292169564,1.714614670200761,15.523844648459033,32.84122535333814,0.62836144075097,0.06898167574814491,0.04433860749690729,0.8691887991513216,5
luh,luh_to_luh,pls,50,163.10824936493657,22.35192363033808,81.53777267804978,257.306266557894,24.665308306185565,2.4201058611455357,15.863418354042897,34.202121559128045,0.5448827765023662,0.07547973164514162,-0.22326051045400003,0.8534394425517078,5
luh,luh_to_luh,elastic_net,100,125.19072602015436,24.060062217884408,65.9539756912834,191.76151126937614,19.88723856188627,2.3848479904821263,12.301605773405623,28.187984869410684,0.744885237315207,0.06832119572639966,0.4497873514769074,0.8901236434854065,5
luh,luh_to_luh,pls,100,134.41620130408708,30.188525645458476,70.36447151465534,207.95922826517955,20.592808217012177,2.5238446841051942,13.077733811641432,29.018983868433082,0.699822002480804,0.10934880304464675,0.3044167518587624,0.877618323032884,5
