dataset,experiment,model,n_cycles,MAE_mean,MAE_std,SMAPE_mean,SMAPE_std,R2_mean,R2_std,n_seeds
matr,matr_to_matr,elastic_net,50,2.0312395424394132e+18,4.062479084878826e+18,37.17011426950578,3.618662454554926,-2.819063761237389e+33,5.638127522474779e+33,5
matr,matr_to_matr,pls,50,1.1484668315142522e+59,2.2969336630285044e+59,39.445744655543216,7.367272441961494,-9.011965655304341e+114,1.8023931310608682e+115,5
matr,matr_to_matr,random_forest,50,211.8869219113495,46.844412185678486,28.679933365185565,4.899055874582302,0.2542329275392932,0.17772536982946907,5
matr,matr_to_matr,xgboost,50,243.99707366943358,47.39221842990534,32.03738691050337,6.346696929034046,0.008229704722936649,0.20031582675135337,5
matr,matr_to_matr,catboost,50,208.5325672760314,51.49609917178818,28.809615055197764,5.747553251493987,0.326742302031139,0.2419292633049035,5
matr,matr_to_matr,gaussian_process,50,216.8686830092749,47.57702539851826,30.263512025473943,5.209903654774184,0.29503193374775183,0.16471885241427464,5
matr,matr_to_matr,elastic_net,100,257.02290916954144,32.75466701657819,38.20156416671748,4.1607910524719,0.07183459441898339,0.09805461985987847,5
matr,matr_to_matr,pls,100,4.6045396860170003e+17,9.209079372033996e+17,36.33406711693251,3.880092719475708,-1.4486219279319038e+32,2.8972438558638076e+32,5
matr,matr_to_matr,random_forest,100,198.14192073526087,43.469060686218015,27.631739607042242,4.550164800507904,0.40959790606508834,0.20252471482876394,5
matr,matr_to_matr,xgboost,100,211.80773712158202,43.90535862413581,28.866399529335997,4.92895542866589,0.3124529728540932,0.17994085166625493,5
matr,matr_to_matr,catboost,100,207.57002630976635,25.72294035924256,28.30103332247266,3.378717325936795,0.31237762716323936,0.11106917678261928,5
matr,matr_to_matr,gaussian_process,100,232.0676745438697,44.1685481888196,32.41478302883091,4.234794770155831,0.24559338005340142,0.15978965616033727,5
hust,hust_to_hust,elastic_net,50,232.191581187395,29.11609629509222,15.497245009687262,1.9593825666792284,-0.04842473870474915,0.2390582411334586,5
hust,hust_to_hust,pls,50,248.0919396611298,57.72754530149918,16.410847382693717,3.6181090201552375,-0.2599596871745177,0.606045812182723,5
hust,hust_to_hust,random_forest,50,197.21253422410408,29.61336557367051,13.456716089013833,2.301779106493322,0.1287088560558801,0.25821944663891455,5
hust,hust_to_hust,xgboost,50,196.9109334309896,35.80802276114812,13.488447683425235,2.7013809366452533,0.12571961694491576,0.32830859099069365,5
hust,hust_to_hust,catboost,50,203.04046683150113,21.568310834132365,13.834988170704497,1.8003970400183558,0.19575464931009326,0.1766712014806802,5
hust,hust_to_hust,gaussian_process,50,191.63299343094002,27.665480088002248,13.110819197810429,2.0347269924453557,0.24137151588245792,0.19275651123553805,5
hust,hust_to_hust,elastic_net,100,205.70309365158892,35.427120821751224,13.87945750941438,2.3415150091771286,0.16338721917878202,0.23753779272233114,5
hust,hust_to_hust,pls,100,222.538593006592,33.05118724895212,14.859419651596003,2.2339698828283976,-0.08430867726802224,0.291319971825511,5
hust,hust_to_hust,random_forest,100,184.07360582511586,33.14666762783786,12.58684107236288,2.4687033739661772,0.30483297394534625,0.21605548878219225,5
hust,hust_to_hust,xgboost,100,191.62567138671878,35.56218837908852,13.07453676234141,2.755554825704136,0.2530355202983883,0.2325201757701658,5
hust,hust_to_hust,catboost,100,184.184154264978,21.55774134801351,12.550455694981064,1.712414639605665,0.3198368131355192,0.14959852668731438,5
hust,hust_to_hust,gaussian_process,100,180.21484617500886,16.16539770855272,12.192273360837024,1.192397088039187,0.29902058681687466,0.15375312605434555,5
