dataset,experiment,model,n_cycles,MAE_mean,MAE_std,SMAPE_mean,SMAPE_std,R2_mean,R2_std,n_seeds
matr,matr_to_matr,elastic_net,50,279.5636606824921,24.412221650964717,38.602801361579814,2.5807061635726627,-0.031837358669871384,0.040205633061068204,5
matr,matr_to_matr,pls,50,4.421522685231658e+16,8.843045370463253e+16,41.9532934941291,6.432380679044968,-1.3357535254416306e+30,2.671507050883261e+30,5
matr,matr_to_matr,random_forest,50,222.27687730751373,54.77737097804012,31.01082817422381,6.401624800654938,0.2658205647947748,0.22862935072346555,5
matr,matr_to_matr,xgboost,50,233.7848764038086,36.33983369096469,32.41770827180581,5.491551457506484,0.1709760081007941,0.14123568889298954,5
matr,matr_to_matr,catboost,50,221.58195014239863,50.84840969506041,30.858764737120225,7.06502829438461,0.2524838901658173,0.1958574236125036,5
matr,matr_to_matr,gaussian_process,50,214.30187733584324,48.05172361709244,29.927213843907204,5.277301505868533,0.2994588517570399,0.1710530211478269,5
matr,matr_to_matr,elastic_net,100,10394.386192916158,20281.658436321915,36.76667486199786,4.628143723204652,-70273.84476974116,140547.98773584765,5
matr,matr_to_matr,pls,100,433990.66351491754,867468.6144891881,36.26885637161602,3.2375736270661846,-128538224.59195037,257076449.42196465,5
matr,matr_to_matr,random_forest,100,211.0146148827749,48.92744889557679,29.248958033844588,4.664336676093307,0.32517302254067004,0.24325722219311224,5
matr,matr_to_matr,xgboost,100,243.19056976318362,45.546784487888765,32.23388733862066,4.573017787677411,0.12008108056979003,0.17661496809251906,5
matr,matr_to_matr,catboost,100,199.05434018840214,43.458334751104694,27.01743194165234,4.871981036886167,0.35110887041679123,0.1867114326987494,5
matr,matr_to_matr,gaussian_process,100,251.68762628065662,46.36692574145829,35.115798239053724,4.790563137717505,0.13141959968044553,0.20035406360668626,5
hust,hust_to_hust,elastic_net,50,230.05092634514835,38.6570381176299,15.24071914264619,2.580485764705763,-0.06115820853256206,0.35901786105159555,5
hust,hust_to_hust,pls,50,230.40454980667977,39.886107270160025,15.248277037389746,2.66605634813618,-0.07782890560150628,0.3675093404674756,5
hust,hust_to_hust,random_forest,50,196.05400730512693,23.229317317586464,13.391160624863398,1.798445415055775,0.10507972686029396,0.29189627958992537,5
hust,hust_to_hust,xgboost,50,202.0398396809896,28.73398187381167,13.860207394577666,2.136068181040036,0.08753551076095811,0.35074034141454413,5
hust,hust_to_hust,catboost,50,191.36842165239852,21.032916197946438,13.058161004909314,1.6002627937757308,0.19893091026998339,0.19575666751588697,5
hust,hust_to_hust,gaussian_process,50,184.39303537065598,26.681456255659327,12.594933693969022,2.0894643521941307,0.26368210061750774,0.22078432374718465,5
hust,hust_to_hust,elastic_net,100,204.86446969146968,34.79384255717096,14.082463420260837,2.4481375974811956,0.13452324608840016,0.2694562962723707,5
hust,hust_to_hust,pls,100,210.42783798681444,36.252693630615596,14.383113318588551,2.6034484650428866,0.08969531982461074,0.3232880211536133,5
hust,hust_to_hust,random_forest,100,187.1054327092785,30.731991683422766,12.735392921591302,2.36115619053793,0.21002977889600144,0.31237244288173,5
hust,hust_to_hust,xgboost,100,182.97081502278647,35.66583863194258,12.55328820357902,2.696785141122334,0.23296640294984364,0.33143026090459216,5
hust,hust_to_hust,catboost,100,179.09161141424315,28.185678114717675,12.280453716809605,2.215365778863587,0.26032364836035626,0.2597394375822069,5
hust,hust_to_hust,gaussian_process,100,162.21457678032397,28.2408138611943,11.104722109186051,2.243079344635548,0.40543195160598977,0.23515896728698701,5
